tpr	epq	score
0.01	0.001784	95
0.02	0.003836	72
0.03	0.007671	60
0.04	0.01784	53
0.05	0.03996	48
0.06	0.1088	44
0.07	0.3009	41
0.08	0.7274	38
0.09	1.59	36
0.1	3.108	35
0.11	5.6	33
0.12	9.314	32
0.13	14.06	31
0.14	20.92	30
0.15	29.14	30
0.16	39.45	29
0.17	52.39	28
0.18	66.46	28
0.19	84.09	27
0.2	102.5	27
0.21	121.9	26
0.22	145.2	26
0.23	171	25
0.24	201.8	25
0.25	232.1	25
0.26	261.5	25
0.27	302.8	24
0.28	338.5	24
0.29	380.5	24
0.3	418.8	24
0.31	465.1	23
0.32	508.4	23
0.33	558.2	23
0.34	610.4	22
0.35	677.4	22
0.36	730.9	22
0.37	791	22
0.38	852	22
0.39	908.2	22
0.4	980.9	21
0.41	1052	21
0.42	1124	21
0.43	1203	21
0.44	1280	20
0.45	1384	20
0.46	1465	20
0.47	1550	20
0.48	1648	20
0.49	1739	20
0.5	1825	20
0.51	1930	19
0.52	2059	19
0.53	2162	19
0.54	2262	19
0.55	2392	19
0.56	2512	19
0.57	2630	19
0.58	2744	18
0.59	2898	18
0.6	3027	18
0.61	3191	18
0.62	3332	18
0.63	3498	17
0.64	3667	17
0.65	3819	17
0.66	3994	17
0.67	4181	17
0.68	4356	17
0.69	4510	17
0.7	4717	16
0.71	4892	16
0.72	5085	16
0.73	5296	16
0.74	5497	16
0.75	5671	16
0.76	5867	15
0.77	6068	15
0.78	6258	15
0.79	6442	14
0.8	6613	14
0.81	6786	14
0.82	6960	10
epq	tpr	score
0.01008	0.0336	57
0.01267	0.03589	56
0.01588	0.03812	54
0.02007	0.04172	52
0.02524	0.04479	50
0.03175	0.04769	49
0.04005	0.05001	48
0.0504	0.0526	46
0.06351	0.05486	46
0.08001	0.05724	44
0.1008	0.0594	44
0.127	0.06153	43
0.16	0.0636	43
0.2016	0.06588	42
0.254	0.06856	41
0.32	0.07067	41
0.4032	0.07351	40
0.508	0.07575	39
0.6401	0.07873	39
0.8064	0.0813	38
1.016	0.08432	38
1.28	0.0874	37
1.613	0.09023	36
2.032	0.09351	36
2.56	0.09682	35
3.225	0.1005	35
4.064	0.1042	34
5.12	0.1085	34
6.451	0.1128	33
8.128	0.1175	33
6960	0.82	10
precision	recall	score
0.9956	0.01	95
0.9953	0.02	72
0.9937	0.03	60
0.9891	0.04	53
0.9807	0.05	48
0.9572	0.06	44
0.9042	0.07	41
0.8169	0.08	38
0.6966	0.09	36
0.5662	0.1	35
0.4435	0.11	33
0.3433	0.12	32
0.2727	0.13	31
0.2135	0.14	30
0.1727	0.15	30
0.1413	0.16	29
0.1163	0.17	28
0.09899	0.18	28
0.08396	0.19	27
0.07333	0.2	27
0.06533	0.21	26
0.05791	0.22	26
0.05172	0.23	25
0.04602	0.24	25
0.04187	0.25	25
0.03878	0.26	25
0.0349	0.27	24
0.03247	0.28	24
0.02999	0.29	24
0.02823	0.3	24
0.02632	0.31	23
0.0249	0.32	23
0.02342	0.33	23
0.0221	0.34	22
0.02053	0.35	22
0.01959	0.36	22
0.01862	0.37	22
0.01777	0.38	22
0.01712	0.39	22
0.01627	0.4	21
0.01557	0.41	21
0.01493	0.42	21
0.01429	0.43	21
0.01375	0.44	20
0.01302	0.45	20
0.01257	0.46	20
0.01215	0.47	20
0.01168	0.48	20
0.0113	0.49	20
0.01099	0.5	20
0.01061	0.51	19
0.01014	0.52	19
0.009848	0.53	19
0.009589	0.54	19
0.009239	0.55	19
0.008961	0.56	19
0.008715	0.57	19
0.008502	0.58	18
0.00819	0.59	18
0.007977	0.6	18
0.007694	0.61	18
0.007491	0.62	18
0.007253	0.63	17
0.00703	0.64	17
0.006857	0.65	17
0.006658	0.66	17
0.006458	0.67	17
0.006293	0.68	17
0.006167	0.69	17
0.005983	0.7	16
0.005853	0.71	16
0.005711	0.72	16
0.005561	0.73	16
0.005431	0.74	16
0.005336	0.75	16
0.005228	0.76	15
0.005121	0.77	15
0.00503	0.78	15
0.00495	0.79	14
0.004883	0.8	14
0.004818	0.81	14
0.004755	0.8197	10
SEPQ0.1=0.0593 SEPQ1=0.0841 SEPQ10=0.1217 S1FP=0.0842 N1FP=38298 area=2.15
