tpr	epq	fpr	precision	score
0.01	0	0	1	0.9082
0.02	0	0	1	0.8907
0.03	0	0	1	0.8775
0.04	0	0	1	0.8663
0.05	0	0	1	0.8553
0.06	0	0	1	0.8461
0.07	0	0	1	0.8378
0.08	0	0	1	0.8302
0.09	0.0001784	0.0002044	0.9998	0.8226
0.1	0.0001784	0.0001839	0.9998	0.8157
0.11	0.0001784	0.0001672	0.9998	0.8088
0.12	0.0007136	0.0006128	0.9994	0.8028
0.13	0.0007136	0.0005657	0.9994	0.7967
0.14	0.000892	0.0006566	0.9993	0.7909
0.15	0.00107	0.0007353	0.9993	0.7857
0.16	0.001427	0.000919	0.9991	0.7807
0.17	0.001784	0.001081	0.9989	0.7762
0.18	0.001784	0.001021	0.999	0.7718
0.19	0.001962	0.001064	0.9989	0.767
0.2	0.002141	0.001103	0.9989	0.7626
0.21	0.002141	0.00105	0.9989	0.7583
0.22	0.002498	0.001169	0.9988	0.7542
0.23	0.002676	0.001198	0.9988	0.7505
0.24	0.00339	0.001454	0.9985	0.7469
0.25	0.00446	0.001836	0.9982	0.7433
0.26	0.005887	0.002329	0.9977	0.7397
0.27	0.006422	0.002447	0.9976	0.7362
0.28	0.006779	0.00249	0.9975	0.7325
0.29	0.007671	0.00272	0.9973	0.729
0.3	0.008741	0.002996	0.997	0.7257
0.31	0.009812	0.003253	0.9967	0.7221
0.32	0.01088	0.003495	0.9965	0.7187
0.33	0.01177	0.003666	0.9963	0.7157
0.34	0.01284	0.00388	0.9961	0.7123
0.35	0.01445	0.004239	0.9958	0.709
0.36	0.01641	0.004679	0.9953	0.7059
0.37	0.01784	0.004947	0.9951	0.7028
0.38	0.02034	0.005489	0.9945	0.6996
0.39	0.02266	0.005955	0.994	0.6965
0.4	0.0248	0.006352	0.9936	0.6932
0.41	0.02783	0.006951	0.993	0.6898
0.42	0.03015	0.007348	0.9927	0.6867
0.43	0.033	0.007852	0.9921	0.6834
0.44	0.038	0.008827	0.9912	0.6799
0.45	0.04237	0.009616	0.9904	0.6766
0.46	0.04549	0.01009	0.9899	0.6737
0.47	0.05031	0.01092	0.9891	0.6706
0.48	0.05602	0.01189	0.9881	0.6676
0.49	0.06173	0.01282	0.9872	0.6648
0.5	0.06779	0.01379	0.9862	0.6616
0.51	0.07653	0.01524	0.9848	0.6586
0.52	0.08572	0.01671	0.9833	0.6553
0.53	0.09401	0.01796	0.982	0.6522
0.54	0.1036	0.01941	0.9806	0.6488
0.55	0.1129	0.02073	0.9793	0.6456
0.56	0.1293	0.02326	0.9767	0.6421
0.57	0.1433	0.02528	0.9747	0.6388
0.58	0.1611	0.02784	0.9722	0.6353
0.59	0.1818	0.03079	0.9692	0.6319
0.6	0.2037	0.03383	0.9662	0.6287
0.61	0.231	0.03759	0.9624	0.6252
0.62	0.2572	0.04103	0.959	0.6216
0.63	0.2833	0.04431	0.9557	0.618
0.64	0.3126	0.04794	0.9521	0.6146
0.65	0.3491	0.05248	0.9475	0.6111
0.66	0.4054	0.05957	0.9404	0.6071
0.67	0.4607	0.06621	0.9338	0.6035
0.68	0.5314	0.07457	0.9254	0.5996
0.69	0.6102	0.08357	0.9164	0.5958
0.7	0.7038	0.09394	0.9061	0.5919
0.71	0.8039	0.1046	0.8954	0.5881
0.72	0.9371	0.1183	0.8817	0.584
0.73	1.1	0.1345	0.8655	0.5796
0.74	1.279	0.1513	0.8487	0.5755
0.75	1.514	0.1723	0.8277	0.5708
0.76	1.747	0.1916	0.8084	0.5666
0.77	2.07	0.2171	0.7829	0.5615
0.78	2.436	0.2436	0.7564	0.5568
0.79	2.862	0.272	0.728	0.552
0.8	3.457	0.3082	0.6918	0.5465
0.81	4.134	0.3448	0.6552	0.5413
0.82	4.933	0.3829	0.6171	0.5358
0.83	5.896	0.4228	0.5772	0.5304
0.84	7.164	0.4679	0.5321	0.5243
0.85	8.74	0.5146	0.4854	0.5179
0.86	10.63	0.5603	0.4397	0.5115
0.87	12.96	0.6056	0.3944	0.5048
0.88	15.69	0.6477	0.3523	0.4983
0.89	19.33	0.6913	0.3087	0.491
0.9	24.17	0.7347	0.2653	0.483
0.91	30.22	0.774	0.226	0.4748
0.92	38.99	0.8138	0.1862	0.4653
0.93	50.43	0.8483	0.1517	0.4554
0.94	66.36	0.8792	0.1208	0.4447
0.95	94.28	0.911	0.08901	0.4309
0.96	141.2	0.9382	0.06183	0.4151
0.97	231.2	0.9609	0.0391	0.3961
0.98	450.5	0.9793	0.02066	0.3703
0.99	1659	0.9942	0.005753	0.3204
1	1.112e+04	0.9991	0.0008715	0.04151
SEPQ0.1=0.5360 SEPQ1=0.7239 SEPQ10=0.8565 S1FP=3.2210 N1FP=350178 area=31.6
