tpr	epq	fpr	precision	score
0.01	0.08795	0.1449	0.8551	0.6548
0.02	0.1809	0.1484	0.8516	0.6322
0.03	0.2721	0.1488	0.8512	0.6193
0.04	0.3711	0.1517	0.8483	0.6096
0.05	0.4851	0.1575	0.8425	0.602
0.06	0.6068	0.1631	0.8369	0.596
0.07	0.733	0.1679	0.8321	0.5907
0.08	0.8675	0.1728	0.8272	0.586
0.09	1.014	0.1784	0.8216	0.5818
0.1	1.172	0.1842	0.8158	0.5779
0.11	1.349	0.1912	0.8088	0.574
0.12	1.523	0.1965	0.8035	0.5705
0.13	1.703	0.2016	0.7984	0.5673
0.14	1.9	0.2073	0.7927	0.5641
0.15	2.103	0.2127	0.7873	0.561
0.16	2.335	0.2195	0.7805	0.5581
0.17	2.559	0.2249	0.7751	0.5553
0.18	2.797	0.2304	0.7696	0.5526
0.19	3.071	0.2375	0.7625	0.55
0.2	3.358	0.2445	0.7555	0.5474
0.21	3.67	0.2519	0.7481	0.5448
0.22	4.005	0.2597	0.7403	0.5423
0.23	4.348	0.267	0.733	0.5397
0.24	4.702	0.2741	0.7259	0.5373
0.25	5.087	0.2816	0.7184	0.5349
0.26	5.494	0.2894	0.7106	0.5325
0.27	5.95	0.2981	0.7019	0.5301
0.28	6.416	0.3063	0.6937	0.5277
0.29	6.914	0.3148	0.6852	0.5254
0.3	7.444	0.3235	0.6765	0.5231
0.31	7.991	0.3319	0.6681	0.5208
0.32	8.581	0.3407	0.6593	0.5185
0.33	9.196	0.3494	0.6506	0.5162
0.34	9.844	0.3581	0.6419	0.5139
0.35	10.57	0.3679	0.6321	0.5117
0.36	11.29	0.3766	0.6234	0.5095
0.37	12.09	0.3863	0.6137	0.5072
0.38	12.92	0.3958	0.6042	0.5049
0.39	13.8	0.4055	0.5945	0.5027
0.4	14.72	0.4149	0.5851	0.5005
0.41	15.7	0.4246	0.5754	0.4983
0.42	16.73	0.4343	0.5657	0.496
0.43	17.88	0.4448	0.5552	0.4937
0.44	19.06	0.455	0.545	0.4915
0.45	20.29	0.465	0.535	0.4892
0.46	21.61	0.4752	0.5248	0.4869
0.47	23.1	0.4864	0.5136	0.4846
0.48	24.61	0.497	0.503	0.4823
0.49	26.22	0.5077	0.4923	0.48
0.5	27.94	0.5185	0.4815	0.4777
0.51	29.8	0.5296	0.4704	0.4753
0.52	31.73	0.5404	0.4596	0.473
0.53	33.82	0.5515	0.4485	0.4706
0.54	36.08	0.5629	0.4371	0.4682
0.55	38.45	0.574	0.426	0.4658
0.56	40.95	0.5849	0.4151	0.4634
0.57	43.7	0.5964	0.4036	0.4609
0.58	46.64	0.6078	0.3922	0.4584
0.59	49.74	0.619	0.381	0.4559
0.6	53.21	0.6308	0.3692	0.4533
0.61	56.82	0.6422	0.3578	0.4507
0.62	60.7	0.6536	0.3464	0.4482
0.63	64.86	0.6649	0.3351	0.4456
0.64	69.59	0.6769	0.3231	0.4429
0.65	74.55	0.6885	0.3115	0.4401
0.66	80	0.7002	0.2998	0.4374
0.67	85.75	0.7115	0.2885	0.4346
0.68	92.15	0.7231	0.2769	0.4318
0.69	99.15	0.7347	0.2653	0.4289
0.7	106.8	0.7463	0.2537	0.426
0.71	115.1	0.7575	0.2425	0.4231
0.72	124.1	0.7687	0.2313	0.4201
0.73	133.9	0.7795	0.2205	0.4172
0.74	145	0.7906	0.2094	0.4141
0.75	157.4	0.8017	0.1983	0.4109
0.76	171	0.8125	0.1875	0.4077
0.77	187	0.8239	0.1761	0.4042
0.78	203.4	0.834	0.166	0.401
0.79	222.6	0.8445	0.1555	0.3975
0.8	244.4	0.8548	0.1452	0.3939
0.81	268.6	0.8647	0.1353	0.3903
0.82	296.1	0.8743	0.1257	0.3865
0.83	327.9	0.8839	0.1161	0.3826
0.84	363.8	0.893	0.107	0.3786
0.85	405.4	0.9019	0.09812	0.3744
0.86	452.1	0.9102	0.08984	0.3702
0.87	509.2	0.9186	0.08144	0.3656
0.88	575.6	0.9265	0.07351	0.3609
0.89	655.7	0.9342	0.0658	0.3559
0.9	754	0.9417	0.05833	0.3505
0.91	879.6	0.949	0.05095	0.3446
0.92	1041	0.9562	0.04384	0.3381
0.93	1252	0.9629	0.03712	0.3311
0.94	1546	0.9694	0.0306	0.3231
0.95	1991	0.9758	0.02416	0.3134
0.96	2675	0.9817	0.01828	0.302
0.97	3707	0.9866	0.0134	0.2888
0.98	5408	0.9907	0.009316	0.2718
0.99	8023	0.9936	0.006363	0.2476
1	1.112e+04	0.9954	0.004646	0.04151
SEPQ0.1=0.0115 SEPQ1=0.0891 SEPQ10=0.3423 S1FP=0.6019 N1FP=350178 area=5.95
