tpr	epq	score
0.01	0	0.8797
0.02	0.0003568	0.8498
0.03	0.000892	0.8262
0.04	0.003211	0.8061
0.05	0.008385	0.7886
0.06	0.01552	0.7744
0.07	0.02319	0.7614
0.08	0.03282	0.7501
0.09	0.04888	0.7398
0.1	0.0644	0.7302
0.11	0.08724	0.7213
0.12	0.112	0.7131
0.13	0.137	0.7056
0.14	0.1712	0.6981
0.15	0.2134	0.6908
0.16	0.2597	0.684
0.17	0.3126	0.677
0.18	0.372	0.6709
0.19	0.4448	0.6651
0.2	0.5289	0.6592
0.21	0.6326	0.6535
0.22	0.742	0.648
0.23	0.8827	0.6426
0.24	1.047	0.6372
0.25	1.232	0.6319
0.26	1.452	0.6269
0.27	1.693	0.6219
0.28	1.95	0.6172
0.29	2.231	0.6126
0.3	2.575	0.6079
0.31	2.943	0.6034
0.32	3.385	0.599
0.33	3.844	0.5948
0.34	4.372	0.5907
0.35	4.921	0.5867
0.36	5.561	0.5826
0.37	6.201	0.5788
0.38	6.898	0.5749
0.39	7.629	0.5712
0.4	8.415	0.5675
0.41	9.269	0.5636
0.42	10.18	0.5598
0.43	11.12	0.5563
0.44	12.13	0.5527
0.45	13.2	0.5491
0.46	14.31	0.5456
0.47	15.49	0.5421
0.48	16.7	0.5386
0.49	17.96	0.5352
0.5	19.25	0.5319
0.51	20.58	0.5286
0.52	22.04	0.5252
0.53	23.6	0.5218
0.54	25.17	0.5185
0.55	26.83	0.5152
0.56	28.64	0.5118
0.57	30.56	0.5084
0.58	32.63	0.5049
0.59	34.69	0.5017
0.6	37.03	0.4982
0.61	39.42	0.4948
0.62	42.12	0.4912
0.63	44.97	0.4876
0.64	47.94	0.4841
0.65	51.19	0.4805
0.66	54.76	0.4768
0.67	58.65	0.473
0.68	62.86	0.4692
0.69	67.54	0.4654
0.7	72.59	0.4614
0.71	77.95	0.4576
0.72	83.89	0.4536
0.73	90.51	0.4495
0.74	97.69	0.4455
0.75	105.7	0.4414
0.76	114.9	0.4371
0.77	124.7	0.4329
0.78	136.6	0.4283
0.79	149.7	0.4238
0.8	165.6	0.4189
0.81	182.9	0.4142
0.82	203.4	0.4093
0.83	227.9	0.4041
0.84	256.3	0.3988
0.85	289.9	0.3933
0.86	331.2	0.3875
0.87	382.1	0.3814
0.88	447.7	0.3746
0.89	528.8	0.3676
0.9	637	0.3598
0.91	774.8	0.3518
0.92	951.1	0.3435
0.93	1184	0.3348
0.94	1493	0.3256
0.95	1932	0.3156
0.96	2580	0.3042
0.97	3569	0.291
0.98	5071	0.2754
0.99	7267	0.2554
1	1.117e+04	0.04151
epq	tpr	score
0.01008	0.05263	0.7847
0.01267	0.05728	0.7781
0.01588	0.06064	0.7735
0.02007	0.06604	0.7661
0.02524	0.07272	0.758
0.03175	0.07883	0.7513
0.04005	0.08468	0.7452
0.0504	0.09144	0.7383
0.06351	0.09959	0.7305
0.08001	0.1066	0.7242
0.1008	0.1156	0.7166
0.127	0.1264	0.7082
0.16	0.137	0.7003
0.2016	0.1477	0.6926
0.254	0.1588	0.6848
0.32	0.1718	0.6758
0.4032	0.1844	0.6683
0.508	0.1973	0.6607
0.6401	0.2108	0.6531
0.8064	0.2249	0.6453
1.016	0.2383	0.6381
1.28	0.2521	0.6308
1.613	0.2667	0.6235
2.032	0.283	0.6158
2.56	0.2996	0.6081
3.225	0.3166	0.6005
4.064	0.3341	0.5931
5.12	0.353	0.5854
6.451	0.3735	0.5774
8.128	0.3963	0.5688
1.117e+04	1	0.04151
precision	recall	score
1	0.01	0.8797
0.9996	0.02	0.8498
0.9993	0.03	0.8262
0.998	0.04	0.8061
0.9959	0.05	0.7886
0.9937	0.06	0.7744
0.9919	0.07	0.7614
0.99	0.08	0.7501
0.9868	0.09	0.7398
0.9844	0.1	0.7302
0.9808	0.11	0.7213
0.9775	0.12	0.7131
0.9747	0.13	0.7056
0.9707	0.14	0.6981
0.9661	0.15	0.6908
0.9615	0.16	0.684
