tpr	epq	fpr	precision	score
0.01	0	0	1	1.63e-45
0.02	0	0	1	1.64e-34
0.03	0	0	1	7.28e-29
0.04	0	0	1	1.7e-24
0.05	0	0	1	3.43e-21
0.06	0	0	1	1.19e-18
0.07	0	0	1	2.66e-16
0.08	0	0	1	1.65e-14
0.09	0	0	1	6.93e-13
0.1	0	0	1	1.58e-11
0.11	0	0	1	2.19e-10
0.12	0	0	1	2.16e-09
0.13	0	0	1	1.61e-08
0.14	0	0	1	9.79e-08
0.15	0	0	1	4.95e-07
0.16	0	0	1	2.13e-06
0.17	0	0	1	8.38e-06
0.18	0.000446	0.0002554	0.9997	2.66e-05
0.19	0.0009812	0.0005322	0.9995	8.87e-05
0.2	0.001606	0.0008271	0.9992	0.000242
0.21	0.003033	0.001487	0.9985	0.00065
0.22	0.005709	0.002669	0.9973	0.002
0.23	0.01177	0.005251	0.9947	0.004
0.24	0.02087	0.008888	0.9911	0.01
0.25	0.03613	0.01468	0.9853	0.02
0.26	0.0669	0.02585	0.9742	0.041
0.27	0.12	0.04381	0.9562	0.082
0.28	0.2156	0.07356	0.9264	0.16
0.29	0.3722	0.1169	0.8831	0.3
0.3	0.6436	0.1811	0.8189	0.55
0.31	1.07	0.2625	0.7375	0.99
0.32	1.803	0.3674	0.6326	1.8
0.33	3.028	0.4862	0.5138	3.3
0.34	4.703	0.5878	0.4122	5.6
0.35	7.388	0.6852	0.3148	9.7
0.36	7.599	0.6909	0.3091	10
SEPQ0.1=0.2669 SEPQ1=0.3087 SEPQ10=0.3507 S1FP=0.4351 N1FP=47298 area=4.13
