tpr	epq	score
0.01	0	5.77e-29
0.02	0	5.41e-19
0.03	0	3.16e-13
0.04	0.0001784	1.4e-09
0.05	0.0005352	3.78e-07
0.06	0.001962	2.29e-05
0.07	0.004638	0.000566
0.08	0.0223	0.008
0.09	0.09669	0.057
0.1	0.3877	0.3
0.11	1.301	1.2
0.12	3.533	3.9
0.13	7.695	10
epq	tpr	score
0.01008	0.07466	0.002
0.01267	0.07589	0.003
0.01588	0.07734	0.004
0.02007	0.07947	0.007
0.02524	0.08096	0.01
0.03175	0.08266	0.014
0.04005	0.08421	0.019
0.0504	0.08585	0.026
0.06351	0.08724	0.034
0.08001	0.08878	0.045
0.1008	0.09034	0.06
0.127	0.09202	0.08
0.16	0.09356	0.11
0.2016	0.09515	0.14
0.254	0.09692	0.18
0.32	0.09859	0.24
0.4032	0.1003	0.31
0.508	0.102	0.4
0.6401	0.1038	0.53
0.8064	0.1058	0.69
1.016	0.1079	0.9
1.28	0.1099	1.2
1.613	0.1121	1.5
2.032	0.1142	2
2.56	0.1164	2.6
3.225	0.1189	3.5
4.064	0.1216	4.6
5.12	0.1244	6.1
6.451	0.1271	8
7.695	0.13	10
precision	recall	score
1	0.01	5.77e-29
1	0.02	5.41e-19
1	0.03	3.16e-13
0.9999	0.04	1.4e-09
0.9997	0.05	3.78e-07
0.9992	0.06	2.29e-05
0.9984	0.07	0.000566
0.9932	0.08	0.008
0.9742	0.09	0.057
0.9128	0.1	0.3
0.7742	0.11	1.2
0.5795	0.12	3.9
0.4055	0.1294	10
SEPQ0.1=0.0903 SEPQ1=0.1078 SEPQ10=0.1294 S1FP=0.1031 N1FP=46891 area=2.98
