tpr	epq	fpr	precision	score
0.01	0.0005352	0.001731	0.9983	28.5
0.02	0.001784	0.002881	0.9971	23.9
0.03	0.003568	0.003838	0.9962	21
0.04	0.01311	0.01051	0.9895	19
0.05	0.02533	0.01615	0.9839	17.5
0.06	0.04032	0.02131	0.9787	16.4
0.07	0.05316	0.02401	0.976	15.5
0.08	0.06511	0.02569	0.9743	14.8
0.09	0.08081	0.02827	0.9717	14.2
0.1	0.09384	0.0295	0.9705	13.7
0.11	0.1071	0.03059	0.9694	13.2
0.12	0.1236	0.0323	0.9677	12.8
0.13	0.1391	0.03351	0.9665	12.4
0.14	0.1579	0.03525	0.9648	12
0.15	0.1824	0.0379	0.9621	11.7
0.16	0.2076	0.04033	0.9597	11.4
0.17	0.2311	0.04218	0.9578	11.1
0.18	0.2604	0.04476	0.9552	10.8
0.19	0.2892	0.04699	0.953	10.6
0.2	0.3212	0.04946	0.9505	10.3
0.21	0.3621	0.0529	0.9471	10.1
0.22	0.4105	0.057	0.943	9.9
0.23	0.4702	0.06211	0.9379	9.7
0.24	0.543	0.0683	0.9317	9.4
0.25	0.6296	0.07544	0.9246	9.3
0.26	0.7181	0.08213	0.9179	9.1
0.27	0.827	0.09027	0.9097	8.9
0.28	0.9498	0.09901	0.901	8.8
0.29	1.096	0.109	0.891	8.6
0.3	1.254	0.1192	0.8808	8.5
0.31	1.448	0.1315	0.8685	8.3
0.32	1.656	0.1436	0.8564	8.2
0.33	1.86	0.1544	0.8456	8.1
0.34	2.116	0.1678	0.8322	7.9
0.35	2.409	0.1823	0.8177	7.8
0.36	2.707	0.1959	0.8041	7.7
0.37	3.061	0.2114	0.7886	7.6
0.38	3.474	0.2285	0.7715	7.4
0.39	3.917	0.2455	0.7545	7.3
0.4	4.374	0.2616	0.7384	7.2
0.41	4.892	0.2788	0.7212	7.1
0.42	5.446	0.2958	0.7042	7
0.43	6.078	0.3141	0.6859	6.8
0.44	6.746	0.3319	0.6681	6.7
0.45	7.529	0.3515	0.6485	6.6
0.46	8.371	0.3709	0.6291	6.5
0.47	9.299	0.3906	0.6094	6.4
0.48	10.27	0.4094	0.5906	6.3
0.49	11.38	0.4294	0.5706	6.1
0.5	12.65	0.4504	0.5496	6
0.51	13.99	0.4705	0.5295	5.9
0.52	15.42	0.4899	0.5101	5.8
0.53	16.97	0.5092	0.4908	5.7
0.54	18.68	0.5284	0.4716	5.6
0.55	20.53	0.5473	0.4527	5.5
0.56	22.57	0.5663	0.4337	5.4
0.57	24.88	0.5858	0.4142	5.2
0.58	27.41	0.6049	0.3951	5.1
0.59	29.99	0.6222	0.3778	5
0.6	32.82	0.6393	0.3607	4.9
0.61	35.97	0.6564	0.3436	4.8
0.62	39.38	0.673	0.327	4.7
0.63	43.21	0.6896	0.3104	4.6
0.64	47.52	0.7064	0.2936	4.5
0.65	52.02	0.7217	0.2783	4.4
0.66	56.85	0.7362	0.2638	4.3
0.67	62.41	0.7511	0.2489	4.1
0.68	68.52	0.7655	0.2345	4
0.69	74.91	0.7786	0.2214	3.9
0.7	82.1	0.7916	0.2084	3.8
0.71	89.83	0.8039	0.1961	3.7
0.72	98.48	0.8159	0.1841	3.6
0.73	108	0.8274	0.1726	3.5
0.74	118	0.8378	0.1622	3.4
0.75	128.9	0.8477	0.1523	3.3
0.76	141	0.8574	0.1426	3.1
0.77	155.2	0.8672	0.1328	3
0.78	170.3	0.8762	0.1238	2.9
0.79	187.7	0.885	0.115	2.8
0.8	205.3	0.8927	0.1073	2.7
0.81	228.5	0.9014	0.09864	2.5
0.82	253.2	0.9091	0.09089	2.4
0.83	280.5	0.9163	0.08369	2.3
0.84	315	0.924	0.07604	2.1
0.85	342.5	0.9291	0.07093	2
SEPQ0.1=0.1061 SEPQ1=0.2835 SEPQ10=0.4768 S1FP=1.0181 N1FP=352302 area=11.2
