tpr	epq	score
0.01	0.001249	32.9
0.02	0.00446	28.7
0.03	0.01204	25.5
0.04	0.02203	23.3
0.05	0.0355	21.5
0.06	0.05539	20
0.07	0.08545	18.7
0.08	0.1174	17.7
0.09	0.154	16.9
0.1	0.2003	16.2
0.11	0.2548	15.6
0.12	0.3223	15
0.13	0.4182	14.5
0.14	0.5333	14.1
0.15	0.6542	13.7
0.16	0.7919	13.3
0.17	0.9541	13
0.18	1.125	12.6
0.19	1.326	12.3
0.2	1.547	12
0.21	1.787	11.8
0.22	2.042	11.5
0.23	2.318	11.3
0.24	2.615	11
0.25	2.925	10.8
0.26	3.221	10.6
0.27	3.534	10.4
0.28	3.862	10.2
0.29	4.191	10
0.3	4.529	9.8
0.31	4.852	9.7
0.32	5.194	9.5
0.33	5.523	9.3
0.34	5.874	9.1
0.35	6.214	9
0.36	6.592	8.8
0.37	6.936	8.7
0.38	7.323	8.5
0.39	7.744	8.4
0.4	8.169	8.3
0.41	8.637	8.1
0.42	9.083	8
0.43	9.616	7.9
0.44	10.21	7.7
0.45	10.84	7.6
0.46	11.51	7.5
0.47	12.21	7.4
0.48	13.04	7.2
0.49	13.89	7.1
0.5	14.81	7
0.51	15.77	6.9
0.52	16.89	6.7
0.53	18.11	6.6
0.54	19.44	6.5
0.55	21.01	6.3
0.56	22.57	6.2
0.57	24.31	6.1
0.58	26.21	6
0.59	28.34	5.8
0.6	30.6	5.7
0.61	33.07	5.6
0.62	35.71	5.5
0.63	38.88	5.3
0.64	42.19	5.2
0.65	45.82	5.1
0.66	49.71	5
0.67	54.18	4.8
0.68	58.81	4.7
0.69	64.19	4.6
0.7	70.29	4.4
0.71	76.73	4.3
0.72	83.86	4.2
0.73	91.65	4.1
0.74	100.4	3.9
0.75	110.1	3.8
0.76	120.6	3.7
0.77	133	3.5
0.78	145.8	3.4
0.79	160.3	3.2
0.8	176.2	3.1
0.81	194.6	3
0.82	216.6	2.8
0.83	239.9	2.7
0.84	268.6	2.5
0.85	303	2.3
0.86	341.2	2.2
0.87	381.9	2
epq	tpr	score
0.01008	0.02795	26
0.01267	0.03079	25.3
0.01588	0.03296	24.8
0.02007	0.03795	23.7
0.02524	0.04246	22.9
0.03175	0.04739	22
0.04005	0.05263	21.1
0.0504	0.05795	20.3
0.06351	0.06315	19.6
0.08001	0.06851	18.9
0.1008	0.07551	18.2
0.127	0.08286	17.5
0.16	0.09208	16.8
0.2016	0.1002	16.2
0.254	0.1099	15.6
0.32	0.1197	15
0.4032	0.1285	14.6
0.508	0.1377	14.2
0.6401	0.1491	13.7
0.8064	0.1605	13.3
1.016	0.1737	12.8
1.28	0.1882	12.4
1.613	0.2027	12
2.032	0.2194	11.5
2.56	0.2384	11.1
3.225	0.2602	10.6
4.064	0.2861	10.1
5.12	0.3179	9.5
6.451	0.3568	8.9
8.128	0.399	8.3
381.9	0.87	2
precision	recall	score
0.9969	0.01	32.9
0.9945	0.02	28.7
0.9902	0.03	25.5
0.9866	0.04	23.3
0.9828	0.05	21.5
0.9777	0.06	20
0.9708	0.07	18.7
0.9651	0.08	17.7
0.9595	0.09	16.9
0.9529	0.1	16.2
0.946	0.11	15.6
0.9379	0.12	15
0.9265	0.13	14.5
0.9142	0.14	14.1
0.9029	0.15	13.7
0.8913	0.16	13.3
0.8785	0.17	13
0.8665	0.18	12.6
0.8532	0.19	12.3
0.8398	0.2	12
0.8266	0.21	11.8
0.8138	0.22	11.5
0.801	0.23	11.3
0.7883	0.24	11
0.7761	0.25	10.8
0.7661	0.26	10.6
0.756	0.27	10.4
0.7463	0.28	10.2
0.7373	0.29	10
0.7288	0.3	9.8
0.7216	0.31	9.7
0.7142	0.32	9.5
0.7079	0.33	9.3
0.7013	0.34	9.1
0.6956	0.35	9
0.689	0.36	8.8
0.6839	0.37	8.7
0.6779	0.38	8.5
0.6714	0.39	8.4
0.6651	0.4	8.3
0.6582	0.41	8.1
0.6523	0.42	8
0.6446	0.43	7.9
0.636	0.44	7.7
0.6274	0.45	7.6
0.6186	0.46	7.5
0.6097	0.47	7.4
0.5988	0.48	7.2
0.5886	0.49	7.1
0.578	0.5	7
0.5675	0.51	6.9
0.5553	0.52	6.7
0.5427	0.53	6.6
0.5298	0.54	6.5
0.515	0.55	6.3
0.5016	0.56	6.2
0.4875	0.57	6.1
0.4731	0.58	6
0.4578	0.59	5.8
0.443	0.6	5.7
0.428	0.61	5.6
0.4132	0.62	5.5
0.3966	0.63	5.3
0.3809	0.64	5.2
0.3652	0.65	5.1
0.35	0.66	5
0.3341	0.67	4.8
0.3193	0.68	4.7
0.3037	0.69	4.6
0.2877	0.7	4.4
0.2729	0.71	4.3
0.2583	0.72	4.2
0.2442	0.73	4.1
0.2302	0.74	3.9
0.2165	0.75	3.8
0.2036	0.76	3.7
0.1902	0.77	3.5
0.1783	0.78	3.4
0.1666	0.79	3.2
0.1555	0.8	3.1
0.1444	0.81	3
0.1331	0.82	2.8
0.1231	0.83	2.7
0.1126	0.84	2.5
0.1022	0.85	2.3
0.09276	0.86	2.2
0.08441	0.868	2
SEPQ0.1=0.0754 SEPQ1=0.1729 SEPQ10=0.4365 S1FP=0.4756 N1FP=216279 area=4.26
