tpr	epq	fpr	precision	score
0.01	0	0	1	4.32e-27
0.02	0	0	1	3.539e-23
0.03	0	0	1	4.994e-21
0.04	0	0	1	2.375e-19
0.05	0	0	1	7.616e-18
0.06	0	0	1	1.256e-16
0.07	0	0	1	1.85e-15
0.08	0	0	1	1.918e-14
0.09	8.92e-05	0.0001022	0.9999	1.343e-13
0.1	8.92e-05	9.197e-05	0.9999	7.342e-13
0.11	0.000446	0.0004179	0.9996	3.8e-12
0.12	0.00107	0.0009189	0.9991	1.614e-11
0.13	0.001606	0.001272	0.9987	6.46e-11
0.14	0.002676	0.001967	0.998	2.245e-10
0.15	0.003836	0.00263	0.9974	7.203e-10
0.16	0.005709	0.003666	0.9963	1.98e-09
0.17	0.007582	0.004578	0.9954	4.884e-09
0.18	0.009901	0.00564	0.9944	1.119e-08
0.19	0.01293	0.00697	0.993	2.369e-08
0.2	0.01641	0.008391	0.9916	4.616e-08
0.21	0.01936	0.009415	0.9906	8.37e-08
0.22	0.02239	0.01039	0.9896	1.431e-07
0.23	0.02747	0.01217	0.9878	2.372e-07
0.24	0.03149	0.01335	0.9867	3.788e-07
0.25	0.03675	0.01493	0.9851	5.953e-07
0.26	0.04085	0.01594	0.9841	9.288e-07
0.27	0.04576	0.01718	0.9828	1.37e-06
0.28	0.04942	0.01787	0.9821	1.971e-06
0.29	0.05504	0.01919	0.9808	2.818e-06
0.3	0.05932	0.01998	0.98	3.856e-06
0.31	0.06297	0.02052	0.9795	5.258e-06
0.32	0.06841	0.02157	0.9784	7.089e-06
0.33	0.0727	0.02221	0.9778	9.494e-06
0.34	0.07689	0.02279	0.9772	1.249e-05
0.35	0.0834	0.02398	0.976	1.617e-05
0.36	0.08875	0.02479	0.9752	2.098e-05
0.37	0.09446	0.02565	0.9743	2.715e-05
0.38	0.1001	0.02644	0.9736	3.398e-05
0.39	0.1053	0.02708	0.9729	4.29e-05
0.4	0.1123	0.02814	0.9719	5.399e-05
0.41	0.1189	0.02904	0.971	6.714e-05
0.42	0.1291	0.03072	0.9693	8.407e-05
0.43	0.1367	0.03173	0.9683	0.0001026
0.44	0.1471	0.03332	0.9667	0.0001278
0.45	0.1594	0.03524	0.9648	0.0001582
0.46	0.17	0.03671	0.9633	0.000192
0.47	0.1819	0.03837	0.9616	0.000234
0.48	0.1948	0.04017	0.9598	0.0002847
0.49	0.2099	0.0423	0.9577	0.0003464
0.5	0.2292	0.04514	0.9549	0.0004279
0.51	0.2506	0.04822	0.9518	0.0005201
0.52	0.2734	0.05143	0.9486	0.000624
0.53	0.3021	0.05552	0.9445	0.000755
0.54	0.3282	0.05899	0.941	0.0009058
0.55	0.3679	0.06453	0.9355	0.001111
0.56	0.4115	0.07043	0.9296	0.001353
0.57	0.466	0.07775	0.9223	0.001638
0.58	0.5302	0.08614	0.9139	0.001983
0.59	0.6041	0.09551	0.9045	0.002397
0.6	0.6932	0.1065	0.8935	0.002915
0.61	0.7999	0.1191	0.8809	0.003534
0.62	0.9204	0.1328	0.8672	0.004257
0.63	1.072	0.1493	0.8507	0.005163
0.64	1.252	0.1678	0.8322	0.006254
0.65	1.46	0.1881	0.8119	0.007625
0.66	1.716	0.2114	0.7886	0.009273
0.67	2.035	0.2385	0.7615	0.01128
0.68	2.397	0.2666	0.7334	0.01367
0.69	2.838	0.2978	0.7022	0.01667
0.7	3.339	0.3297	0.6703	0.02015
0.71	3.99	0.3669	0.6331	0.02478
0.72	4.833	0.4091	0.5909	0.03088
0.73	5.81	0.4508	0.5492	0.03816
0.74	7.057	0.4958	0.5042	0.04785
0.75	8.476	0.5382	0.4618	0.05926
0.76	10.29	0.5827	0.4173	0.07477
0.77	12.4	0.6241	0.3759	0.09338
0.78	15.03	0.6653	0.3347	0.1173
0.79	18.39	0.7059	0.2941	0.1493
0.8	22.51	0.7437	0.2563	0.1904
0.81	27.71	0.7791	0.2209	0.2455
0.82	34.03	0.8106	0.1894	0.3161
0.83	42.26	0.84	0.16	0.4128
0.84	52.42	0.8655	0.1345	0.5393
0.85	64.77	0.8871	0.1129	0.7034
0.86	81.28	0.9069	0.09306	0.9362
0.87	102.2	0.9238	0.07624	1.249
0.88	129.9	0.9383	0.06165	1.684
0.89	166.4	0.9507	0.04931	2.293
0.9	217.8	0.9615	0.03853	3.19
0.91	289.7	0.9704	0.02956	4.496
0.92	398.8	0.9781	0.02188	6.524
0.93	583.6	0.9848	0.01522	10
0.94	972.9	0.9907	0.009283	17.26
0.95	2519	0.9964	0.003644	45.7
0.96	5124	0.9982	0.001802	103
SEPQ0.1=0.3800 SEPQ1=0.6255 SEPQ10=0.7583 S1FP=2.2332 N1FP=242785 area=26.8
