tpr	epq	fpr	precision	score
0.01	0.1239	0.1927	0.8073	7.445e-05
0.02	0.2254	0.1784	0.8216	0.0004134
0.03	0.3718	0.1928	0.8072	0.00113
0.04	0.5842	0.2196	0.7804	0.002293
0.05	0.8651	0.2501	0.7499	0.003916
0.06	1.227	0.2828	0.7172	0.00611
0.07	1.661	0.3138	0.6862	0.008916
0.08	2.193	0.3456	0.6544	0.01231
0.09	2.808	0.3755	0.6245	0.01648
0.1	3.495	0.4024	0.5976	0.02125
0.11	4.27	0.4279	0.5721	0.02679
0.12	5.158	0.453	0.547	0.03331
0.13	6.141	0.4765	0.5235	0.04072
0.14	7.209	0.4981	0.5019	0.04903
0.15	8.365	0.518	0.482	0.05839
0.16	9.573	0.5355	0.4645	0.06866
0.17	10.92	0.553	0.447	0.08016
0.18	12.31	0.5686	0.4314	0.09259
0.19	13.87	0.5844	0.4156	0.1066
0.2	15.49	0.5988	0.4012	0.1215
0.21	17.19	0.6121	0.3879	0.1377
0.22	19.06	0.6254	0.3746	0.1559
0.23	21.02	0.6378	0.3622	0.1755
0.24	23.14	0.6501	0.3499	0.1972
0.25	25.32	0.6612	0.3388	0.22
0.26	27.72	0.6726	0.3274	0.2457
0.27	30.22	0.6832	0.3168	0.2729
0.28	32.88	0.6935	0.3065	0.3028
0.29	35.68	0.7033	0.2967	0.3355
0.3	38.62	0.7127	0.2873	0.3698
0.31	41.79	0.7221	0.2779	0.4073
0.32	45.23	0.7315	0.2685	0.4491
0.33	48.84	0.7404	0.2596	0.4939
0.34	52.56	0.7487	0.2513	0.5412
0.35	56.58	0.757	0.243	0.5933
0.36	60.74	0.7648	0.2352	0.6486
0.37	65.15	0.7724	0.2276	0.7088
0.38	69.86	0.7799	0.2201	0.7734
0.39	74.83	0.7871	0.2129	0.8432
0.4	79.99	0.794	0.206	0.9168
0.41	85.48	0.8007	0.1993	0.9977
0.42	91.49	0.8076	0.1924	1.086
0.43	97.74	0.8141	0.1859	1.181
0.44	104.5	0.8206	0.1794	1.284
0.45	111.8	0.8272	0.1728	1.397
0.46	119.4	0.8334	0.1666	1.517
0.47	127.5	0.8394	0.1606	1.646
0.48	136.2	0.8454	0.1546	1.787
0.49	145.2	0.851	0.149	1.938
0.5	155	0.8566	0.1434	2.1
0.51	165.5	0.8622	0.1378	2.279
0.52	177.1	0.8678	0.1322	2.476
0.53	189.1	0.873	0.127	2.686
0.54	202.3	0.8783	0.1217	2.916
0.55	216.5	0.8835	0.1165	3.166
0.56	231.9	0.8886	0.1114	3.442
0.57	248.6	0.8937	0.1063	3.746
0.58	266.7	0.8986	0.1014	4.073
0.59	286.6	0.9035	0.09651	4.439
0.6	308	0.9082	0.09181	4.831
0.61	330.7	0.9126	0.08736	5.255
0.62	355.8	0.9171	0.08292	5.721
0.63	383.5	0.9215	0.07855	6.237
0.64	413.6	0.9257	0.07432	6.802
0.65	447.5	0.9299	0.07009	7.437
0.66	484.7	0.934	0.06599	8.138
0.67	527.2	0.9381	0.06187	8.941
0.68	575.9	0.9423	0.05773	9.859
0.69	628.3	0.9461	0.05392	10.84
0.7	688.5	0.9499	0.05011	11.97
0.71	755.3	0.9535	0.04651	13.22
0.72	833.2	0.9571	0.04292	14.68
0.73	925.9	0.9607	0.03931	16.4
0.74	1031	0.9641	0.0359	18.34
0.75	1157	0.9675	0.03254	20.66
0.76	1307	0.9707	0.02929	23.4
0.77	1485	0.9738	0.02619	26.67
0.78	1708	0.9769	0.02314	30.73
0.79	1978	0.9797	0.0203	35.66
0.8	2330	0.9825	0.0175	42.15
0.81	2786	0.9851	0.01486	50.79
0.82	3380	0.9876	0.01243	62.78
0.83	4181	0.9898	0.0102	81.39
0.84	5118	0.9916	0.008446	103
0.85	5124	0.9916	0.008435	103
SEPQ0.1=0.0071 SEPQ1=0.0540 SEPQ10=0.1632 S1FP=0.4173 N1FP=242785 area=1.36
