tpr	epq	fpr	precision	score
0.01	0	0	1	9.562e-17
0.02	0.0001784	0.0002889	0.9997	2.073e-12
0.03	0.002854	0.003073	0.9969	3.1e-10
0.04	0.009544	0.007671	0.9923	9.61e-09
0.05	0.0198	0.01267	0.9873	9.009e-08
0.06	0.03354	0.01779	0.9822	4.636e-07
0.07	0.04736	0.02145	0.9785	1.557e-06
0.08	0.05994	0.0237	0.9763	4.126e-06
0.09	0.07234	0.02538	0.9746	9.356e-06
0.1	0.08697	0.0274	0.9726	1.917e-05
0.11	0.1009	0.02885	0.9711	3.574e-05
0.12	0.1168	0.03058	0.9694	6.319e-05
0.13	0.1389	0.03345	0.9665	0.0001059
0.14	0.1635	0.03646	0.9635	0.0001722
0.15	0.1907	0.03956	0.9604	0.0002699
0.16	0.2254	0.04365	0.9564	0.0004133
0.17	0.273	0.04946	0.9505	0.0006213
0.18	0.3285	0.05583	0.9442	0.0009081
0.19	0.3988	0.06367	0.9363	0.001286
0.2	0.493	0.07395	0.926	0.001792
0.21	0.6136	0.08647	0.9135	0.002449
0.22	0.7544	0.09999	0.9	0.003265
0.23	0.9261	0.1154	0.8846	0.004298
0.24	1.14	0.1333	0.8667	0.005571
0.25	1.383	0.152	0.848	0.00712
0.26	1.679	0.173	0.827	0.009021
0.27	2.031	0.1959	0.8041	0.01126
0.28	2.438	0.22	0.78	0.01396
0.29	2.905	0.245	0.755	0.01716
0.3	3.447	0.2713	0.7287	0.0209
0.31	4.065	0.2981	0.7019	0.02531
0.32	4.791	0.3266	0.6734	0.03057
0.33	5.581	0.3539	0.6461	0.03649
0.34	6.453	0.3808	0.6192	0.04318
0.35	7.468	0.4087	0.5913	0.05112
0.36	8.571	0.4355	0.5645	0.06006
0.37	9.816	0.4622	0.5378	0.07061
0.38	11.14	0.4871	0.5129	0.08213
0.39	12.61	0.5115	0.4885	0.09529
0.4	14.23	0.5354	0.4646	0.11
0.41	16.06	0.5594	0.4406	0.127
0.42	18.02	0.5816	0.4184	0.1457
0.43	20.11	0.6024	0.3976	0.1663
0.44	22.47	0.6233	0.3767	0.19
0.45	24.96	0.6425	0.3575	0.2161
0.46	27.72	0.6613	0.3387	0.2456
0.47	30.83	0.68	0.32	0.2798
0.48	34.03	0.6967	0.3033	0.3161
0.49	37.57	0.713	0.287	0.3573
0.5	41.42	0.7285	0.2715	0.4028
0.51	45.58	0.7433	0.2567	0.4533
0.52	50.26	0.758	0.242	0.5121
0.53	55.22	0.7715	0.2285	0.5755
0.54	60.55	0.7841	0.2159	0.6464
0.55	66.19	0.7959	0.2041	0.7227
0.56	72.32	0.8071	0.1929	0.8081
0.57	79.09	0.818	0.182	0.9043
0.58	86.54	0.8286	0.1714	1.013
0.59	94.38	0.8383	0.1617	1.13
0.6	103	0.8476	0.1524	1.261
0.61	112.7	0.8568	0.1432	1.411
0.62	122.6	0.865	0.135	1.569
0.63	134.1	0.8733	0.1267	1.753
0.64	146.4	0.8811	0.1189	1.958
0.65	159.6	0.8883	0.1117	2.178
0.66	174.2	0.8953	0.1047	2.427
0.67	190.1	0.9019	0.09811	2.703
0.68	207.5	0.9081	0.09186	3.007
0.69	227	0.9142	0.08577	3.355
0.7	248.6	0.92	0.07998	3.745
0.71	272.6	0.9256	0.0744	4.183
0.72	298.8	0.9308	0.06924	4.662
0.73	328.3	0.9358	0.06422	5.21
0.74	361.2	0.9405	0.05948	5.821
0.75	398.3	0.9451	0.05493	6.515
0.76	440.4	0.9494	0.05057	7.307
0.77	488.9	0.9536	0.04636	8.22
0.78	545.3	0.9577	0.04229	9.28
0.79	611.1	0.9616	0.03837	10.52
0.8	687.7	0.9653	0.03466	11.96
0.81	777.8	0.9689	0.03114	13.64
0.82	884.7	0.9722	0.02781	15.63
0.83	1016	0.9754	0.02459	18.06
0.84	1178	0.9785	0.02154	21.04
0.85	1373	0.9813	0.01875	24.62
0.86	1614	0.9838	0.01618	29.01
0.87	1926	0.9862	0.01375	34.71
0.88	2349	0.9886	0.01143	42.51
0.89	2899	0.9906	0.009388	52.96
0.9	3617	0.9924	0.007623	67.75
0.91	4505	0.9938	0.006197	91.25
0.92	5124	0.9945	0.005506	103
SEPQ0.1=0.1092 SEPQ1=0.2336 SEPQ10=0.3716 S1FP=0.7016 N1FP=242785 area=6.93
