tpr	epq	score
0.01	0	2.308e-21
0.02	8.92e-05	2.776e-17
0.03	0.0008028	1.991e-14
0.04	0.002408	1.631e-12
0.05	0.005798	4.717e-11
0.06	0.01222	6.79e-10
0.07	0.02364	5.559e-09
0.08	0.03969	2.971e-08
0.09	0.06012	1.071e-07
0.1	0.08608	3.144e-07
0.11	0.1165	7.861e-07
0.12	0.1516	1.724e-06
0.13	0.1945	3.415e-06
0.14	0.243	6.271e-06
0.15	0.2983	1.083e-05
0.16	0.3661	1.792e-05
0.17	0.4365	2.865e-05
0.18	0.5177	4.426e-05
0.19	0.6119	6.657e-05
0.2	0.7126	9.836e-05
0.21	0.8272	0.0001429
0.22	0.9523	0.0002036
0.23	1.088	0.0002863
0.24	1.25	0.0004018
0.25	1.429	0.0005539
0.26	1.633	0.0007577
0.27	1.848	0.001022
0.28	2.095	0.001369
0.29	2.384	0.001812
0.3	2.71	0.002384
0.31	3.07	0.003075
0.32	3.475	0.003953
0.33	3.931	0.005059
0.34	4.437	0.006363
0.35	5.015	0.008044
0.36	5.634	0.009985
0.37	6.346	0.01232
0.38	7.142	0.0152
0.39	8.021	0.01857
0.4	8.979	0.02251
0.41	10.12	0.02746
0.42	11.37	0.03324
0.43	12.73	0.0399
0.44	14.19	0.04757
0.45	15.86	0.05673
0.46	17.66	0.0673
0.47	19.67	0.07971
0.48	21.8	0.09354
0.49	24.18	0.1097
0.5	26.84	0.1285
0.51	29.67	0.1496
0.52	32.73	0.1736
0.53	36.14	0.2016
0.54	39.77	0.2329
0.55	43.84	0.2693
0.56	48.2	0.3104
0.57	52.99	0.3575
0.58	58.13	0.4099
0.59	63.82	0.4706
0.6	70.17	0.5408
0.61	76.86	0.6183
0.62	83.97	0.704
0.63	91.87	0.8028
0.64	100.5	0.9142
0.65	110.2	1.044
0.66	120.6	1.188
0.67	132.1	1.354
0.68	144.5	1.537
0.69	158.7	1.751
0.7	174.2	1.993
0.71	191.1	2.264
0.72	210.1	2.576
0.73	230.6	2.921
0.74	254.4	3.329
0.75	281	3.795
0.76	311.5	4.334
0.77	345.2	4.942
0.78	382.9	5.63
0.79	427.9	6.452
0.8	480.2	7.417
0.81	541.7	8.559
0.82	616	9.945
0.83	704.5	11.59
0.84	812.4	13.6
0.85	948.9	16.12
0.86	1122	19.3
0.87	1348	23.43
0.88	1631	28.59
0.89	2034	35.92
0.9	2616	46.7
0.91	3431	62.94
0.92	4525	90.95
0.93	5168	103
epq	tpr	score
0.01008	0.05712	3.229e-10
0.01267	0.06082	8.176e-10
0.01588	0.0637	1.57e-09
0.02007	0.06761	3.57e-09
0.02524	0.07101	6.704e-09
0.03175	0.07527	1.405e-08
0.04005	0.08015	3.042e-08
0.0504	0.08518	5.911e-08
0.06351	0.09168	1.302e-07
0.08001	0.09816	2.594e-07
0.1008	0.1054	5.235e-07
0.127	0.1129	1.003e-06
0.16	0.122	1.99e-06
0.2016	0.1317	3.772e-06
0.254	0.1422	7.106e-06
0.32	0.1533	1.286e-05
0.4032	0.1653	2.314e-05
0.508	0.1789	4.224e-05
0.6401	0.1926	7.356e-05
0.8064	0.2082	0.0001342
1.016	0.225	0.0002424
1.28	0.2419	0.0004288
1.613	0.2589	0.0007331
2.032	0.2775	0.001274
2.56	0.2955	0.002115
3.225	0.3138	0.003397
4.064	0.3327	0.005393
5.12	0.3518	0.008368
6.451	0.3715	0.01271
8.128	0.3911	0.01897
5168	0.93	103
precision	recall	score
1	0.01	2.308e-21
0.9999	0.02	2.776e-17
0.9993	0.03	1.991e-14
0.9985	0.04	1.631e-12
0.9971	0.05	4.717e-11
0.995	0.06	6.79e-10
0.9917	0.07	5.559e-09
0.9879	0.08	2.971e-08
0.9838	0.09	1.071e-07
0.9792	0.1	3.144e-07
0.9746	0.11	7.861e-07
0.9698	0.12	1.724e-06
0.9644	0.13	3.415e-06
0.959	0.14	6.271e-06
0.9533	0.15	1.083e-05
0.9466	0.16	1.792e-05
0.9405	0.17	2.865e-05
0.9338	0.18	4.426e-05
0.9264	0.19	6.657e-05
0.9193	0.2	9.836e-05
0.9115	0.21	0.0001429
0.9036	0.22	0.0002036
0.8956	0.23	0.0002863
0.8862	0.24	0.0004018
0.8765	0.25	0.0005539
0.866	0.26	0.0007577
0.8556	0.27	0.001022
0.8443	0.28	0.001369
0.8315	0.29	0.001812
0.8179	0.3	0.002384
0.8038	0.31	0.003075
0.7888	0.32	0.003953
0.773	0.33	0.005059
0.7566	0.34	0.006363
0.739	0.35	0.008044
0.7216	0.36	0.009985
0.7028	0.37	0.01232
0.6834	0.38	0.0152
0.6636	0.39	0.01857
0.6437	0.4	0.02251
0.6216	0.41	0.02746
0.5998	0.42	0.03324
0.5781	0.43	0.0399
0.557	0.44	0.04757
0.5351	0.45	0.05673
0.5137	0.46	0.0673
0.4922	0.47	0.07971
0.4718	0.48	0.09354
0.4512	0.49	0.1097
0.4305	0.5	0.1285
0.4108	0.51	0.1496
0.3919	0.52	0.1736
0.373	0.53	0.2016
0.3552	0.54	0.2329
0.3373	0.55	0.2693
0.3203	0.56	0.3104
0.3038	0.57	0.3575
0.2881	0.58	0.4099
0.2727	0.59	0.4706
0.2575	0.6	0.5408
0.2435	0.61	0.6183
0.2305	0.62	0.704
0.2176	0.63	0.8028
0.2052	0.64	0.9142
0.1931	0.65	1.044
0.1817	0.66	1.188
0.1706	0.67	1.354
0.1603	0.68	1.537
0.1499	0.69	1.751
0.1401	0.7	1.993
0.131	0.71	2.264
0.1221	0.72	2.576
0.1138	0.73	2.921
0.1055	0.74	3.329
0.09769	0.75	3.795
0.09005	0.76	4.334
0.08298	0.77	4.942
0.07632	0.78	5.63
0.06967	0.79	6.452
0.0633	0.8	7.417
0.05719	0.81	8.559
0.05123	0.82	9.945
0.04561	0.83	11.59
0.04025	0.84	13.6
0.03506	0.85	16.12
0.03016	0.86	19.3
0.02552	0.87	23.43
0.02141	0.88	28.59
0.01744	0.89	35.92
0.01376	0.9	46.7
0.01064	0.91	62.94
0.00818	0.92	90.95
0.007227	0.9274	103
SEPQ0.1=0.1051 SEPQ1=0.2238 SEPQ10=0.4090 S1FP=0.3907 N1FP=177658 area=5.32
