tpr	epq	score
0.01	0.001695	0.322
0.02	0.004817	0.285
0.03	0.01186	0.261
0.04	0.01837	0.242
0.05	0.02899	0.227
0.06	0.04397	0.215
0.07	0.06396	0.204
0.08	0.08955	0.194
0.09	0.1222	0.186
0.1	0.1617	0.178
0.11	0.2164	0.171
0.12	0.2772	0.164
0.13	0.3563	0.158
0.14	0.4455	0.153
0.15	0.5625	0.148
0.16	0.6689	0.143
0.17	0.8311	0.139
0.18	1.005	0.134
0.19	1.209	0.131
0.2	1.454	0.127
0.21	1.728	0.123
0.22	2.018	0.12
0.23	2.338	0.117
0.24	2.714	0.114
0.25	3.134	0.112
0.26	3.572	0.109
0.27	4.093	0.107
0.28	4.646	0.104
0.29	5.198	0.102
0.3	5.844	0.1
0.31	6.518	0.098
0.32	7.241	0.096
0.33	8.062	0.094
0.34	8.935	0.092
0.35	9.798	0.09
0.36	10.87	0.089
0.37	11.92	0.087
0.38	13.07	0.086
0.39	14.34	0.084
0.4	15.68	0.082
0.41	17.03	0.081
0.42	18.59	0.079
0.43	20.25	0.078
0.44	21.92	0.076
0.45	23.81	0.075
0.46	25.9	0.074
0.47	27.96	0.072
0.48	30.31	0.071
0.49	32.79	0.07
0.5	35.32	0.068
0.51	38.11	0.067
0.52	41.2	0.066
0.53	44.44	0.064
0.54	47.82	0.063
0.55	51.38	0.062
0.56	55.34	0.061
0.57	59.64	0.059
0.58	64.24	0.058
0.59	69.2	0.057
0.6	74.47	0.056
0.61	80	0.054
0.62	86.19	0.053
0.63	92.89	0.052
0.64	100	0.051
0.65	108.1	0.049
0.66	116.6	0.048
0.67	125.6	0.047
0.68	136.2	0.045
0.69	147.4	0.044
0.7	160.1	0.042
0.71	173.7	0.041
0.72	189.7	0.039
0.73	206.7	0.037
0.74	227.1	0.036
0.75	250.9	0.034
0.76	277.6	0.032
0.77	309.5	0.029
0.78	347	0.027
0.79	394.2	0.023
0.8	452.4	0.019
0.81	535.1	0.011
0.82	572.4	0
epq	tpr	score
0.01008	0.0282	0.265
0.01267	0.03065	0.26
0.01588	0.03627	0.25
0.02007	0.04172	0.24
0.02524	0.04713	0.232
0.03175	0.05185	0.225
0.04005	0.05735	0.218
0.0504	0.06319	0.212
0.06351	0.06964	0.205
0.08001	0.07515	0.2
0.1008	0.08349	0.191
0.127	0.0914	0.185
0.16	0.09939	0.178
0.2016	0.1074	0.173
0.254	0.1168	0.166
0.32	0.1257	0.161
0.4032	0.135	0.155
0.508	0.1453	0.15
0.6401	0.1565	0.145
0.8064	0.1682	0.14
1.016	0.1805	0.134
1.28	0.1931	0.129
1.613	0.2056	0.125
2.032	0.2203	0.12
2.56	0.2359	0.115
3.225	0.252	0.111
4.064	0.2695	0.107
5.12	0.2887	0.102
6.451	0.3091	0.098
8.128	0.3307	0.094
572.4	0.82	0
precision	recall	score
0.9958	0.01	0.322
0.9941	0.02	0.285
0.9903	0.03	0.261
0.9888	0.04	0.242
0.9859	0.05	0.227
0.9823	0.06	0.215
0.978	0.07	0.204
0.9731	0.08	0.194
0.9676	0.09	0.186
0.9617	0.1	0.178
0.9537	0.11	0.171
0.9461	0.12	0.164
0.9367	0.13	0.158
0.9273	0.14	0.153
0.9154	0.15	0.148
0.9066	0.16	0.143
0.8924	0.17	0.139
0.8791	0.18	0.134
0.8644	0.19	0.131
0.848	0.2	0.127
0.8314	0.21	0.123
0.8156	0.22	0.12
0.7996	0.23	0.117
0.782	0.24	0.114
0.7639	0.25	0.112
0.747	0.26	0.109
0.728	0.27	0.107
0.7097	0.28	0.104
0.6935	0.29	0.102
0.6756	0.3	0.1
0.6586	0.31	0.098
0.6419	0.32	0.096
0.6241	0.33	0.094
0.6068	0.34	0.092
0.5917	0.35	0.09
0.5733	0.36	0.089
0.5574	0.37	0.087
0.5411	0.38	0.086
0.5245	0.39	0.084
0.5086	0.4	0.082
0.494	0.41	0.081
0.4782	0.42	0.079
0.4627	0.43	0.078
0.4488	0.44	0.076
0.434	0.45	0.075
0.4187	0.46	0.074
0.4054	0.47	0.072
0.3911	0.48	0.071
0.3774	0.49	0.07
0.3648	0.5	0.068
0.3518	0.51	0.067
0.3386	0.52	0.066
0.3261	0.53	0.064
0.3142	0.54	0.063
0.3028	0.55	0.062
0.291	0.56	0.061
0.2794	0.57	0.059
0.2681	0.58	0.058
0.257	0.59	0.057
0.2463	0.6	0.056
0.2362	0.61	0.054
0.2259	0.62	0.053
0.2158	0.63	0.052
0.2061	0.64	0.051
0.1961	0.65	0.049
0.1867	0.66	0.048
0.1779	0.67	0.047
0.1684	0.68	0.045
0.1596	0.69	0.044
0.1506	0.7	0.042
0.1422	0.71	0.041
0.1334	0.72	0.039
0.1253	0.73	0.037
0.1167	0.74	0.036
0.1082	0.75	0.034
0.09994	0.76	0.032
0.09168	0.77	0.029
0.08356	0.78	0.027
0.07519	0.79	0.023
0.06693	0.8	0.019
0.05785	0.81	0.011
0.05448	0.813	0
SEPQ0.1=0.0833 SEPQ1=0.1798 SEPQ10=0.3520 S1FP=0.2203 N1FP=100186 area=4.22
