tpr	epq	fpr	precision	score
0.01	0	0	1	3.967e-20
0.02	8.92e-05	0.0001099	0.9999	4.919e-16
0.03	0.0008028	0.0006592	0.9993	3.786e-13
0.04	0.00223	0.001372	0.9986	3.808e-11
0.05	0.004638	0.002282	0.9977	1.362e-09
0.06	0.01035	0.004233	0.9958	2.925e-08
0.07	0.01953	0.006832	0.9932	3.128e-07
0.08	0.03175	0.00969	0.9903	1.885e-06
0.09	0.04576	0.01238	0.9876	8.151e-06
0.1	0.06173	0.01499	0.985	2.788e-05
0.11	0.07823	0.01723	0.9828	7.739e-05
0.12	0.09776	0.01969	0.9803	0.0001932
0.13	0.1231	0.02281	0.9772	0.00044
0.14	0.1507	0.02586	0.9741	0.0009448
0.15	0.188	0.02998	0.97	0.001997
0.16	0.2338	0.03477	0.9652	0.00418
0.17	0.2974	0.04134	0.9587	0.008945
0.18	0.3985	0.05176	0.9482	0.01948
0.19	0.5979	0.07199	0.928	0.04478
0.2	1.033	0.113	0.887	0.1072
0.21	2.17	0.203	0.797	0.2835
0.22	6.343	0.4155	0.5845	0.8922
0.23	26.24	0.7377	0.2623	3.697
0.24	445.8	0.9787	0.02127	100
SEPQ0.1=0.1209 SEPQ1=0.1994 SEPQ10=0.2236 S1FP=0.2139 N1FP=97271 area=2.38
