tpr	epq	fpr	precision	score
0.01	0	0	1	3.965e-20
0.02	8.92e-05	0.0001099	0.9999	4.82e-16
0.03	0.0008028	0.0006592	0.9993	3.576e-13
0.04	0.00223	0.001372	0.9986	3.283e-11
0.05	0.005263	0.002588	0.9974	1.069e-09
0.06	0.01151	0.004705	0.9953	1.963e-08
0.07	0.02212	0.00773	0.9923	1.929e-07
0.08	0.03488	0.01063	0.9894	1.119e-06
0.09	0.05182	0.014	0.986	4.622e-06
0.1	0.07056	0.0171	0.9829	1.527e-05
0.11	0.09116	0.02002	0.98	4.15e-05
0.12	0.1132	0.02273	0.9773	9.817e-05
0.13	0.1423	0.02627	0.9737	0.0002111
0.14	0.1796	0.03066	0.9693	0.000427
0.15	0.2225	0.03527	0.9647	0.000822
0.16	0.2779	0.04107	0.9589	0.001532
0.17	0.3439	0.04751	0.9525	0.002819
0.18	0.4246	0.05495	0.945	0.005036
0.19	0.5349	0.0649	0.9351	0.009305
0.2	0.6884	0.07822	0.9218	0.01688
0.21	0.9432	0.09968	0.9003	0.03125
0.22	1.37	0.1331	0.8669	0.05818
0.23	2.116	0.1849	0.8151	0.1089
0.24	3.634	0.2718	0.7282	0.2139
0.25	6.947	0.4065	0.5935	0.4345
0.26	15.69	0.5981	0.4019	0.9759
0.27	40.44	0.7869	0.2131	2.39
0.28	129.6	0.9194	0.0806	7.212
0.29	1138	0.9898	0.01023	72.68
0.3	1441	0.9919	0.008108	100
SEPQ0.1=0.1140 SEPQ1=0.2117 SEPQ10=0.2547 S1FP=0.2441 N1FP=111006 area=3.1
