tpr	epq	fpr	precision	score
0.01	0	0	1	2.308e-21
0.02	8.92e-05	0.0001099	0.9999	2.776e-17
0.03	0.0008028	0.0006592	0.9993	1.993e-14
0.04	0.002408	0.001482	0.9985	1.639e-12
0.05	0.005798	0.00285	0.9971	4.802e-11
0.06	0.0124	0.005068	0.9949	7.055e-10
0.07	0.02444	0.008534	0.9915	5.956e-09
0.08	0.04067	0.01238	0.9876	3.205e-08
0.09	0.06119	0.01648	0.9835	1.166e-07
0.1	0.08777	0.02118	0.9788	3.47e-07
0.11	0.1193	0.02603	0.974	8.728e-07
0.12	0.1551	0.03088	0.9691	1.92e-06
0.13	0.1975	0.0361	0.9639	3.812e-06
0.14	0.246	0.04152	0.9585	7.084e-06
0.15	0.3046	0.04768	0.9523	1.233e-05
0.16	0.3728	0.05433	0.9457	2.072e-05
0.17	0.4421	0.06024	0.9398	3.314e-05
0.18	0.5246	0.06703	0.933	5.201e-05
0.19	0.6208	0.07455	0.9255	7.954e-05
0.2	0.7175	0.08125	0.9187	0.0001195
0.21	0.8344	0.08921	0.9108	0.0001765
0.22	0.9571	0.09686	0.9031	0.0002569
0.23	1.104	0.1058	0.8942	0.0003702
0.24	1.271	0.1155	0.8845	0.0005317
0.25	1.458	0.1257	0.8743	0.0007494
0.26	1.665	0.1364	0.8636	0.001052
0.27	1.907	0.1483	0.8517	0.001472
0.28	2.181	0.1611	0.8389	0.002018
0.29	2.509	0.1758	0.8242	0.002758
0.3	2.885	0.1916	0.8084	0.003734
0.31	3.305	0.2081	0.7919	0.005015
0.32	3.792	0.2261	0.7739	0.006654
0.33	4.356	0.2455	0.7545	0.008863
0.34	5.005	0.2663	0.7337	0.01164
0.35	5.746	0.2881	0.7119	0.01521
0.36	6.615	0.3118	0.6882	0.01983
0.37	7.631	0.3371	0.6629	0.02582
0.38	8.816	0.3639	0.6361	0.03364
0.39	10.18	0.3915	0.6085	0.04356
0.4	11.79	0.4209	0.5791	0.05654
0.41	13.65	0.4508	0.5492	0.07327
0.42	15.8	0.4811	0.5189	0.09474
0.43	18.42	0.5136	0.4864	0.1233
0.44	21.46	0.5459	0.4541	0.1602
0.45	24.98	0.5778	0.4222	0.2087
0.46	29.18	0.6099	0.3901	0.2729
0.47	34.08	0.6413	0.3587	0.3578
0.48	40.09	0.6731	0.3269	0.4744
0.49	47.6	0.7054	0.2946	0.6394
0.5	56.54	0.736	0.264	0.8616
0.51	67.69	0.7659	0.2341	1.18
0.52	81.95	0.7953	0.2047	1.648
0.53	100.1	0.8232	0.1768	2.337
0.54	124.5	0.8504	0.1496	3.416
0.55	157.7	0.876	0.124	5.15
0.56	206	0.9007	0.09934	8.221
0.57	230	0.9096	0.09043	10
SEPQ0.1=0.1043 SEPQ1=0.2231 SEPQ10=0.3887 S1FP=0.3319 N1FP=150935 area=7.26
