tpr	epq	score
0.01	0.4406	0.3883
0.02	1.988	0.4116
0.03	4.896	0.4275
0.04	8.944	0.4391
0.05	14.7	0.4497
0.06	21.93	0.4589
0.07	30.51	0.467
0.08	41.13	0.4747
0.09	52.66	0.4815
0.1	65.84	0.488
0.11	80.27	0.4941
0.12	96.23	0.5
0.13	112.7	0.5052
0.14	130.1	0.5101
0.15	147.7	0.5147
0.16	166.2	0.5191
0.17	185.3	0.5233
0.18	205.7	0.5274
0.19	226.2	0.5312
0.2	248.3	0.5352
0.21	270.3	0.5388
0.22	292.8	0.5424
0.23	316.2	0.5459
0.24	339.8	0.5492
0.25	363.4	0.5523
0.26	388	0.5556
0.27	413.1	0.5586
0.28	437.7	0.5615
0.29	464.3	0.5645
0.3	490.7	0.5674
0.31	518.7	0.5704
0.32	546.6	0.5732
0.33	576	0.5761
0.34	606	0.5789
0.35	637.7	0.5818
0.36	668.8	0.5845
0.37	700.2	0.5872
0.38	733.8	0.59
0.39	767.4	0.5926
0.4	803.3	0.5954
0.41	838	0.598
0.42	871.8	0.6
0.43	911	0.6032
0.44	949.3	0.6058
0.45	988.9	0.6084
0.46	1030	0.6111
0.47	1073	0.6137
0.48	1115	0.6163
0.49	1158	0.6188
0.5	1202	0.6214
0.51	1248	0.6239
0.52	1297	0.6266
0.53	1347	0.6292
0.54	1397	0.6318
0.55	1450	0.6345
0.56	1506	0.6372
0.57	1564	0.6399
0.58	1623	0.6426
0.59	1684	0.6454
0.6	1748	0.6481
0.61	1814	0.6509
0.62	1879	0.6537
0.63	1949	0.6564
0.64	2020	0.6593
0.65	2095	0.6621
0.66	2174	0.6651
0.67	2260	0.6682
0.68	2344	0.6712
0.69	2433	0.6742
0.7	2527	0.6774
0.71	2621	0.6805
0.72	2723	0.6837
0.73	2827	0.687
0.74	2936	0.6903
0.75	3050	0.6937
0.76	3162	0.697
0.77	3282	0.7004
0.78	3410	0.704
0.79	3540	0.7075
0.8	3681	0.7113
0.81	3832	0.7154
0.82	3986	0.7193
0.83	4150	0.7235
0.84	4321	0.7277
0.85	4505	0.7323
0.86	4702	0.7371
0.87	4903	0.7419
0.88	5132	0.7474
0.89	5378	0.7532
0.9	5646	0.7595
0.91	5927	0.7661
0.92	6258	0.7739
0.93	6613	0.7824
0.94	7015	0.7922
0.95	7491	0.8043
0.96	8021	0.8182
0.97	8703	0.8387
0.98	9549	0.8693
0.99	1.071e+04	0.9355
1	1.117e+04	1
epq	tpr	score
0.01008	0.001698	0.3381
0.01267	0.001917	0.3412
0.01588	0.002089	0.3435
0.02007	0.002318	0.3458
0.02524	0.002705	0.3496
0.03175	0.002964	0.3523
0.04005	0.003259	0.3548
0.0504	0.00369	0.3585
0.06351	0.004072	0.3609
0.08001	0.004649	0.3642
0.1008	0.005167	0.3676
0.127	0.005748	0.3711
0.16	0.006386	0.3741
0.2016	0.007094	0.3773
0.254	0.007789	0.3805
0.32	0.008545	0.3837
0.4032	0.009625	0.3872
0.508	0.01071	0.3906
0.6401	0.01186	0.394
0.8064	0.01316	0.3974
1.016	0.01475	0.4009
1.28	0.01651	0.4045
1.613	0.01826	0.4082
2.032	0.02023	0.4119
2.56	0.02243	0.4159
3.225	0.02505	0.4199
4.064	0.0275	0.424
5.12	0.03066	0.4282
6.451	0.03406	0.4326
8.128	0.03826	0.4372
1.117e+04	1	1
precision	recall	score
0.4793	0.01	0.3883
0.2898	0.02	0.4116
0.1991	0.03	0.4275
0.1536	0.04	0.4391
0.1213	0.05	0.4497
0.09989	0.06	0.4589
0.08514	0.07	0.467
0.07314	0.08	0.4747
0.06483	0.09	0.4815
0.05804	0.1	0.488
0.05266	0.11	0.4941
0.04815	0.12	0.5
0.0447	0.13	0.5052
0.04183	0.14	0.5101
0.03956	0.15	0.5147
0.03758	0.16	0.5191
0.03587	0.17	0.5233
0.03428	0.18	0.5274
0.03295	0.19	0.5312
0.03164	0.2	0.5352
0.03055	0.21	0.5388
0.02958	0.22	0.5424
0.02866	0.23	0.5459
0.02785	0.24	0.5492
0.02715	0.25	0.5523
0.02646	0.26	0.5556
0.02583	0.27	0.5586
0.02529	0.28	0.5615
0.02471	0.29	0.5645
0.0242	0.3	0.5674
0.02367	0.31	0.5704
0.0232	0.32	0.5732
0.02271	0.33	0.5761
0.02225	0.34	0.5789
0.02178	0.35	0.5818
0.02137	0.36	0.5845
0.02098	0.37	0.5872
0.02057	0.38	0.59
0.0202	0.39	0.5926
0.0198	0.4	0.5954
0.01946	0.41	0.598
0.01917	0.42	0.6
0.01879	0.43	0.6032
0.01845	0.44	0.6058
0.01812	0.45	0.6084
0.01779	0.46	0.6111
0.01746	0.47	0.6137
0.01716	0.48	0.6163
0.01688	0.49	0.6188
0.01659	0.5	0.6214
0.0163	0.51	0.6239
0.016	0.52	0.6266
0.01571	0.53	0.6292
0.01543	0.54	0.6318
0.01515	0.55	0.6345
0.01486	0.56	0.6372
0.01457	0.57	0.6399
0.01429	0.58	0.6426
0.01401	0.59	0.6454
0.01373	0.6	0.6481
0.01346	0.61	0.6509
0.0132	0.62	0.6537
0.01294	0.63	0.6564
0.01269	0.64	0.6593
0.01243	0.65	0.6621
0.01216	0.66	0.6651
0.01188	0.67	0.6682
0.01163	0.68	0.6712
0.01137	0.69	0.6742
0.01111	0.7	0.6774
0.01087	0.71	0.6805
0.01061	0.72	0.6837
0.01036	0.73	0.687
0.01012	0.74	0.6903
0.009877	0.75	0.6937
0.009656	0.76	0.697
0.009427	0.77	0.7004
0.009192	0.78	0.704
0.008973	0.79	0.7075
0.008739	0.8	0.7113
0.008502	0.81	0.7154
0.008275	0.82	0.7193
0.008048	0.83	0.7235
0.007824	0.84	0.7277
0.007596	0.85	0.7323
0.007365	0.86	0.7371
0.007146	0.87	0.7419
0.006908	0.88	0.7474
0.006668	0.89	0.7532
0.006424	0.9	0.7595
0.006189	0.91	0.7661
0.005928	0.92	0.7739
0.005672	0.93	0.7824
0.005406	0.94	0.7922
0.005118	0.95	0.8043
0.004831	0.96	0.8182
0.004501	0.97	0.8387
0.004146	0.98	0.8693
0.003735	0.99	0.9355
0.003595	0.9936	1
SEPQ0.1=0.0051 SEPQ1=0.0146 SEPQ10=0.0422 S1FP=0.0385 N1FP=17510 area=0.363
