tpr	epq	score
0.01	11.31	283
0.02	16.88	244
0.03	22.67	214
0.04	30.98	181
0.05	42.11	148
0.06	52.55	124
0.07	62	106
0.08	72	90
0.09	81.34	76
0.1	93.15	60
0.11	108.2	39
0.12	123.8	9
0.13	123.9	4
epq	tpr	score
0.01008	4.398e-06	1329
0.01267	4.398e-06	1305
0.01588	4.398e-06	1291
0.02007	4.398e-06	1256
0.02524	4.398e-06	1230
0.03175	4.398e-06	1195
0.04005	4.398e-06	1146
0.0504	4.398e-06	1098
0.06351	8.796e-06	1052
0.08001	1.099e-05	1014
0.1008	1.099e-05	972
0.127	1.319e-05	931
0.16	1.539e-05	876
0.2016	2.859e-05	830
0.254	3.958e-05	780
0.32	5.058e-05	731
0.4032	7.037e-05	684
0.508	0.0001099	647
0.6401	0.0001781	609
0.8064	0.0002265	572
1.016	0.0003035	538
1.28	0.0004838	508
1.613	0.0007322	480
2.032	0.001036	454
2.56	0.001434	429
3.225	0.002074	404
4.064	0.002951	381
5.12	0.004176	358
6.451	0.005266	336
8.128	0.006924	315
123.9	0.13	4
precision	recall	score
0.03462	0.01	283
0.04586	0.02	244
0.05094	0.03	214
0.04978	0.04	181
0.04595	0.05	148
0.04427	0.06	124
0.04379	0.07	106
0.04313	0.08	90
0.04295	0.09	76
0.04173	0.1	60
0.03961	0.11	39
0.03783	0.12	9
0.03781	0.12	4
SEPQ0.1=0.0000 SEPQ1=0.0003 SEPQ10=0.0086 S1FP=0.0001 N1FP=50 area=0.0262
