tpr	epq	fpr	precision	score
0.01	0	0	1	6.58e-09
0.02	0	0	1	2.37e-07
0.03	0	0	1	2.82e-06
0.04	0.0001784	0.0001099	0.9999	2e-05
0.05	0.0005352	0.0002638	0.9997	8.87e-05
0.06	0.001427	0.000586	0.9994	0.000263
0.07	0.002319	0.0008161	0.9992	0.000648
0.08	0.002854	0.0008788	0.9991	0.0014
0.09	0.003925	0.001074	0.9989	0.0025
0.1	0.006155	0.001515	0.9985	0.0043
0.11	0.008652	0.001935	0.9981	0.0068
0.12	0.01168	0.002395	0.9976	0.0102
0.13	0.01481	0.0028	0.9972	0.0148
0.14	0.01873	0.003288	0.9967	0.021
0.15	0.02319	0.003797	0.9962	0.0287
0.16	0.03131	0.004801	0.9952	0.0382
0.17	0.03978	0.005736	0.9943	0.0501
0.18	0.05093	0.006927	0.9931	0.065
0.19	0.06297	0.008105	0.9919	0.0822
0.2	0.07279	0.008892	0.9911	0.1024
0.21	0.08884	0.01032	0.9897	0.1276
0.22	0.1053	0.01166	0.9883	0.1562
0.23	0.1247	0.01319	0.9868	0.1911
0.24	0.1525	0.01543	0.9846	0.2316
0.25	0.1837	0.0178	0.9822	0.2799
0.26	0.2201	0.02044	0.9796	0.3349
0.27	0.2671	0.0238	0.9762	0.3996
0.28	0.3241	0.02775	0.9723	0.4741
0.29	0.3948	0.03247	0.9675	0.5676
0.3	0.4783	0.03782	0.9622	0.6703
0.31	0.575	0.04372	0.9563	0.7907
0.32	0.682	0.04992	0.9501	0.9266
0.33	0.8127	0.05724	0.9428	1.1
0.34	0.9713	0.06579	0.9342	1.3
0.35	1.153	0.07512	0.9249	1.5
0.36	1.366	0.08553	0.9145	1.7
0.37	1.619	0.09739	0.9026	1.9
0.38	1.942	0.1119	0.8881	2.2
0.39	2.299	0.1269	0.8731	2.6
0.4	2.712	0.1432	0.8568	2.9
0.41	3.202	0.1615	0.8385	3.3
0.42	3.757	0.1807	0.8193	3.8
0.43	4.479	0.2043	0.7957	4.3
0.44	5.319	0.2296	0.7704	4.9
0.45	6.331	0.2575	0.7425	5.6
0.46	7.521	0.2873	0.7127	6.4
0.47	8.929	0.319	0.681	7.3
0.48	10.57	0.3519	0.6481	8.3
0.49	12.63	0.3885	0.6115	9.4
0.5	13.73	0.4063	0.5937	10
SEPQ0.1=0.2173 SEPQ1=0.3414 SEPQ10=0.4765 S1FP=0.3878 N1FP=176368 area=10.6
