tpr	epq	fpr	precision	score
0.01	0	0	1	8.75e-11
0.02	0	0	1	1.54e-09
0.03	0	0	1	8.04e-09
0.04	0	0	1	3.8e-08
0.05	0	0	1	1.3e-07
0.06	0	0	1	3.6e-07
0.07	0	0	1	8.6e-07
0.08	0	0	1	2e-06
0.09	0	0	1	4.48e-06
0.1	0	0	1	8.6e-06
0.11	0	0	1	1.64e-05
0.12	0	0	1	2.98e-05
0.13	0	0	1	5.09e-05
0.14	0	0	1	8.05e-05
0.15	0	0	1	0.000122
0.16	0.0001784	0.000115	0.9999	0.000184
0.17	0.0001784	0.0001082	0.9999	0.000261
0.18	0.0001784	0.0001022	0.9999	0.000372
0.19	0.0007136	0.0003871	0.9996	0.000511
0.2	0.0007136	0.0003678	0.9996	0.000711
0.21	0.0007136	0.0003503	0.9996	0.000966
0.22	0.00107	0.0005015	0.9995	0.0013
0.23	0.001249	0.0005596	0.9994	0.0017
0.24	0.001427	0.0006128	0.9994	0.0022
0.25	0.002141	0.0008822	0.9991	0.0028
0.26	0.002498	0.0009896	0.999	0.0035
0.27	0.002498	0.000953	0.999	0.0043
0.28	0.002854	0.00105	0.9989	0.0053
0.29	0.00339	0.001204	0.9988	0.0066
0.3	0.004103	0.001408	0.9986	0.0079
0.31	0.00446	0.001481	0.9985	0.0095
0.32	0.004638	0.001492	0.9985	0.0114
0.33	0.004817	0.001503	0.9985	0.0136
0.34	0.005352	0.001621	0.9984	0.0162
0.35	0.005352	0.001574	0.9984	0.0192
0.36	0.006422	0.001836	0.9982	0.0226
0.37	0.006957	0.001935	0.9981	0.0268
0.38	0.007849	0.002126	0.9979	0.0313
0.39	0.009098	0.0024	0.9976	0.0364
0.4	0.009633	0.002477	0.9975	0.0428
0.41	0.0107	0.002685	0.9973	0.05
0.42	0.01106	0.002708	0.9973	0.0584
0.43	0.01267	0.003028	0.997	0.068
0.44	0.01409	0.003292	0.9967	0.0791
0.45	0.01534	0.003503	0.9965	0.0916
0.46	0.01713	0.003824	0.9962	0.1061
0.47	0.02069	0.00452	0.9955	0.124
0.48	0.02337	0.004996	0.995	0.1441
0.49	0.02658	0.005563	0.9944	0.1675
0.5	0.03086	0.006325	0.9937	0.1953
0.51	0.038	0.007624	0.9924	0.2285
0.52	0.04692	0.009218	0.9908	0.2705
0.53	0.05495	0.01058	0.9894	0.3151
0.54	0.06654	0.01255	0.9875	0.3707
0.55	0.08153	0.01506	0.9849	0.434
0.56	0.1029	0.0186	0.9814	0.5167
0.57	0.1293	0.02286	0.9771	0.6238
0.58	0.1595	0.02757	0.9724	0.7473
0.59	0.1991	0.03363	0.9664	0.9092
0.6	0.2533	0.04172	0.9583	1.1
0.61	0.3288	0.05265	0.9473	1.4
0.62	0.4439	0.06876	0.9312	1.8
0.63	0.6276	0.09316	0.9068	2.4
0.64	0.8878	0.1251	0.8749	3.1
0.65	1.374	0.179	0.821	4.4
0.66	2.265	0.2614	0.7386	6.5
0.67	3.91	0.3766	0.6234	10
SEPQ0.1=0.5585 SEPQ1=0.6430 SEPQ10=0.6674 S1FP=0.9175 N1FP=99753 area=14.6
