tpr	epq	fpr	precision	score
0.01	0	0	1	6.44e-09
0.02	0	0	1	2.31e-07
0.03	0	0	1	2.78e-06
0.04	0.0001784	0.0001099	0.9999	1.97e-05
0.05	0.0005352	0.0002638	0.9997	8.75e-05
0.06	0.001427	0.000586	0.9994	0.000259
0.07	0.002319	0.0008161	0.9992	0.000642
0.08	0.003033	0.0009337	0.9991	0.0013
0.09	0.004103	0.001123	0.9989	0.0025
0.1	0.006422	0.001581	0.9984	0.0043
0.11	0.009098	0.002035	0.998	0.0068
0.12	0.01222	0.002504	0.9975	0.0103
0.13	0.01606	0.003035	0.997	0.0151
0.14	0.01998	0.003506	0.9965	0.0214
0.15	0.02614	0.004277	0.9957	0.0296
0.16	0.03425	0.00525	0.9948	0.0398
0.17	0.04335	0.006247	0.9938	0.0529
0.18	0.0553	0.007517	0.9925	0.069
0.19	0.06672	0.008583	0.9914	0.0882
0.2	0.07992	0.009755	0.9902	0.1115
0.21	0.09598	0.01114	0.9889	0.1401
0.22	0.1131	0.01252	0.9875	0.1737
0.23	0.1384	0.01462	0.9854	0.2167
0.24	0.1741	0.01757	0.9824	0.2672
0.25	0.2108	0.02036	0.9796	0.3263
0.26	0.257	0.02379	0.9762	0.3978
0.27	0.3152	0.02798	0.972	0.485
0.28	0.3882	0.03305	0.967	0.595
0.29	0.4799	0.03919	0.9608	0.7232
0.3	0.5842	0.04581	0.9542	0.876
0.31	0.7136	0.0537	0.9463	1.1
0.32	0.8807	0.06354	0.9365	1.3
0.33	1.076	0.07437	0.9256	1.5
0.34	1.316	0.08712	0.9129	1.8
0.35	1.647	0.1039	0.8961	2.2
0.36	2.039	0.1225	0.8775	2.6
0.37	2.519	0.1437	0.8563	3.2
0.38	3.122	0.1684	0.8316	3.8
0.39	3.942	0.1995	0.8005	4.6
0.4	4.988	0.2351	0.7649	5.6
0.41	6.36	0.2766	0.7234	6.8
0.42	8.149	0.3235	0.6765	8.3
0.43	10.28	0.3716	0.6284	10
SEPQ0.1=0.2127 SEPQ1=0.3264 SEPQ10=0.4275 S1FP=0.3574 N1FP=162546 area=8.37
