tpr	epq	score
0.01	0	6.86e-09
0.02	0	2.48e-07
0.03	0	3.03e-06
0.04	0	2.12e-05
0.05	0	9.32e-05
0.06	0.0003568	0.000277
0.07	0.00107	0.000677
0.08	0.001606	0.0014
0.09	0.002498	0.0027
0.1	0.00446	0.0046
0.11	0.006779	0.0072
0.12	0.009455	0.011
0.13	0.01267	0.0161
0.14	0.01659	0.023
0.15	0.02141	0.0318
0.16	0.02944	0.0432
0.17	0.03728	0.058
0.18	0.04852	0.0759
0.19	0.05709	0.0975
0.2	0.06957	0.125
0.21	0.08438	0.1574
0.22	0.1019	0.1994
0.23	0.1281	0.252
0.24	0.1582	0.3135
0.25	0.1966	0.389
0.26	0.2515	0.4861
0.27	0.3189	0.6103
0.28	0.4042	0.7593
0.29	0.5068	0.947
0.3	0.6364	1.2
0.31	0.808	1.5
0.32	1.024	1.8
0.33	1.34	2.3
0.34	1.712	2.9
0.35	2.181	3.6
0.36	2.872	4.7
0.37	3.828	6
0.38	5.142	7.9
0.39	6.589	10
epq	tpr	score
0.01008	0.1219	0.0119
0.01267	0.1299	0.0161
0.01588	0.1384	0.0218
0.02007	0.1476	0.0295
0.02524	0.1545	0.0367
0.03175	0.1624	0.0466
0.04005	0.1729	0.0629
0.0504	0.1819	0.0796
0.06351	0.1955	0.112
0.08001	0.2073	0.1483
0.1008	0.2196	0.1975
0.127	0.2294	0.2488
0.16	0.2405	0.3168
0.2016	0.2508	0.3964
0.254	0.2602	0.4894
0.32	0.2701	0.6119
0.4032	0.2798	0.7569
0.508	0.2902	0.9505
0.6401	0.3001	1.2
0.8064	0.31	1.5
1.016	0.3196	1.8
1.28	0.3283	2.2
1.613	0.3376	2.7
2.032	0.347	3.4
2.56	0.3559	4.2
3.225	0.364	5.2
4.064	0.3722	6.4
5.12	0.3799	7.9
6.451	0.387	9.8
6.589	0.39	10
precision	recall	score
1	0.01	6.86e-09
1	0.02	2.48e-07
1	0.03	3.03e-06
1	0.04	2.12e-05
1	0.05	9.32e-05
0.9999	0.06	0.000277
0.9996	0.07	0.000677
0.9995	0.08	0.0014
0.9993	0.09	0.0027
0.9989	0.1	0.0046
0.9985	0.11	0.0072
0.9981	0.12	0.011
0.9976	0.13	0.0161
0.9971	0.14	0.023
0.9965	0.15	0.0318
0.9955	0.16	0.0432
0.9946	0.17	0.058
0.9934	0.18	0.0759
0.9926	0.19	0.0975
0.9915	0.2	0.125
0.9902	0.21	0.1574
0.9887	0.22	0.1994
0.9865	0.23	0.252
0.984	0.24	0.3135
0.981	0.25	0.389
0.9767	0.26	0.4861
0.9717	0.27	0.6103
0.9656	0.28	0.7593
0.9587	0.29	0.947
0.9503	0.3	1.2
0.9396	0.31	1.5
0.9269	0.32	1.8
0.909	0.33	2.3
0.8896	0.34	2.9
0.8669	0.35	3.6
0.8356	0.36	4.7
0.7968	0.37	6
0.7498	0.38	7.9
0.7047	0.3876	10
SEPQ0.1=0.2190 SEPQ1=0.3188 SEPQ10=0.3876 S1FP=0.2346 N1FP=106675 area=7.84
