tpr	epq	fpr	precision	score
0.01	0	0	1	6.29e-09
0.02	0	0	1	2.27e-07
0.03	0	0	1	2.75e-06
0.04	0.0001784	0.0001099	0.9999	1.93e-05
0.05	0.0005352	0.0002638	0.9997	8.63e-05
0.06	0.001427	0.000586	0.9994	0.000259
0.07	0.003211	0.00113	0.9989	0.000644
0.08	0.004103	0.001263	0.9987	0.0014
0.09	0.006601	0.001805	0.9982	0.0026
0.1	0.01142	0.002807	0.9972	0.0045
0.11	0.01641	0.003665	0.9963	0.0072
0.12	0.02257	0.004615	0.9954	0.0111
0.13	0.02819	0.005317	0.9947	0.0167
0.14	0.03568	0.006243	0.9938	0.0241
0.15	0.04353	0.007103	0.9929	0.0337
0.16	0.05673	0.008665	0.9913	0.0467
0.17	0.07011	0.01006	0.9899	0.0635
0.18	0.08759	0.01185	0.9881	0.0849
0.19	0.1033	0.01322	0.9868	0.1118
0.2	0.1222	0.01484	0.9852	0.1466
0.21	0.1461	0.01686	0.9831	0.1917
0.22	0.1805	0.01983	0.9802	0.2519
0.23	0.2214	0.02318	0.9768	0.3257
0.24	0.2751	0.02748	0.9725	0.4226
0.25	0.3555	0.03387	0.9661	0.5565
0.26	0.4631	0.04206	0.9579	0.7285
0.27	0.6026	0.05215	0.9478	0.9526
0.28	0.7897	0.06501	0.935	1.2
0.29	1.043	0.08142	0.9186	1.6
0.3	1.399	0.1031	0.8969	2.2
0.31	1.897	0.1311	0.8689	2.9
0.32	2.576	0.1656	0.8344	3.8
0.33	3.669	0.2151	0.7849	5.3
0.34	5.251	0.2757	0.7243	7.3
0.35	7.33	0.3411	0.6589	10
SEPQ0.1=0.1880 SEPQ1=0.2885 SEPQ10=0.3491 S1FP=0.3023 N1FP=137494 area=5.85
