tpr	epq	fpr	precision	score
0.01	0	0	1	3.62e-09
0.02	0	0	1	1.41e-07
0.03	0	0	1	1.65e-06
0.04	0.0002676	0.0001649	0.9998	1.19e-05
0.05	0.00107	0.0005274	0.9995	5.46e-05
0.06	0.001784	0.0007324	0.9993	0.000167
0.07	0.002765	0.0009729	0.999	0.000415
0.08	0.004103	0.001263	0.9987	0.000879
0.09	0.006779	0.001853	0.9981	0.0017
0.1	0.009187	0.00226	0.9977	0.0028
0.11	0.01311	0.00293	0.9971	0.0046
0.12	0.01722	0.003524	0.9965	0.0068
0.13	0.02221	0.004194	0.9958	0.0101
0.14	0.03051	0.005343	0.9947	0.0143
0.15	0.04094	0.006684	0.9933	0.0198
0.16	0.05031	0.007692	0.9923	0.0269
0.17	0.06092	0.008757	0.9912	0.0356
0.18	0.07279	0.00987	0.9901	0.0462
0.19	0.08786	0.01127	0.9887	0.0594
0.2	0.1053	0.01281	0.9872	0.0756
0.21	0.1284	0.01485	0.9851	0.0964
0.22	0.1564	0.01722	0.9828	0.1223
0.23	0.1926	0.02022	0.9798	0.154
0.24	0.2395	0.02401	0.976	0.193
0.25	0.2963	0.02839	0.9716	0.2435
0.26	0.3679	0.0337	0.9663	0.3056
0.27	0.4502	0.03948	0.9605	0.3835
0.28	0.5613	0.04709	0.9529	0.4833
0.29	0.7034	0.05642	0.9436	0.6079
0.3	0.8848	0.06778	0.9322	0.7672
0.31	1.136	0.08283	0.9172	0.9733
0.32	1.431	0.09931	0.9007	1.2
0.33	1.83	0.1202	0.8798	1.6
0.34	2.369	0.1466	0.8534	2
0.35	3.117	0.18	0.82	2.6
0.36	4.13	0.2205	0.7795	3.4
0.37	5.704	0.2754	0.7246	4.7
0.38	8.009	0.3419	0.6581	6.5
0.39	11.99	0.4311	0.5689	9.7
0.4	12.39	0.4387	0.5613	10
SEPQ0.1=0.1970 SEPQ1=0.3048 SEPQ10=0.3857 S1FP=0.3307 N1FP=150383 area=6.86
