tpr	epq	fpr	precision	score
0.01	0	0	1	7.6e-09
0.02	0	0	1	2.65e-07
0.03	0	0	1	3.08e-06
0.04	0.0001784	0.0001099	0.9999	2.15e-05
0.05	0.0007136	0.0003517	0.9996	9.7e-05
0.06	0.001606	0.0006592	0.9993	0.000287
0.07	0.002319	0.0008161	0.9992	0.000718
0.08	0.002854	0.0008788	0.9991	0.0015
0.09	0.004282	0.001171	0.9988	0.0029
0.1	0.006422	0.001581	0.9984	0.0048
0.11	0.009633	0.002154	0.9978	0.0077
0.12	0.01267	0.002595	0.9974	0.0117
0.13	0.01641	0.003103	0.9969	0.0174
0.14	0.02105	0.003693	0.9963	0.0248
0.15	0.0264	0.00432	0.9957	0.0341
0.16	0.03657	0.005603	0.9944	0.0466
0.17	0.04478	0.006451	0.9935	0.0622
0.18	0.05593	0.007601	0.9924	0.0812
0.19	0.06601	0.008491	0.9915	0.1043
0.2	0.08081	0.009863	0.9901	0.1334
0.21	0.09651	0.0112	0.9888	0.1697
0.22	0.118	0.01305	0.9869	0.2166
0.23	0.1482	0.01564	0.9844	0.2743
0.24	0.1823	0.01838	0.9816	0.3449
0.25	0.2328	0.02244	0.9776	0.4335
0.26	0.2942	0.02714	0.9729	0.5481
0.27	0.3721	0.03286	0.9671	0.6912
0.28	0.4711	0.03983	0.9602	0.8752
0.29	0.5979	0.04837	0.9516	1.1
0.3	0.7631	0.05901	0.941	1.4
0.31	0.9732	0.07184	0.9282	1.8
0.32	1.279	0.08972	0.9103	2.3
0.33	1.665	0.1106	0.8894	2.9
0.34	2.182	0.1366	0.8634	3.7
0.35	2.949	0.172	0.828	4.9
0.36	4.004	0.2152	0.7848	6.6
0.37	5.551	0.27	0.73	9
0.38	6.232	0.2917	0.7083	10
SEPQ0.1=0.2122 SEPQ1=0.3110 SEPQ10=0.3730 S1FP=0.3282 N1FP=149275 area=6.75
