tpr	epq	fpr	precision	score
0.01	0	0	1	6.68e-09
0.02	0	0	1	2.38e-07
0.03	0	0	1	2.83e-06
0.04	0.0001784	0.0001099	0.9999	2.01e-05
0.05	0.0005352	0.0002638	0.9997	8.93e-05
0.06	0.001427	0.000586	0.9994	0.000263
0.07	0.002319	0.0008161	0.9992	0.000651
0.08	0.002854	0.0008788	0.9991	0.0014
0.09	0.003925	0.001074	0.9989	0.0025
0.1	0.006244	0.001537	0.9985	0.0043
0.11	0.008741	0.001955	0.998	0.0068
0.12	0.01177	0.002413	0.9976	0.0102
0.13	0.01481	0.0028	0.9972	0.0149
0.14	0.01873	0.003288	0.9967	0.021
0.15	0.02337	0.003826	0.9962	0.0288
0.16	0.03158	0.004842	0.9952	0.0383
0.17	0.03996	0.005761	0.9942	0.0502
0.18	0.0512	0.006963	0.993	0.0651
0.19	0.06297	0.008105	0.9919	0.0824
0.2	0.07296	0.008913	0.9911	0.1027
0.21	0.08893	0.01033	0.9897	0.1279
0.22	0.1054	0.01168	0.9883	0.1567
0.23	0.1254	0.01326	0.9867	0.1917
0.24	0.1527	0.01544	0.9846	0.2324
0.25	0.1843	0.01785	0.9822	0.2809
0.26	0.2201	0.02045	0.9796	0.3356
0.27	0.2672	0.02382	0.9762	0.4005
0.28	0.3252	0.02784	0.9722	0.4757
0.29	0.396	0.03257	0.9674	0.5687
0.3	0.4788	0.03786	0.9621	0.6715
0.31	0.5753	0.04375	0.9562	0.7917
0.32	0.6825	0.04995	0.95	0.9285
0.33	0.8143	0.05734	0.9427	1.1
0.34	0.9736	0.06594	0.9341	1.3
0.35	1.157	0.07534	0.9247	1.5
0.36	1.369	0.08569	0.9143	1.7
0.37	1.625	0.09767	0.9023	1.9
0.38	1.946	0.1121	0.8879	2.2
0.39	2.305	0.1272	0.8728	2.6
0.4	2.718	0.1435	0.8565	2.9
0.41	3.211	0.1618	0.8382	3.3
0.42	3.768	0.1811	0.8189	3.8
0.43	4.491	0.2047	0.7953	4.3
0.44	5.339	0.2303	0.7697	4.9
0.45	6.35	0.2581	0.7419	5.6
0.46	7.542	0.2878	0.7122	6.4
0.47	8.958	0.3197	0.6803	7.3
0.48	10.61	0.3527	0.6473	8.3
0.49	12.69	0.3896	0.6104	9.4
0.5	13.72	0.4063	0.5937	10
SEPQ0.1=0.2172 SEPQ1=0.3413 SEPQ10=0.4763 S1FP=0.3877 N1FP=176296 area=10.6
