tpr	epq	fpr	precision	score
0.01	0	0	1	3.72e-09
0.02	0	0	1	1.42e-07
0.03	0	0	1	1.68e-06
0.04	0.0003568	0.0002198	0.9998	1.21e-05
0.05	0.00116	0.0005714	0.9994	5.51e-05
0.06	0.001784	0.0007324	0.9993	0.000168
0.07	0.002765	0.0009729	0.999	0.000418
0.08	0.004014	0.001235	0.9988	0.000885
0.09	0.006779	0.001853	0.9981	0.0017
0.1	0.00892	0.002194	0.9978	0.0029
0.11	0.01276	0.00285	0.9971	0.0046
0.12	0.01659	0.003397	0.9966	0.0069
0.13	0.02132	0.004026	0.996	0.0101
0.14	0.02979	0.005219	0.9948	0.0144
0.15	0.03951	0.006452	0.9935	0.0199
0.16	0.04852	0.007421	0.9926	0.0271
0.17	0.05878	0.008452	0.9915	0.0358
0.18	0.07047	0.009559	0.9904	0.0465
0.19	0.08509	0.01092	0.9891	0.0599
0.2	0.1022	0.01244	0.9876	0.0762
0.21	0.1247	0.01443	0.9856	0.0972
0.22	0.152	0.01675	0.9833	0.1233
0.23	0.1876	0.01971	0.9803	0.1556
0.24	0.2335	0.02342	0.9766	0.1951
0.25	0.29	0.0278	0.9722	0.2466
0.26	0.3593	0.03294	0.9671	0.3095
0.27	0.4427	0.03885	0.9612	0.389
0.28	0.5518	0.04633	0.9537	0.4905
0.29	0.6947	0.05576	0.9442	0.619
0.3	0.8813	0.06753	0.9325	0.7837
0.31	1.129	0.08237	0.9176	0.9951
0.32	1.427	0.09903	0.901	1.3
0.33	1.825	0.12	0.88	1.6
0.34	2.363	0.1463	0.8537	2.1
0.35	3.099	0.1792	0.8208	2.7
0.36	4.104	0.2194	0.7806	3.6
0.37	5.645	0.2733	0.7267	4.9
0.38	7.892	0.3386	0.6614	6.9
0.39	11.41	0.4194	0.5806	10
SEPQ0.1=0.1988 SEPQ1=0.3050 SEPQ10=0.3863 S1FP=0.3324 N1FP=151146 area=6.86
