tpr	epq	fpr	precision	score
0.01	0	0	1	3.29e-09
0.02	0	0	1	1.28e-07
0.03	0	0	1	1.59e-06
0.04	0.0002676	0.0001649	0.9998	1.12e-05
0.05	0.00107	0.0005274	0.9995	5.09e-05
0.06	0.001784	0.0007324	0.9993	0.000154
0.07	0.002765	0.0009729	0.999	0.000377
0.08	0.003657	0.001126	0.9989	0.000791
0.09	0.006511	0.00178	0.9982	0.0015
0.1	0.008563	0.002107	0.9979	0.0025
0.11	0.01186	0.002652	0.9973	0.004
0.12	0.01579	0.003233	0.9968	0.0061
0.13	0.02007	0.003791	0.9962	0.0088
0.14	0.02622	0.004596	0.9954	0.0123
0.15	0.03523	0.005757	0.9942	0.0169
0.16	0.04451	0.006811	0.9932	0.0225
0.17	0.05414	0.00779	0.9922	0.0295
0.18	0.06565	0.008911	0.9911	0.0378
0.19	0.07849	0.01008	0.9899	0.0477
0.2	0.09446	0.01151	0.9885	0.0597
0.21	0.1119	0.01297	0.987	0.074
0.22	0.1343	0.01483	0.9852	0.0913
0.23	0.1601	0.01687	0.9831	0.112
0.24	0.1914	0.01928	0.9807	0.1356
0.25	0.2288	0.02206	0.9779	0.1629
0.26	0.2757	0.02548	0.9745	0.1953
0.27	0.3291	0.02918	0.9708	0.234
0.28	0.3954	0.03364	0.9664	0.2786
0.29	0.4719	0.03857	0.9614	0.33
0.3	0.5631	0.04423	0.9558	0.3897
0.31	0.6635	0.05012	0.9499	0.4576
0.32	0.7947	0.05769	0.9423	0.5365
0.33	0.9347	0.06527	0.9347	0.626
0.34	1.111	0.07454	0.9255	0.7283
0.35	1.322	0.08516	0.9148	0.8484
0.36	1.564	0.09675	0.9033	0.9798
0.37	1.834	0.1089	0.8911	1.1
0.38	2.164	0.1231	0.8769	1.3
0.39	2.537	0.1382	0.8618	1.5
0.4	2.97	0.1547	0.8453	1.7
0.41	3.474	0.1728	0.8272	1.9
0.42	4.103	0.1941	0.8059	2.2
0.43	4.805	0.216	0.784	2.5
0.44	5.6	0.2388	0.7612	2.8
0.45	6.566	0.2645	0.7355	3.2
0.46	7.712	0.2924	0.7076	3.7
0.47	9.063	0.3222	0.6778	4.2
0.48	10.7	0.3545	0.6455	4.7
0.49	12.59	0.3878	0.6122	5.4
0.5	14.86	0.4229	0.5771	6.1
0.51	17.73	0.4614	0.5386	7
0.52	21.13	0.5004	0.4996	7.9
0.53	25.57	0.5433	0.4567	9.1
0.54	28.92	0.5707	0.4293	10
SEPQ0.1=0.2032 SEPQ1=0.3340 SEPQ10=0.4759 S1FP=0.3930 N1FP=178703 area=10.7
