tpr	epq	fpr	precision	score
0.01	0	0	1	3.24e-09
0.02	0	0	1	1.27e-07
0.03	0	0	1	1.59e-06
0.04	0.0002676	0.0001649	0.9998	1.11e-05
0.05	0.00107	0.0005274	0.9995	5.06e-05
0.06	0.001784	0.0007324	0.9993	0.000154
0.07	0.002765	0.0009729	0.999	0.000376
0.08	0.003657	0.001126	0.9989	0.000788
0.09	0.006511	0.00178	0.9982	0.0015
0.1	0.008474	0.002085	0.9979	0.0025
0.11	0.01186	0.002652	0.9973	0.004
0.12	0.01579	0.003233	0.9968	0.006
0.13	0.02007	0.003791	0.9962	0.0087
0.14	0.02605	0.004565	0.9954	0.0122
0.15	0.03505	0.005728	0.9943	0.0167
0.16	0.04397	0.00673	0.9933	0.0222
0.17	0.05343	0.007688	0.9923	0.029
0.18	0.0652	0.008851	0.9911	0.037
0.19	0.07742	0.009946	0.9901	0.0466
0.2	0.09277	0.01131	0.9887	0.0579
0.21	0.1103	0.01279	0.9872	0.0715
0.22	0.1299	0.01434	0.9857	0.0874
0.23	0.1566	0.01651	0.9835	0.1064
0.24	0.1859	0.01874	0.9813	0.1279
0.25	0.2201	0.02124	0.9788	0.1529
0.26	0.2626	0.02429	0.9757	0.1812
0.27	0.3143	0.0279	0.9721	0.2147
0.28	0.3708	0.03161	0.9684	0.2528
0.29	0.4414	0.03617	0.9638	0.2963
0.3	0.5198	0.04096	0.959	0.3438
0.31	0.6131	0.04649	0.9535	0.3991
0.32	0.7134	0.0521	0.9479	0.4604
0.33	0.842	0.05918	0.9408	0.5294
0.34	0.9837	0.06657	0.9334	0.6057
0.35	1.148	0.07484	0.9252	0.6907
0.36	1.345	0.08435	0.9157	0.7861
0.37	1.568	0.0946	0.9054	0.8918
0.38	1.818	0.1055	0.8945	1
0.39	2.095	0.1169	0.8831	1.1
0.4	2.414	0.1295	0.8705	1.3
0.41	2.784	0.1434	0.8566	1.4
0.42	3.199	0.1581	0.8419	1.6
0.43	3.657	0.1733	0.8267	1.7
0.44	4.204	0.1906	0.8094	1.9
0.45	4.817	0.2088	0.7912	2.1
0.46	5.504	0.2278	0.7722	2.3
0.47	6.287	0.248	0.752	2.6
0.48	7.149	0.2686	0.7314	2.8
0.49	8.144	0.2906	0.7094	3.1
0.5	9.234	0.3128	0.6872	3.4
0.51	10.47	0.336	0.664	3.7
0.52	11.85	0.3597	0.6403	4
0.53	13.4	0.384	0.616	4.4
0.54	15.15	0.4089	0.5911	4.7
0.55	17.09	0.4338	0.5662	5.1
0.56	19.19	0.4579	0.5421	5.5
0.57	21.61	0.4831	0.5169	6
0.58	24.41	0.5092	0.4908	6.4
0.59	27.53	0.535	0.465	7
0.6	31.1	0.561	0.439	7.5
0.61	35.01	0.5859	0.4141	8.1
0.62	39.48	0.6109	0.3891	8.7
0.63	44.61	0.6358	0.3642	9.4
0.64	50.39	0.66	0.34	10.1
0.65	56.94	0.6835	0.3165	10.8
0.66	64.48	0.7066	0.2934	11.7
0.67	72.98	0.7287	0.2713	12.5
0.68	82.93	0.7504	0.2496	13.5
0.69	94.41	0.7713	0.2287	14.5
0.7	107.2	0.7906	0.2094	15.6
0.71	122.5	0.8097	0.1903	16.8
0.72	139.8	0.8272	0.1728	18.1
0.73	159.1	0.8431	0.1569	19.5
0.74	180.3	0.8573	0.1427	20.9
0.75	205.3	0.8709	0.1291	22.5
0.76	234	0.8836	0.1164	24.2
0.77	266.2	0.895	0.105	26
0.78	304.1	0.9058	0.09424	28.1
0.79	347.3	0.9155	0.08447	30.3
0.8	396.4	0.9243	0.07567	32.7
0.81	452.7	0.9323	0.06768	35.4
0.82	515.8	0.9394	0.06058	38.3
0.83	587.7	0.9458	0.05418	41.4
0.84	668.5	0.9515	0.0485	45
0.85	761.9	0.9567	0.0433	48.9
0.86	868.6	0.9614	0.03861	53.4
0.87	989.1	0.9655	0.03445	58.5
0.88	1124	0.9692	0.03078	64.2
0.89	1279	0.9726	0.02745	70.8
0.9	1457	0.9756	0.02444	78.6
0.91	1666	0.9783	0.02168	88.2
0.92	1910	0.9808	0.01916	100.2
0.93	2195	0.9831	0.0169	115.3
0.94	2543	0.9852	0.01477	136.3
0.95	2955	0.9871	0.01287	165.5
0.96	3465	0.9889	0.01111	211.8
0.97	4123	0.9905	0.009453	298.4
0.98	5173	0.9924	0.007627	594.1
0.99	6682	0.994	0.005953	1e+06
SEPQ0.1=0.2040 SEPQ1=0.3411 SEPQ10=0.5063 S1FP=0.4139 N1FP=188211 area=12.2
