tpr	epq	fpr	precision	score
0.01	0	0	1	8.75e-11
0.02	0	0	1	1.54e-09
0.03	0	0	1	8.04e-09
0.04	0	0	1	3.8e-08
0.05	0	0	1	1.3e-07
0.06	0	0	1	3.6e-07
0.07	0	0	1	8.6e-07
0.08	0	0	1	2e-06
0.09	0	0	1	4.48e-06
0.1	0	0	1	8.6e-06
0.11	0	0	1	1.64e-05
0.12	0	0	1	2.98e-05
0.13	0	0	1	5.09e-05
0.14	0	0	1	8.05e-05
0.15	0	0	1	0.000122
0.16	0.0001784	0.000115	0.9999	0.000184
0.17	0.0001784	0.0001082	0.9999	0.000261
0.18	0.0001784	0.0001022	0.9999	0.00037
0.19	0.0007136	0.0003871	0.9996	0.000508
0.2	0.0007136	0.0003678	0.9996	0.000706
0.21	0.0007136	0.0003503	0.9996	0.000957
0.22	0.00107	0.0005015	0.9995	0.0013
0.23	0.001249	0.0005596	0.9994	0.0017
0.24	0.001427	0.0006128	0.9994	0.0022
0.25	0.001962	0.0008088	0.9992	0.0027
0.26	0.002319	0.000919	0.9991	0.0034
0.27	0.002498	0.000953	0.999	0.0042
0.28	0.002676	0.0009845	0.999	0.0051
0.29	0.00339	0.001204	0.9988	0.0062
0.3	0.003925	0.001347	0.9987	0.0075
0.31	0.004282	0.001422	0.9986	0.0089
0.32	0.00446	0.001435	0.9986	0.0106
0.33	0.004817	0.001503	0.9985	0.0125
0.34	0.004817	0.001459	0.9985	0.0147
0.35	0.005352	0.001574	0.9984	0.0174
0.36	0.00553	0.001582	0.9984	0.0201
0.37	0.006601	0.001836	0.9982	0.0235
0.38	0.006957	0.001884	0.9981	0.0273
0.39	0.007849	0.002071	0.9979	0.0313
0.4	0.00892	0.002294	0.9977	0.0357
0.41	0.009812	0.002462	0.9975	0.0409
0.42	0.01053	0.002578	0.9974	0.047
0.43	0.01142	0.002731	0.9973	0.0534
0.44	0.01213	0.002835	0.9972	0.0611
0.45	0.01356	0.003097	0.9969	0.0694
0.46	0.01481	0.003308	0.9967	0.0796
0.47	0.01588	0.003471	0.9965	0.09
0.48	0.01695	0.003628	0.9964	0.1009
0.49	0.01962	0.004113	0.9959	0.115
0.5	0.0223	0.004578	0.9954	0.1299
0.51	0.02462	0.004953	0.995	0.1473
0.52	0.02801	0.005524	0.9945	0.166
0.53	0.0314	0.006072	0.9939	0.1869
0.54	0.03782	0.00717	0.9928	0.2112
0.55	0.04638	0.008621	0.9914	0.24
0.56	0.0537	0.009791	0.9902	0.2717
0.57	0.06065	0.01085	0.9891	0.3062
0.58	0.07082	0.01244	0.9876	0.3468
0.59	0.08278	0.01426	0.9857	0.3911
0.6	0.09669	0.01635	0.9837	0.4396
0.61	0.117	0.0194	0.9806	0.4965
0.62	0.1395	0.02268	0.9773	0.5708
0.63	0.1614	0.02575	0.9743	0.6456
0.64	0.1903	0.02976	0.9702	0.7361
0.65	0.2221	0.03404	0.966	0.8368
0.66	0.263	0.03946	0.9605	0.9584
0.67	0.3201	0.04696	0.953	1.1
0.68	0.3811	0.05463	0.9454	1.3
0.69	0.4658	0.06508	0.9349	1.5
0.7	0.5767	0.0783	0.9217	1.7
0.71	0.7314	0.09603	0.904	2
0.72	0.9185	0.1163	0.8837	2.4
0.73	1.157	0.1404	0.8596	2.8
0.74	1.506	0.1735	0.8265	3.3
0.75	2.001	0.2158	0.7842	4
0.76	2.787	0.2744	0.7256	4.9
0.77	3.942	0.3455	0.6545	6.1
0.78	5.683	0.429	0.571	7.7
0.79	8.711	0.5321	0.4679	10
0.8	8.779	0.5339	0.4661	10
SEPQ0.1=0.6016 SEPQ1=0.7236 SEPQ10=0.7902 S1FP=1.4182 N1FP=154186 area=23.8
