tpr	epq	fpr	precision	score
0.01	0	0	1	5.1e-07
0.02	0	0	1	4.88e-05
0.03	0.0007136	0.0002572	0.9997	0.000559
0.04	0.001873	0.0005062	0.9995	0.0027
0.05	0.004103	0.0008868	0.9991	0.008
0.06	0.005352	0.0009638	0.999	0.0187
0.07	0.009277	0.001431	0.9986	0.0372
0.08	0.01338	0.001806	0.9982	0.0671
0.09	0.01909	0.002289	0.9977	0.1114
0.1	0.02836	0.003059	0.9969	0.1754
0.11	0.05281	0.005165	0.9948	0.2681
0.12	0.08456	0.007564	0.9924	0.394
0.13	0.1377	0.01133	0.9887	0.5671
0.14	0.2096	0.01594	0.9841	0.7912
0.15	0.3092	0.02181	0.9782	1.1
0.16	0.4465	0.0293	0.9707	1.4
0.17	0.6362	0.0389	0.9611	1.8
0.18	0.8919	0.05087	0.9491	2.3
0.19	1.203	0.0641	0.9359	2.8
0.2	1.602	0.07975	0.9203	3.4
0.21	2.13	0.09888	0.9011	4.1
0.22	2.77	0.1198	0.8802	4.9
0.23	3.566	0.1436	0.8564	5.7
0.24	4.529	0.1695	0.8305	6.7
0.25	5.679	0.1972	0.8028	7.7
0.26	7.054	0.2269	0.7731	8.8
0.27	8.689	0.2582	0.7418	9.9
0.28	8.779	0.2598	0.7402	10
SEPQ0.1=0.1236 SEPQ1=0.1838 SEPQ10=0.2705 S1FP=0.1488 N1FP=154186 area=3.78
