tpr	epq	fpr	precision	score
0.01	0	0	1	5.45e-07
0.02	0	0	1	6.42e-05
0.03	0.0007136	0.00077	0.9992	0.000643
0.04	0.001427	0.001155	0.9988	0.0023
0.05	0.003211	0.002076	0.9979	0.0059
0.06	0.004638	0.002498	0.9975	0.0117
0.07	0.006065	0.002799	0.9972	0.0209
0.08	0.008028	0.00324	0.9968	0.0335
0.09	0.01124	0.004029	0.996	0.0505
0.1	0.01356	0.004373	0.9956	0.0715
0.11	0.01641	0.00481	0.9952	0.0976
0.12	0.02212	0.005937	0.9941	0.1295
0.13	0.02801	0.006931	0.9931	0.1672
0.14	0.03871	0.008879	0.9911	0.2149
0.15	0.05316	0.01135	0.9886	0.2689
0.16	0.06726	0.01344	0.9866	0.332
0.17	0.0892	0.01671	0.9833	0.4083
0.18	0.1185	0.02087	0.9791	0.5001
0.19	0.1484	0.02468	0.9753	0.6075
0.2	0.1879	0.02953	0.9705	0.7302
0.21	0.2309	0.0344	0.9656	0.867
0.22	0.2911	0.04111	0.9589	1
0.23	0.3616	0.04847	0.9515	1.2
0.24	0.4363	0.05562	0.9444	1.4
0.25	0.5309	0.06437	0.9356	1.6
0.26	0.6389	0.07374	0.9263	1.8
0.27	0.7825	0.08584	0.9142	2.1
0.28	0.9453	0.09859	0.9014	2.4
0.29	1.139	0.1128	0.8872	2.7
0.3	1.354	0.1276	0.8724	3.1
0.31	1.619	0.1447	0.8553	3.5
0.32	1.954	0.1651	0.8349	3.9
0.33	2.35	0.1875	0.8125	4.4
0.34	2.829	0.2123	0.7877	5
0.35	3.405	0.2396	0.7604	5.6
0.36	4.105	0.2698	0.7302	6.3
0.37	4.915	0.3009	0.6991	7
0.38	5.908	0.335	0.665	7.8
0.39	7.046	0.3692	0.6308	8.7
0.4	8.504	0.4078	0.5922	9.8
0.41	8.779	0.4145	0.5855	10
SEPQ0.1=0.1747 SEPQ1=0.2831 SEPQ10=0.4017 S1FP=0.4456 N1FP=154186 area=8.25
