tpr	epq	score
0.01	0	6.86e-09
0.02	0	2.48e-07
0.03	0	3.03e-06
0.04	0	2.12e-05
0.05	0	9.32e-05
0.06	0.0003568	0.000277
0.07	0.00107	0.000675
0.08	0.001606	0.0014
0.09	0.002498	0.0026
0.1	0.00446	0.0045
0.11	0.006779	0.007
0.12	0.009098	0.0105
0.13	0.01195	0.0153
0.14	0.0157	0.0215
0.15	0.02016	0.0295
0.16	0.02694	0.0391
0.17	0.03532	0.0515
0.18	0.04531	0.0665
0.19	0.05655	0.0842
0.2	0.06565	0.1048
0.21	0.08019	0.1301
0.22	0.09598	0.1596
0.23	0.114	0.1946
0.24	0.1411	0.237
0.25	0.1713	0.2855
0.26	0.2062	0.3421
0.27	0.2512	0.4071
0.28	0.3083	0.4841
0.29	0.377	0.5779
0.3	0.4579	0.6825
0.31	0.5537	0.8026
0.32	0.6626	0.9429
0.33	0.7964	1.1
0.34	0.9586	1.3
0.35	1.143	1.5
0.36	1.357	1.7
0.37	1.619	2
0.38	1.937	2.3
0.39	2.309	2.6
0.4	2.718	3
0.41	3.217	3.4
0.42	3.781	3.8
0.43	4.527	4.4
0.44	5.385	5
0.45	6.413	5.7
0.46	7.626	6.5
0.47	9.067	7.4
0.48	10.75	8.4
0.49	12.88	9.6
0.5	13.64	10
epq	tpr	score
0.01008	0.1231	0.0119
0.01267	0.1314	0.0161
0.01588	0.1401	0.0217
0.02007	0.1497	0.0292
0.02524	0.1575	0.0366
0.03175	0.1659	0.0462
0.04005	0.175	0.0588
0.0504	0.1847	0.0742
0.06351	0.1982	0.1007
0.08001	0.2099	0.1299
0.1008	0.2233	0.1705
0.127	0.2357	0.2185
0.16	0.2461	0.2659
0.2016	0.259	0.3351
0.254	0.2705	0.4104
0.32	0.2815	0.4977
0.4032	0.2934	0.6127
0.508	0.3053	0.7452
0.6401	0.3178	0.9123
0.8064	0.3308	1.1
1.016	0.3431	1.3
1.28	0.3568	1.6
1.613	0.3699	2
2.032	0.3828	2.4
2.56	0.3963	2.8
3.225	0.4102	3.4
4.064	0.424	4.1
5.12	0.4371	4.8
6.451	0.4503	5.7
8.128	0.4637	6.8
13.64	0.5	10
precision	recall	score
1	0.01	6.86e-09
1	0.02	2.48e-07
1	0.03	3.03e-06
1	0.04	2.12e-05
1	0.05	9.32e-05
0.9999	0.06	0.000277
0.9996	0.07	0.000675
0.9995	0.08	0.0014
0.9993	0.09	0.0026
0.9989	0.1	0.0045
0.9985	0.11	0.007
0.9981	0.12	0.0105
0.9977	0.13	0.0153
0.9972	0.14	0.0215
0.9967	0.15	0.0295
0.9959	0.16	0.0391
0.9949	0.17	0.0515
0.9938	0.18	0.0665
0.9927	0.19	0.0842
0.992	0.2	0.1048
0.9907	0.21	0.1301
0.9894	0.22	0.1596
0.9879	0.23	0.1946
0.9857	0.24	0.237
0.9834	0.25	0.2855
0.9808	0.26	0.3421
0.9776	0.27	0.4071
0.9736	0.28	0.4841
0.969	0.29	0.5779
0.9637	0.3	0.6825
0.9578	0.31	0.8026
0.9514	0.32	0.9429
0.9438	0.33	1.1
0.935	0.34	1.3
0.9255	0.35	1.5
0.915	0.36	1.7
0.9027	0.37	2
0.8883	0.38	2.3
0.8726	0.39	2.6
0.8565	0.4	3
0.8379	0.41	3.4
0.8184	0.42	3.8
0.7939	0.43	4.4
0.7682	0.44	5
0.74	0.45	5.7
0.7099	0.46	6.5
0.6777	0.47	7.4
0.6442	0.48	8.4
0.6068	0.49	9.6
0.5945	0.4932	10
SEPQ0.1=0.2228 SEPQ1=0.3421 SEPQ10=0.4756 S1FP=0.3079 N1FP=140008 area=8.43
