tpr	epq	fpr	precision	score
0.01	0	0	1	8.75e-11
0.02	0	0	1	1.54e-09
0.03	0	0	1	8.04e-09
0.04	0	0	1	3.8e-08
0.05	0	0	1	1.3e-07
0.06	0	0	1	3.6e-07
0.07	0	0	1	8.6e-07
0.08	0	0	1	2e-06
0.09	0	0	1	4.48e-06
0.1	0	0	1	8.6e-06
0.11	0	0	1	1.64e-05
0.12	0	0	1	2.98e-05
0.13	0	0	1	5.09e-05
0.14	0	0	1	8.05e-05
0.15	0	0	1	0.000122
0.16	0.0001784	0.000115	0.9999	0.000184
0.17	0.0001784	0.0001082	0.9999	0.000261
0.18	0.0001784	0.0001022	0.9999	0.00037
0.19	0.0007136	0.0003871	0.9996	0.000508
0.2	0.0007136	0.0003678	0.9996	0.000706
0.21	0.0007136	0.0003503	0.9996	0.000957
0.22	0.00107	0.0005015	0.9995	0.0013
0.23	0.001249	0.0005596	0.9994	0.0017
0.24	0.001427	0.0006128	0.9994	0.0022
0.25	0.001962	0.0008088	0.9992	0.0027
0.26	0.002319	0.000919	0.9991	0.0034
0.27	0.002498	0.000953	0.999	0.0042
0.28	0.002676	0.0009845	0.999	0.0051
0.29	0.0033	0.001172	0.9988	0.0062
0.3	0.003925	0.001347	0.9987	0.0074
0.31	0.004282	0.001422	0.9986	0.0088
0.32	0.00446	0.001435	0.9986	0.0106
0.33	0.004817	0.001503	0.9985	0.0124
0.34	0.004817	0.001459	0.9985	0.0146
0.35	0.005352	0.001574	0.9984	0.0173
0.36	0.00553	0.001582	0.9984	0.0199
0.37	0.006422	0.001787	0.9982	0.0231
0.38	0.006957	0.001884	0.9981	0.027
0.39	0.007849	0.002071	0.9979	0.0308
0.4	0.008741	0.002248	0.9978	0.0352
0.41	0.00999	0.002506	0.9975	0.0402
0.42	0.01053	0.002578	0.9974	0.0461
0.43	0.01142	0.002731	0.9973	0.0522
0.44	0.01231	0.002877	0.9971	0.0594
0.45	0.01356	0.003097	0.9969	0.0677
0.46	0.01427	0.003189	0.9968	0.0764
0.47	0.0157	0.003433	0.9966	0.0864
0.48	0.01659	0.003552	0.9964	0.0967
0.49	0.01873	0.003927	0.9961	0.1085
0.5	0.02159	0.004432	0.9956	0.1224
0.51	0.02408	0.004846	0.9952	0.1383
0.52	0.02658	0.005244	0.9948	0.1543
0.53	0.02926	0.00566	0.9943	0.1734
0.54	0.03372	0.006397	0.9936	0.1932
0.55	0.03996	0.007437	0.9926	0.2164
0.56	0.04781	0.008727	0.9913	0.243
0.57	0.05548	0.009937	0.9901	0.2713
0.58	0.06244	0.01098	0.989	0.3019
0.59	0.07118	0.01229	0.9877	0.3371
0.6	0.08081	0.0137	0.9863	0.3745
0.61	0.09669	0.01608	0.9839	0.4172
0.62	0.111	0.01812	0.9819	0.4621
0.63	0.129	0.02068	0.9793	0.5149
0.64	0.1497	0.02355	0.9765	0.5777
0.65	0.1711	0.02642	0.9736	0.64
0.66	0.1978	0.02998	0.97	0.7112
0.67	0.2323	0.03451	0.9655	0.7959
0.68	0.2688	0.03917	0.9608	0.8874
0.69	0.3142	0.04484	0.9552	0.9878
0.7	0.3698	0.05166	0.9483	1.1
0.71	0.4289	0.05864	0.9414	1.2
0.72	0.5124	0.06836	0.9316	1.4
0.73	0.6124	0.07962	0.9204	1.6
0.74	0.7296	0.09229	0.9077	1.7
0.75	0.895	0.1096	0.8904	2
0.76	1.088	0.1287	0.8713	2.2
0.77	1.32	0.1503	0.8497	2.5
0.78	1.603	0.1749	0.8251	2.8
0.79	1.999	0.2069	0.7931	3.2
0.8	2.5	0.2437	0.7563	3.7
0.81	3.188	0.2887	0.7113	4.3
0.82	4.097	0.34	0.66	4.9
0.83	5.318	0.3978	0.6022	5.7
0.84	6.922	0.4594	0.5406	6.6
0.85	9.217	0.5279	0.4721	7.7
0.86	12.44	0.5987	0.4013	9
0.87	17.19	0.6708	0.3292	10.7
0.88	23.45	0.7332	0.2668	12.6
0.89	32.27	0.789	0.211	14.9
0.9	45.77	0.8399	0.1601	17.8
0.91	66.65	0.8831	0.1169	21.5
0.92	101.4	0.9191	0.08086	26.6
0.93	156.8	0.9456	0.05438	33.3
0.94	255.2	0.9655	0.03449	43
0.95	412.9	0.9782	0.02182	56.2
0.96	689.2	0.9867	0.01333	76.9
0.97	1151	0.9919	0.008106	110.4
0.98	2100	0.9955	0.004506	190.3
0.99	4623	0.9979	0.002072	755.2
1	6623	0.9985	0.001451	1e+06
SEPQ0.1=0.6123 SEPQ1=0.7561 SEPQ10=0.8530 S1FP=2.3011 N1FP=250173 area=27.9
