tpr	epq	fpr	precision	score
0.01	0.315	0.3778	0.6222	0.9898
0.02	0.7902	0.4323	0.5677	1.8
0.03	1.375	0.4689	0.5311	2.6
0.04	2.092	0.5019	0.4981	3.3
0.05	2.918	0.5293	0.4707	4
0.06	3.83	0.5516	0.4484	4.7
0.07	4.879	0.5732	0.4268	5.4
0.08	6.105	0.5952	0.4048	6.1
0.09	7.394	0.6129	0.3871	6.8
0.1	8.854	0.6305	0.3695	7.5
0.11	10.45	0.6468	0.3532	8.2
0.12	12.29	0.6638	0.3362	9
0.13	14.25	0.6787	0.3213	9.7
0.14	16.32	0.6919	0.3081	10.4
0.15	18.63	0.7053	0.2947	11.2
0.16	21.14	0.718	0.282	12
0.17	23.84	0.7299	0.2701	12.7
0.18	26.75	0.7412	0.2588	13.5
0.19	29.98	0.7525	0.2475	14.3
0.2	33.43	0.7631	0.2369	15.2
0.21	37.07	0.7728	0.2272	16
0.22	41.06	0.7825	0.2175	16.8
0.23	45.31	0.7915	0.2085	17.7
0.24	49.71	0.7996	0.2004	18.6
0.25	54.64	0.8081	0.1919	19.5
0.26	60.05	0.8165	0.1835	20.4
0.27	65.77	0.8244	0.1756	21.4
0.28	71.99	0.8321	0.1679	22.4
0.29	78.52	0.8392	0.1608	23.4
0.3	85.48	0.8459	0.1541	24.4
0.31	92.91	0.8524	0.1476	25.5
0.32	101	0.8588	0.1412	26.6
0.33	109.4	0.8647	0.1353	27.7
0.34	118.4	0.8703	0.1297	28.8
0.35	128.2	0.8759	0.1241	30
0.36	138.8	0.8814	0.1186	31.2
0.37	149.7	0.8863	0.1137	32.5
0.38	162	0.8915	0.1085	33.8
0.39	174.9	0.8963	0.1037	35.2
0.4	188.2	0.9007	0.09933	36.6
0.41	202.7	0.905	0.095	38
0.42	218.4	0.9093	0.09074	39.6
0.43	235.2	0.9133	0.08665	41.2
0.44	253.1	0.9173	0.08273	42.8
0.45	271.4	0.9208	0.07923	44.5
0.46	291	0.9242	0.07582	46.2
0.47	311.9	0.9275	0.07253	48
0.48	334.7	0.9307	0.06926	49.9
0.49	358.1	0.9337	0.0663	51.8
0.5	384.4	0.9368	0.06322	54
0.51	411.4	0.9396	0.06044	56.1
0.52	440.2	0.9422	0.05775	58.4
0.53	470.9	0.9448	0.05519	60.7
0.54	503.4	0.9473	0.05273	63.2
0.55	539.3	0.9497	0.05027	65.9
0.56	576.3	0.952	0.04801	68.6
0.57	616.4	0.9542	0.04579	71.6
0.58	657	0.9562	0.04381	74.5
0.59	700.4	0.9581	0.04189	77.7
0.6	747.4	0.96	0.03999	81.1
0.61	797.3	0.9618	0.03818	84.7
0.62	849.6	0.9635	0.03649	88.4
0.63	908.3	0.9653	0.03474	92.7
0.64	969.9	0.9669	0.03311	97.1
0.65	1033	0.9684	0.03162	101.7
0.66	1100	0.9698	0.0302	106.6
0.67	1171	0.9712	0.02884	111.8
0.68	1245	0.9724	0.02757	117.4
0.69	1327	0.9737	0.02628	123.6
0.7	1415	0.975	0.02503	130.5
0.71	1505	0.9761	0.0239	137.6
0.72	1601	0.9772	0.0228	145.5
0.73	1705	0.9783	0.02173	154.2
0.74	1816	0.9793	0.02071	163.8
0.75	1930	0.9802	0.01976	174.2
0.76	2052	0.9811	0.01886	185.7
0.77	2185	0.982	0.01796	198.9
0.78	2325	0.9829	0.01711	213.6
0.79	2473	0.9837	0.01631	230.2
0.8	2636	0.9845	0.01551	249.7
0.81	2801	0.9852	0.01478	271.3
0.82	2980	0.9859	0.01408	296.9
0.83	3176	0.9866	0.01338	328
0.84	3383	0.9873	0.01272	365
0.85	3610	0.9879	0.01207	411.8
0.86	3853	0.9885	0.01145	470.4
0.87	4111	0.9891	0.01086	545.8
0.88	4402	0.9897	0.01027	652.8
0.89	4726	0.9903	0.009677	811.9
0.9	5084	0.9909	0.009104	1068
0.91	5503	0.9915	0.008508	1586
0.92	6044	0.9922	0.007837	3495
0.93	6623	0.9928	0.007216	1e+06
SEPQ0.1=0.0040 SEPQ1=0.0238 SEPQ10=0.1073 S1FP=0.4300 N1FP=250173 area=0.55
