tpr	epq	score
0.01	0	6.58e-09
0.02	0	2.37e-07
0.03	0	2.82e-06
0.04	0.0001784	2e-05
0.05	0.0005352	8.87e-05
0.06	0.001427	0.000263
0.07	0.002319	0.000648
0.08	0.002854	0.0014
0.09	0.003925	0.0025
0.1	0.006065	0.0043
0.11	0.008652	0.0068
0.12	0.0116	0.0102
0.13	0.01463	0.0147
0.14	0.01864	0.0208
0.15	0.02337	0.0285
0.16	0.03104	0.0377
0.17	0.03996	0.0495
0.18	0.05013	0.0637
0.19	0.06297	0.0803
0.2	0.07279	0.0996
0.21	0.08759	0.123
0.22	0.1038	0.1499
0.23	0.1224	0.1816
0.24	0.1464	0.2188
0.25	0.1802	0.2615
0.26	0.211	0.3088
0.27	0.2571	0.365
0.28	0.3089	0.4286
0.29	0.3716	0.501
0.3	0.4419	0.5856
0.31	0.5271	0.6774
0.32	0.631	0.7831
0.33	0.7419	0.9004
0.34	0.8765	1
0.35	1.018	1.2
0.36	1.209	1.3
0.37	1.41	1.5
0.38	1.638	1.7
0.39	1.909	1.9
0.4	2.231	2.1
0.41	2.603	2.4
0.42	3.034	2.7
0.43	3.491	2.9
0.44	4.011	3.2
0.45	4.625	3.6
0.46	5.324	3.9
0.47	6.138	4.4
0.48	7.069	4.8
0.49	8.105	5.2
0.5	9.287	5.7
0.51	10.61	6.3
0.52	12.09	6.8
0.53	13.8	7.4
0.54	15.68	8.1
0.55	17.77	8.8
0.56	20.27	9.5
0.57	23.07	10.3
0.58	26.1	11.1
0.59	29.61	12
0.6	33.61	13
0.61	38.14	14
0.62	43.23	15
0.63	48.96	16.2
0.64	55.82	17.5
0.65	63.54	18.8
0.66	72.63	20.3
0.67	82.62	21.8
0.68	94.24	23.5
0.69	108	25.3
0.7	123.7	27.3
0.71	142.3	29.5
0.72	162.3	31.8
0.73	185.9	34.3
0.74	213.6	37
0.75	243.9	39.9
0.76	278.3	43
0.77	317.9	46.5
0.78	364.1	50.3
0.79	416.7	54.5
0.8	472.8	58.8
0.81	535.9	63.5
0.82	610.7	69
0.83	694.3	75.1
0.84	784.2	81.5
0.85	889.7	89
0.86	1006	97.4
0.87	1136	106.7
0.88	1285	117.7
0.89	1452	130.5
0.9	1647	146.2
0.91	1868	165
0.92	2113	187.8
0.93	2401	217.5
0.94	2749	258.9
0.95	3159	318.2
0.96	3647	410.1
0.97	4256	579.4
0.98	5271	1206
0.99	6713	8.727e+09
epq	tpr	score
0.01008	0.1136	0.0079
0.01267	0.1225	0.0112
0.01588	0.1324	0.0161
0.02007	0.1429	0.0229
0.02524	0.1531	0.0312
0.03175	0.1604	0.0382
0.04005	0.17	0.0495
0.0504	0.1801	0.064
0.06351	0.1909	0.0818
0.08001	0.2049	0.1107
0.1008	0.2175	0.1431
0.127	0.2318	0.1878
0.16	0.2439	0.2343
0.2016	0.257	0.2946
0.254	0.2693	0.3611
0.32	0.282	0.4417
0.4032	0.295	0.541
0.508	0.3078	0.6564
0.6401	0.3211	0.7951
0.8064	0.3354	0.9661
1.016	0.3499	1.2
1.28	0.3638	1.4
1.613	0.3791	1.7
2.032	0.3938	2
2.56	0.4089	2.4
3.225	0.4245	2.8
4.064	0.4408	3.3
5.12	0.4573	3.8
6.451	0.4734	4.5
8.128	0.4902	5.3
6713	0.99	8.727e+09
precision	recall	score
1	0.01	6.58e-09
1	0.02	2.37e-07
1	0.03	2.82e-06
0.9999	0.04	2e-05
0.9997	0.05	8.87e-05
0.9994	0.06	0.000263
0.9992	0.07	0.000648
0.9991	0.08	0.0014
0.9989	0.09	0.0025
