tpr	epq	fpr	precision	score
0.01	0.04513	0.3174	0.6826	0.9082
0.02	0.0908	0.3188	0.6812	0.8907
0.03	0.1413	0.3269	0.6731	0.8775
0.04	0.1891	0.3277	0.6723	0.8663
0.05	0.241	0.332	0.668	0.8553
0.06	0.2901	0.3327	0.6673	0.8461
0.07	0.3334	0.3294	0.6706	0.8378
0.08	0.3736	0.325	0.675	0.8302
0.09	0.413	0.3212	0.6788	0.8226
0.1	0.4524	0.3181	0.6819	0.8157
0.11	0.4949	0.3169	0.6831	0.8088
0.12	0.5338	0.3144	0.6856	0.8028
0.13	0.5762	0.3137	0.6863	0.7967
0.14	0.6192	0.3132	0.6868	0.7909
0.15	0.6645	0.3136	0.6864	0.7857
0.16	0.7053	0.3125	0.6875	0.7807
0.17	0.7434	0.3108	0.6892	0.7762
0.18	0.7783	0.3084	0.6916	0.7718
0.19	0.8257	0.3095	0.6905	0.767
0.2	0.8772	0.3114	0.6886	0.7626
0.21	0.9282	0.3131	0.6869	0.7583
0.22	0.9796	0.3147	0.6853	0.7542
0.23	1.032	0.3163	0.6837	0.7505
0.24	1.073	0.3156	0.6844	0.7469
0.25	1.127	0.3173	0.6827	0.7433
0.26	1.18	0.3188	0.6812	0.7397
0.27	1.233	0.3201	0.6799	0.7362
0.28	1.298	0.3234	0.6766	0.7325
0.29	1.362	0.3263	0.6737	0.729
0.3	1.426	0.3289	0.6711	0.7257
0.31	1.503	0.3333	0.6667	0.7221
0.32	1.573	0.3363	0.6637	0.7187
0.33	1.642	0.3391	0.6609	0.7157
0.34	1.73	0.3442	0.6558	0.7123
0.35	1.812	0.3481	0.6519	0.709
0.36	1.899	0.3523	0.6477	0.7059
0.37	1.99	0.3567	0.6433	0.7028
0.38	2.075	0.3603	0.6397	0.6996
0.39	2.171	0.3647	0.6353	0.6965
0.4	2.275	0.3697	0.6303	0.6932
0.41	2.387	0.3752	0.6248	0.6898
0.42	2.501	0.3804	0.6196	0.6867
0.43	2.621	0.386	0.614	0.6834
0.44	2.746	0.3916	0.6084	0.6799
0.45	2.868	0.3966	0.6034	0.6766
0.46	2.993	0.4016	0.5984	0.6737
0.47	3.138	0.4078	0.5922	0.6706
0.48	3.282	0.4135	0.5865	0.6676
0.49	3.418	0.4184	0.5816	0.6648
0.5	3.586	0.4251	0.5749	0.6616
0.51	3.751	0.4313	0.5687	0.6586
0.52	3.943	0.4388	0.5612	0.6553
0.53	4.139	0.4461	0.5539	0.6522
0.54	4.342	0.4533	0.5467	0.6488
0.55	4.561	0.461	0.539	0.6456
0.56	4.833	0.4709	0.5291	0.6421
0.57	5.083	0.479	0.521	0.6388
0.58	5.352	0.4876	0.5124	0.6353
0.59	5.642	0.4965	0.5035	0.6319
0.6	5.941	0.5052	0.4948	0.6287
0.61	6.303	0.5159	0.4841	0.6252
0.62	6.671	0.526	0.474	0.6216
0.63	7.068	0.5364	0.4636	0.618
0.64	7.482	0.5466	0.4534	0.6146
0.65	7.916	0.5567	0.4433	0.6111
0.66	8.474	0.5697	0.4303	0.6071
0.67	9.006	0.5809	0.4191	0.6035
0.68	9.657	0.5942	0.4058	0.5996
0.69	10.33	0.607	0.393	0.5958
0.7	11.1	0.6204	0.3796	0.5919
0.71	11.89	0.6332	0.3668	0.5881
0.72	12.81	0.6473	0.3527	0.584
0.73	13.9	0.6626	0.3374	0.5796
0.74	14.97	0.676	0.324	0.5755
0.75	16.29	0.6914	0.3086	0.5708
0.76	17.55	0.7043	0.2957	0.5666
0.77	19.16	0.7196	0.2804	0.5615
0.78	20.79	0.7333	0.2667	0.5568
0.79	22.59	0.7468	0.2532	0.552
0.8	24.8	0.7617	0.2383	0.5465
0.81	27.05	0.775	0.225	0.5413
0.82	29.54	0.7879	0.2121	0.5358
0.83	32.26	0.8003	0.1997	0.5304
0.84	35.52	0.8135	0.1865	0.5243
0.85	39.23	0.8263	0.1737	0.5179
0.86	43.25	0.8383	0.1617	0.5115
0.87	47.8	0.85	0.15	0.5048
0.88	52.76	0.8608	0.1392	0.4983
0.89	58.81	0.872	0.128	0.491
0.9	66.29	0.8837	0.1163	0.483
0.91	74.97	0.8947	0.1053	0.4748
0.92	86.73	0.9067	0.09327	0.4653
0.93	101.2	0.9181	0.08186	0.4554
0.94	120.2	0.9295	0.07049	0.4447
0.95	151.9	0.9428	0.05717	0.4309
0.96	203	0.9561	0.04386	0.4151
0.97	297.2	0.9693	0.03068	0.3961
0.98	521.6	0.9821	0.01789	0.3703
0.99	1737	0.9945	0.005497	0.3204
1	1.12e+04	0.9991	0.0008651	0.04151
SEPQ0.1=0.0215 SEPQ1=0.2236 SEPQ10=0.6851 S1FP=0.3601 N1FP=39147 area=23.5
