tpr	epq	fpr	precision	score
0.01	0.03514	0.2659	0.7341	1.63e-45
0.02	0.07609	0.2817	0.7183	1.64e-34
0.03	0.1173	0.2873	0.7127	7.28e-29
0.04	0.1624	0.2951	0.7049	1.7e-24
0.05	0.2052	0.2974	0.7026	3.43e-21
0.06	0.2497	0.3002	0.6998	1.19e-18
0.07	0.2955	0.3033	0.6967	2.66e-16
0.08	0.3325	0.3	0.7	1.65e-14
0.09	0.3744	0.3002	0.6998	6.93e-13
0.1	0.4137	0.299	0.701	1.58e-11
0.11	0.4521	0.2976	0.7024	2.19e-10
0.12	0.4856	0.2944	0.7056	2.16e-09
0.13	0.525	0.294	0.706	1.61e-08
0.14	0.5618	0.2927	0.7073	9.79e-08
0.15	0.5974	0.2911	0.7089	4.95e-07
0.16	0.6342	0.2901	0.7099	2.13e-06
0.17	0.6691	0.2887	0.7113	8.38e-06
0.18	0.7063	0.2881	0.7119	2.66e-05
0.19	0.7463	0.2883	0.7117	8.87e-05
0.2	0.7851	0.2882	0.7118	0.000242
0.21	0.8249	0.2883	0.7117	0.00065
0.22	0.8654	0.2886	0.7114	0.002
0.23	0.9207	0.2922	0.7078	0.004
0.24	0.9823	0.2968	0.7032	0.01
0.25	1.05	0.3022	0.6978	0.02
0.26	1.132	0.3098	0.6902	0.041
0.27	1.249	0.3229	0.6771	0.082
0.28	1.411	0.342	0.658	0.16
0.29	1.632	0.3672	0.6328	0.3
0.3	1.978	0.4047	0.5953	0.55
0.31	2.494	0.4535	0.5465	0.99
0.32	3.331	0.5177	0.4823	1.8
0.33	4.679	0.5939	0.4061	3.3
0.34	6.484	0.6629	0.3371	5.6
0.35	9.322	0.7331	0.2669	9.7
0.36	9.543	0.7373	0.2627	10
SEPQ0.1=0.0260 SEPQ1=0.2427 SEPQ10=0.3507 S1FP=0.1736 N1FP=18869 area=6.66
