tpr	epq	fpr	precision	score
0.01	0.04513	0.3174	0.6826	38.7
0.02	0.1025	0.3457	0.6543	34.4
0.03	0.1653	0.3623	0.6377	32.3
0.04	0.2256	0.3677	0.6323	30.6
0.05	0.2906	0.3747	0.6253	29
0.06	0.3635	0.3845	0.6155	27.6
0.07	0.4356	0.3909	0.6091	26.3
0.08	0.5307	0.4062	0.5938	25
0.09	0.615	0.4134	0.5866	24.1
0.1	0.7019	0.4199	0.5801	23.2
0.11	0.7952	0.4271	0.5729	22.4
0.12	0.8907	0.4336	0.5664	21.6
0.13	0.9866	0.439	0.561	20.9
0.14	1.096	0.4467	0.5533	20.1
0.15	1.223	0.4567	0.5433	19.4
0.16	1.353	0.4658	0.5342	18.8
0.17	1.463	0.4702	0.5298	18.3
0.18	1.579	0.475	0.525	17.8
0.19	1.697	0.4795	0.5205	17.4
0.2	1.829	0.4853	0.5147	17
0.21	1.966	0.4912	0.5088	16.6
0.22	2.113	0.4976	0.5024	16.2
0.23	2.258	0.5031	0.4969	15.9
0.24	2.404	0.5081	0.4919	15.6
0.25	2.564	0.514	0.486	15.3
0.26	2.745	0.5213	0.4787	14.9
0.27	2.94	0.529	0.471	14.6
0.28	3.131	0.5355	0.4645	14.4
0.29	3.356	0.544	0.456	14.1
0.3	3.55	0.5496	0.4504	13.9
0.31	3.783	0.5572	0.4428	13.6
0.32	4.007	0.5636	0.4364	13.4
0.33	4.256	0.5708	0.4292	13.2
0.34	4.489	0.5765	0.4235	13
0.35	4.742	0.5829	0.4171	12.8
0.36	4.991	0.5884	0.4116	12.6
0.37	5.269	0.5949	0.4051	12.4
0.38	5.528	0.6	0.4	12.3
0.39	5.837	0.6068	0.3932	12.1
0.4	6.117	0.6119	0.3881	11.9
0.41	6.418	0.6175	0.3825	11.7
0.42	6.725	0.6228	0.3772	11.6
0.43	7.047	0.6283	0.3717	11.4
0.44	7.335	0.6322	0.3678	11.3
0.45	7.695	0.6381	0.3619	11.1
0.46	8.011	0.6423	0.3577	11
0.47	8.371	0.6475	0.3525	10.9
0.48	8.744	0.6526	0.3474	10.7
0.49	9.058	0.6559	0.3441	10.6
0.5	9.455	0.661	0.339	10.5
0.51	9.867	0.6661	0.3339	10.3
0.52	10.24	0.6701	0.3299	10.2
0.53	10.62	0.6739	0.3261	10.1
0.54	11.04	0.6783	0.3217	9.9
0.55	11.42	0.6816	0.3184	9.8
0.56	11.77	0.6844	0.3156	9.7
0.57	12.24	0.6888	0.3112	9.6
0.58	12.65	0.6922	0.3078	9.4
0.59	13.14	0.6967	0.3033	9.3
0.6	13.6	0.7003	0.2997	9.2
0.61	14.11	0.7046	0.2954	9.1
0.62	14.67	0.7093	0.2907	8.9
0.63	15.21	0.7134	0.2866	8.8
0.64	15.7	0.7167	0.2833	8.7
0.65	16.27	0.7208	0.2792	8.6
0.66	16.96	0.726	0.274	8.4
0.67	17.68	0.7313	0.2687	8.3
0.68	18.35	0.7356	0.2644	8.2
0.69	19.18	0.7414	0.2586	8
0.7	20.06	0.7472	0.2528	7.9
0.71	21	0.7531	0.2469	7.8
0.72	22.1	0.7599	0.2401	7.6
0.73	23.2	0.7662	0.2338	7.5
0.74	24.46	0.7732	0.2268	7.3
0.75	25.88	0.7806	0.2194	7.2
0.76	27.44	0.7883	0.2117	7
0.77	29.31	0.797	0.203	6.8
0.78	31.35	0.8056	0.1944	6.7
0.79	33.74	0.815	0.185	6.5
0.8	36.53	0.8248	0.1752	6.3
0.81	39.63	0.8346	0.1654	6.1
0.82	43.17	0.8444	0.1556	5.9
0.83	47.42	0.8549	0.1451	5.7
0.84	52.09	0.8648	0.1352	5.5
0.85	58.28	0.8761	0.1239	5.3
0.86	66.4	0.8884	0.1116	5
0.87	75.84	0.8999	0.1001	4.8
0.88	88.55	0.9121	0.0879	4.5
0.89	104	0.9234	0.07664	4.2
0.9	125.6	0.935	0.06498	3.9
0.91	156.9	0.9468	0.05325	3.5
0.92	202	0.9577	0.0423	3.1
0.93	297.5	0.9706	0.02942	2.5
0.94	408.1	0.9783	0.02173	2
SEPQ0.1=0.0197 SEPQ1=0.1313 SEPQ10=0.5134 S1FP=0.3496 N1FP=38011 area=13.3
