tpr	epq	fpr	precision	score
0.01	0.03657	0.2737	0.7263	9.47e-11
0.02	0.08402	0.3022	0.6978	1.62e-09
0.03	0.135	0.317	0.683	8.61e-09
0.04	0.1879	0.3263	0.6737	3.96e-08
0.05	0.2403	0.3314	0.6686	1.37e-07
0.06	0.2879	0.331	0.669	3.76e-07
0.07	0.3355	0.3307	0.6693	9.12e-07
0.08	0.3786	0.3279	0.6721	2.11e-06
0.09	0.4218	0.3258	0.6742	4.6e-06
0.1	0.4664	0.3248	0.6752	8.98e-06
0.11	0.5118	0.3242	0.6758	1.72e-05
0.12	0.5529	0.3221	0.6779	3.11e-05
0.13	0.5993	0.3222	0.6778	5.35e-05
0.14	0.6411	0.3207	0.6793	8.51e-05
0.15	0.6828	0.3195	0.6805	0.000129
0.16	0.7346	0.3213	0.6787	0.000192
0.17	0.7809	0.3214	0.6786	0.000274
0.18	0.8363	0.3239	0.6761	0.00039
0.19	0.8939	0.3267	0.6733	0.000543
0.2	0.9523	0.3293	0.6707	0.000748
0.21	1.014	0.3325	0.6675	0.001
0.22	1.082	0.3365	0.6635	0.0013
0.23	1.156	0.3414	0.6586	0.0018
0.24	1.229	0.3455	0.6545	0.0023
0.25	1.299	0.3488	0.6512	0.003
0.26	1.362	0.3508	0.6492	0.0036
0.27	1.435	0.3541	0.6459	0.0045
0.28	1.513	0.3579	0.6421	0.0056
0.29	1.591	0.3614	0.6386	0.0068
0.3	1.672	0.365	0.635	0.0082
0.31	1.756	0.3687	0.6313	0.0098
0.32	1.841	0.3723	0.6277	0.0117
0.33	1.924	0.3754	0.6246	0.0139
0.34	2.021	0.38	0.62	0.0167
0.35	2.11	0.3834	0.6166	0.0196
0.36	2.208	0.3875	0.6125	0.0231
0.37	2.318	0.3924	0.6076	0.0274
0.38	2.422	0.3966	0.6034	0.0319
0.39	2.526	0.4005	0.5995	0.0371
0.4	2.653	0.4062	0.5938	0.0436
0.41	2.766	0.4103	0.5897	0.0508
0.42	2.887	0.4148	0.5852	0.0592
0.43	3.023	0.4203	0.5797	0.0687
0.44	3.175	0.4267	0.5733	0.0803
0.45	3.316	0.4318	0.5682	0.0927
0.46	3.459	0.4368	0.5632	0.1069
0.47	3.626	0.443	0.557	0.1251
0.48	3.795	0.4491	0.5509	0.1452
0.49	3.969	0.4551	0.5449	0.1682
0.5	4.143	0.4607	0.5393	0.1955
0.51	4.329	0.4667	0.5333	0.2283
0.52	4.548	0.4742	0.5258	0.2695
0.53	4.752	0.4804	0.5196	0.3132
0.54	4.986	0.4877	0.5123	0.3681
0.55	5.21	0.4941	0.5059	0.4301
0.56	5.462	0.5014	0.4986	0.5095
0.57	5.758	0.5102	0.4898	0.6134
0.58	6.046	0.5181	0.4819	0.7314
0.59	6.388	0.5275	0.4725	0.8855
0.6	6.744	0.5368	0.4632	1.1
0.61	7.192	0.5487	0.4513	1.3
0.62	7.75	0.5631	0.4369	1.7
0.63	8.492	0.5816	0.4184	2.2
0.64	9.312	0.6001	0.3999	2.9
0.65	10.49	0.6247	0.3753	4
0.66	12.24	0.6567	0.3433	5.8
0.67	15.6	0.7059	0.2941	9.7
0.68	15.81	0.7087	0.2913	10
SEPQ0.1=0.0233 SEPQ1=0.2075 SEPQ10=0.6463 S1FP=0.2464 N1FP=26784 area=20.8
