tpr	epq	fpr	precision	score
0.01	0.03657	0.2737	0.7263	9.47e-11
0.02	0.08402	0.3022	0.6978	1.62e-09
0.03	0.135	0.317	0.683	8.61e-09
0.04	0.1879	0.3263	0.6737	3.96e-08
0.05	0.2403	0.3314	0.6686	1.37e-07
0.06	0.2879	0.331	0.669	3.76e-07
0.07	0.3355	0.3307	0.6693	9.12e-07
0.08	0.3786	0.3279	0.6721	2.11e-06
0.09	0.4218	0.3258	0.6742	4.6e-06
0.1	0.4664	0.3248	0.6752	8.98e-06
0.11	0.5118	0.3242	0.6758	1.72e-05
0.12	0.5529	0.3221	0.6779	3.11e-05
0.13	0.5993	0.3222	0.6778	5.35e-05
0.14	0.6411	0.3207	0.6793	8.51e-05
0.15	0.6828	0.3195	0.6805	0.000129
0.16	0.7345	0.3213	0.6787	0.000192
0.17	0.7808	0.3214	0.6786	0.000274
0.18	0.8362	0.3239	0.6761	0.000389
0.19	0.8922	0.3262	0.6738	0.000537
0.2	0.9523	0.3293	0.6707	0.000745
0.21	1.014	0.3324	0.6676	0.001
0.22	1.079	0.3359	0.6641	0.0013
0.23	1.155	0.3412	0.6588	0.0018
0.24	1.227	0.3453	0.6547	0.0023
0.25	1.295	0.3481	0.6519	0.0029
0.26	1.357	0.3499	0.6501	0.0036
0.27	1.43	0.3533	0.6467	0.0044
0.28	1.506	0.3568	0.6432	0.0054
0.29	1.581	0.3598	0.6402	0.0065
0.3	1.661	0.3634	0.6366	0.0078
0.31	1.741	0.3667	0.6333	0.0093
0.32	1.821	0.3698	0.6302	0.011
0.33	1.897	0.3722	0.6278	0.013
0.34	1.987	0.3761	0.6239	0.0153
0.35	2.073	0.3792	0.6208	0.018
0.36	2.165	0.3828	0.6172	0.0209
0.37	2.267	0.3872	0.6128	0.0246
0.38	2.356	0.39	0.61	0.0282
0.39	2.457	0.3938	0.6062	0.0324
0.4	2.549	0.3965	0.6035	0.0369
0.41	2.661	0.4009	0.5991	0.0425
0.42	2.765	0.4043	0.5957	0.0485
0.43	2.879	0.4084	0.5916	0.0553
0.44	2.994	0.4124	0.5876	0.0633
0.45	3.128	0.4175	0.5825	0.072
0.46	3.261	0.4223	0.5777	0.0822
0.47	3.394	0.4268	0.5732	0.093
0.48	3.523	0.4308	0.5692	0.1048
0.49	3.661	0.4352	0.5648	0.1186
0.5	3.816	0.4404	0.5596	0.1347
0.51	3.974	0.4456	0.5544	0.1521
0.52	4.132	0.4504	0.5496	0.1719
0.53	4.286	0.4547	0.5453	0.1933
0.54	4.459	0.4599	0.5401	0.2191
0.55	4.654	0.466	0.534	0.2492
0.56	4.847	0.4716	0.5284	0.2816
0.57	5.038	0.4768	0.5232	0.3161
0.58	5.257	0.4831	0.5169	0.3597
0.59	5.468	0.4887	0.5113	0.4052
0.6	5.689	0.4944	0.5056	0.4562
0.61	5.927	0.5005	0.4995	0.5175
0.62	6.19	0.5073	0.4927	0.591
0.63	6.461	0.514	0.486	0.6695
0.64	6.765	0.5216	0.4784	0.7637
0.65	7.087	0.5293	0.4707	0.8738
0.66	7.437	0.5375	0.4625	0.9963
0.67	7.777	0.5448	0.4552	1.1
0.68	8.267	0.5563	0.4437	1.3
0.69	8.793	0.5679	0.4321	1.5
0.7	9.393	0.5805	0.4195	1.8
0.71	10.08	0.5942	0.4058	2.1
0.72	10.84	0.6083	0.3917	2.5
0.73	11.76	0.6242	0.3758	2.9
0.74	12.91	0.6427	0.3573	3.5
0.75	14.36	0.6637	0.3363	4.2
0.76	16.35	0.6892	0.3108	5.2
0.77	18.86	0.7164	0.2836	6.5
0.78	22.35	0.7471	0.2529	8.3
0.79	26.02	0.7732	0.2268	10
SEPQ0.1=0.0233 SEPQ1=0.2076 SEPQ10=0.7087 S1FP=0.3001 N1FP=32622 area=24.9
