tpr	epq	fpr	precision	score
0.01	0.03604	0.2708	0.7292	8.75e-11
0.02	0.08385	0.3018	0.6982	1.54e-09
0.03	0.134	0.3153	0.6847	8.04e-09
0.04	0.1876	0.3259	0.6741	3.8e-08
0.05	0.2412	0.3322	0.6678	1.3e-07
0.06	0.2892	0.332	0.668	3.6e-07
0.07	0.335	0.3304	0.6696	8.6e-07
0.08	0.3786	0.328	0.672	2e-06
0.09	0.4232	0.3266	0.6734	4.48e-06
0.1	0.4667	0.3249	0.6751	8.6e-06
0.11	0.5125	0.3245	0.6755	1.64e-05
0.12	0.5542	0.3226	0.6774	2.98e-05
0.13	0.5998	0.3224	0.6776	5.09e-05
0.14	0.641	0.3207	0.6793	8.07e-05
0.15	0.6837	0.3197	0.6803	0.000122
0.16	0.7357	0.3216	0.6784	0.000185
0.17	0.7822	0.3218	0.6782	0.000261
0.18	0.8369	0.3241	0.6759	0.000373
0.19	0.8902	0.3257	0.6743	0.000511
0.2	0.9498	0.3287	0.6713	0.000714
0.21	1.013	0.3322	0.6678	0.000969
0.22	1.078	0.3357	0.6643	0.0013
0.23	1.152	0.3405	0.6595	0.0017
0.24	1.227	0.3452	0.6548	0.0022
0.25	1.295	0.3482	0.6518	0.0028
0.26	1.358	0.3501	0.6499	0.0035
0.27	1.434	0.3539	0.6461	0.0044
0.28	1.512	0.3576	0.6424	0.0054
0.29	1.594	0.3617	0.6383	0.0067
0.3	1.673	0.3651	0.6349	0.008
0.31	1.761	0.3694	0.6306	0.0097
0.32	1.844	0.3728	0.6272	0.0116
0.33	1.93	0.3762	0.6238	0.0138
0.34	2.028	0.3808	0.6192	0.0167
0.35	2.121	0.3846	0.6154	0.0197
0.36	2.221	0.3888	0.6112	0.0233
0.37	2.331	0.3938	0.6062	0.0278
0.38	2.44	0.3983	0.6017	0.0325
0.39	2.548	0.4025	0.5975	0.038
0.4	2.676	0.4082	0.5918	0.045
0.41	2.793	0.4126	0.5874	0.0525
0.42	2.917	0.4173	0.5827	0.0614
0.43	3.059	0.4232	0.5768	0.0718
0.44	3.204	0.4288	0.5712	0.0841
0.45	3.341	0.4336	0.5664	0.0971
0.46	3.5	0.4397	0.5603	0.1141
0.47	3.662	0.4455	0.5545	0.1332
0.48	3.836	0.4518	0.5482	0.1558
0.49	4.009	0.4576	0.5424	0.1831
0.5	4.184	0.4632	0.5368	0.2149
0.51	4.4	0.4708	0.5292	0.2565
0.52	4.603	0.4772	0.5228	0.302
0.53	4.821	0.484	0.516	0.3576
0.54	5.035	0.4902	0.5098	0.4207
0.55	5.263	0.4966	0.5034	0.5012
0.56	5.552	0.5055	0.4945	0.6135
0.57	5.83	0.5133	0.4867	0.7397
0.58	6.152	0.5224	0.4776	0.9031
0.59	6.494	0.5316	0.4684	1.1
0.6	6.946	0.5442	0.4558	1.4
0.61	7.513	0.5595	0.4405	1.8
0.62	8.272	0.5791	0.4209	2.5
0.63	9.19	0.6007	0.3993	3.4
0.64	10.6	0.6307	0.3693	5
0.65	12.82	0.6705	0.3295	7.7
0.66	14.49	0.6956	0.3044	10
SEPQ0.1=0.0234 SEPQ1=0.2082 SEPQ10=0.6363 S1FP=0.2371 N1FP=25775 area=20.2
