tpr	epq	fpr	precision	score
0.01	0.001516	0.001637	0.9984	68
0.02	0.01151	0.006184	0.9938	50
0.03	0.1815	0.06142	0.9386	41
0.04	1.216	0.2475	0.7525	37
0.05	4.486	0.4925	0.5075	34
0.06	11.12	0.6673	0.3327	32
0.07	21.53	0.7689	0.2311	30
0.08	35.59	0.8279	0.1721	29
0.09	54.2	0.8669	0.1331	28
0.1	75.68	0.8911	0.1089	27
0.11	101.6	0.909	0.09102	27
0.12	129.7	0.9212	0.07879	26
0.13	160.6	0.9304	0.06964	26
0.14	200.6	0.9394	0.06061	25
0.15	237	0.9447	0.05529	25
0.16	276.7	0.9493	0.05074	24
0.17	328	0.9543	0.04573	24
0.18	374.9	0.9575	0.04251	24
0.19	421	0.9599	0.04006	24
0.2	479.4	0.9629	0.03714	23
0.21	534.7	0.965	0.03504	23
0.22	589.7	0.9667	0.03334	23
0.23	666.2	0.9691	0.03093	22
0.24	733.3	0.9706	0.02937	22
0.25	799.3	0.9719	0.02811	22
0.26	870.3	0.9731	0.02688	22
0.27	938.3	0.9741	0.02592	21
0.28	1026	0.9754	0.02461	21
0.29	1106	0.9763	0.02367	21
0.3	1193	0.9773	0.02273	21
0.31	1282	0.9781	0.02187	20
0.32	1392	0.9792	0.02081	20
0.33	1488	0.9799	0.02009	20
0.34	1584	0.9805	0.01946	20
0.35	1690	0.9812	0.01879	20
0.36	1792	0.9818	0.01823	20
0.37	1896	0.9823	0.01772	19
0.38	2032	0.983	0.017	19
0.39	2145	0.9835	0.01653	19
0.4	2257	0.9839	0.01612	19
0.41	2387	0.9844	0.01563	19
0.42	2514	0.9848	0.01521	19
0.43	2630	0.9851	0.01489	19
0.44	2768	0.9855	0.01448	18
0.45	2907	0.9859	0.01411	18
0.46	3047	0.9862	0.01377	18
0.47	3196	0.9866	0.01342	18
0.48	3327	0.9868	0.01317	18
0.49	3496	0.9872	0.01279	17
0.5	3647	0.9875	0.01252	17
0.51	3786	0.9877	0.0123	17
0.52	3942	0.988	0.01205	17
0.53	4107	0.9882	0.01179	17
0.54	4255	0.9884	0.0116	17
0.55	4396	0.9886	0.01144	17
0.56	4562	0.9888	0.01122	16
0.57	4726	0.989	0.01103	16
0.58	4852	0.9891	0.01093	16
0.59	4995	0.9892	0.0108	16
0.6	5157	0.9894	0.01064	16
0.61	5322	0.9895	0.01049	16
0.62	5464	0.9896	0.01038	16
0.63	5594	0.9897	0.0103	16
0.64	5752	0.9898	0.01018	15
0.65	5870	0.9899	0.01013	15
0.66	6000	0.9899	0.01007	15
0.67	6133	0.99	0.01	15
0.68	6252	0.99	0.009956	15
0.69	6370	0.9901	0.009916	14
0.7	6457	0.9901	0.009924	14
0.71	6553	0.9901	0.009918	14
0.72	6658	0.9901	0.009899	14
0.73	6748	0.9901	0.009904	14
0.74	6836	0.9901	0.009909	13
0.75	6924	0.9901	0.009884	10
SEPQ0.1=0.0276 SEPQ1=0.0387 SEPQ10=0.0586 S1FP=0.0381 N1FP=39445 area=0.14
