tpr	epq	score
0.01	0.0001784	6.81
0.02	0.007671	6.47
0.03	0.02506	6.11
0.04	0.05298	5.86
0.05	0.09027	5.73
0.06	0.148	5.6
0.07	0.242	5.46
0.08	0.38	5.46
0.09	0.5829	5.33
0.1	0.8755	5.19
0.11	1.13	5.19
0.12	1.525	5.04
0.13	1.969	5.04
0.14	2.466	5.04
0.15	3.142	4.89
0.16	3.827	4.89
0.17	4.737	4.74
0.18	5.867	4.74
0.19	6.949	4.74
0.2	8.386	4.58
0.21	10.05	4.58
0.22	11.68	4.58
0.23	13.51	4.42
0.24	15.96	4.42
0.25	18.07	4.42
0.26	20.17	4.42
0.27	22.38	4.42
0.28	25.2	4.25
0.29	28.61	4.25
0.3	31.3	4.25
0.31	34.15	4.25
0.32	37.17	4.25
0.33	40.42	4.07
0.34	45.36	4.07
0.35	49.08	4.07
0.36	53	4.07
0.37	57.49	4.07
0.38	61.68	4.07
0.39	65.33	4.07
0.4	70.74	3.89
0.41	77.72	3.89
0.42	82.97	3.89
0.43	88.58	3.89
0.44	93.94	3.89
0.45	100.5	3.89
0.46	106.2	3.89
0.47	111.5	3.89
0.48	120.7	3.7
0.49	132.2	3.7
0.5	142.4	3.7
0.51	150.7	3.7
0.52	159.2	3.7
0.53	170.4	3.7
0.54	181.6	3.7
0.55	191.1	3.7
0.56	199.3	3.7
0.57	212.2	3.5
0.58	231.7	3.5
0.59	248.5	3.5
0.6	263.8	3.5
0.61	279.5	3.5
0.62	297.8	3.5
0.63	316.9	3.5
0.64	332	3.5
0.65	346.5	3.5
0.66	376.2	3.29
0.67	410.7	3.29
0.68	438.1	3.29
0.69	466.2	3.29
0.7	499.1	3.29
0.71	532.2	3.29
0.72	558.6	3.29
0.73	593	3.07
0.74	652.4	3.07
0.75	703.2	3.07
0.76	752.4	3.07
0.77	810.6	3.07
0.78	864.8	3.07
0.79	910.6	3.07
0.8	987.6	2.83
0.81	1086	2.83
0.82	1172	2.83
0.83	1263	2.83
0.84	1357	2.83
0.85	1437	2.83
0.86	1601	2.58
0.87	1781	2.58
0.88	1947	2.58
0.89	2123	2.58
0.9	2268	2.58
0.91	2539	2.3
0.92	2865	2.3
0.93	3190	2.3
0.94	3470	2.3
