tpr	epq	score
0.01	0	0.8431
0.02	0.0007136	0.796
0.03	0.002141	0.7638
0.04	0.005887	0.7397
0.05	0.0107	0.7197
0.06	0.01784	0.703
0.07	0.02979	0.6878
0.08	0.04531	0.6739
0.09	0.06743	0.6622
0.1	0.09598	0.6514
0.11	0.1308	0.6417
0.12	0.178	0.6327
0.13	0.2325	0.6249
0.14	0.2865	0.6176
0.15	0.3491	0.6111
0.16	0.4378	0.605
0.17	0.5307	0.5996
0.18	0.6355	0.5946
0.19	0.7484	0.59
0.2	0.878	0.5857
0.21	1.024	0.5815
0.22	1.181	0.5777
0.23	1.358	0.5738
0.24	1.538	0.5703
0.25	1.732	0.5668
0.26	1.945	0.5634
0.27	2.178	0.56
0.28	2.426	0.5569
0.29	2.689	0.5539
0.3	2.973	0.5509
0.31	3.301	0.5479
0.32	3.644	0.545
0.33	4.029	0.5421
0.34	4.422	0.5392
0.35	4.838	0.5364
0.36	5.283	0.5337
0.37	5.784	0.531
0.38	6.305	0.5283
0.39	6.872	0.5256
0.4	7.49	0.5229
0.41	8.136	0.5202
0.42	8.812	0.5176
0.43	9.559	0.5149
0.44	10.38	0.5123
0.45	11.23	0.5097
0.46	12.15	0.507
0.47	13.13	0.5043
0.48	14.18	0.5018
0.49	15.3	0.4991
0.5	16.53	0.4965
0.51	17.84	0.4938
0.52	19.26	0.4911
0.53	20.75	0.4884
0.54	22.4	0.4857
0.55	24.2	0.4829
0.56	26.06	0.4802
0.57	28.11	0.4775
0.58	30.35	0.4746
0.59	32.74	0.4718
0.6	35.34	0.4689
0.61	38.18	0.4661
0.62	41.19	0.4632
0.63	44.51	0.4602
0.64	48.06	0.4572
0.65	51.98	0.4542
0.66	56.2	0.4512
0.67	60.82	0.4481
0.68	65.82	0.445
0.69	71.45	0.4418
0.7	77.65	0.4386
0.71	84.25	0.4354
0.72	91.67	0.432
0.73	100.1	0.4286
0.74	109.4	0.4251
0.75	119.6	0.4216
0.76	131.1	0.418
0.77	143.9	0.4144
0.78	158.5	0.4106
0.79	175.1	0.4068
0.8	194.2	0.4028
0.81	215.8	0.3987
0.82	240.3	0.3946
0.83	269	0.3902
0.84	302.8	0.3856
0.85	341.7	0.381
0.86	388.5	0.376
0.87	442.5	0.371
0.88	510	0.3656
0.89	591.7	0.3598
0.9	692.5	0.3538
0.91	819.4	0.3473
0.92	988.7	0.3401
0.93	1205	0.3325
0.94	1504	0.3241
0.95	1943	0.3144
0.96	2606	0.303
0.97	3619	0.2898
0.98	5233	0.2734
0.99	7670	0.2511
1	1.112e+04	0.04151
epq	tpr	score
0.01008	0.04965	0.7203
0.01267	0.05357	0.7134
