tpr	epq	score
0.01	0.004014	0.278
0.02	0.014	0.234
0.03	0.0355	0.206
0.04	0.07118	0.186
0.05	0.1306	0.17
0.06	0.2207	0.157
0.07	0.3612	0.146
0.08	0.5397	0.137
0.09	0.7872	0.129
0.1	1.105	0.123
0.11	1.47	0.117
0.12	1.908	0.113
0.13	2.433	0.108
0.14	3.022	0.104
0.15	3.658	0.101
0.16	4.387	0.098
0.17	5.182	0.095
0.18	6.081	0.092
0.19	7.03	0.09
0.2	8.085	0.088
0.21	9.228	0.085
0.22	10.42	0.083
0.23	11.76	0.081
0.24	13.19	0.08
0.25	14.75	0.078
0.26	16.32	0.076
0.27	18.05	0.075
0.28	19.88	0.073
0.29	21.83	0.072
0.3	23.97	0.07
0.31	26.12	0.069
0.32	28.48	0.067
0.33	30.88	0.066
0.34	33.45	0.065
0.35	36.14	0.064
0.36	38.99	0.062
0.37	42.07	0.061
0.38	45.21	0.06
0.39	48.54	0.059
0.4	52.06	0.058
0.41	55.69	0.057
0.42	59.53	0.056
0.43	63.66	0.055
0.44	68.02	0.054
0.45	72.45	0.053
0.46	77.28	0.052
0.47	82.28	0.051
0.48	87.69	0.05
0.49	93.06	0.049
0.5	98.94	0.048
0.51	105.3	0.047
0.52	112	0.046
0.53	118.9	0.045
0.54	126.5	0.044
0.55	134.2	0.043
0.56	142.5	0.042
0.57	151.5	0.041
0.58	161	0.04
0.59	171.6	0.038
0.6	182.7	0.037
0.61	194.7	0.036
0.62	207.7	0.035
0.63	221.4	0.034
0.64	236	0.033
0.65	253.2	0.031
0.66	272.7	0.03
0.67	293.5	0.028
0.68	316.3	0.027
0.69	343.2	0.025
0.7	374.4	0.022
0.71	413.3	0.02
0.72	456.2	0.016
0.73	518.7	0.008
0.74	537.6	0
epq	tpr	score
0.01008	0.01602	0.25
0.01267	0.01881	0.238
0.01588	0.02128	0.23
0.02007	0.02378	0.222
0.02524	0.02532	0.218
0.03175	0.02829	0.211
0.04005	0.03141	0.203
0.0504	0.03451	0.196
0.06351	0.03793	0.19
0.08001	0.04255	0.181
0.1008	0.04589	0.176
0.127	0.04952	0.17
0.16	0.05403	0.164
0.2016	0.05823	0.159
0.254	0.06288	0.153
0.32	0.06734	0.149
0.4032	0.07333	0.142
0.508	0.07846	0.138
0.6401	0.08445	0.133
0.8064	0.09057	0.129
1.016	0.09709	0.125
1.28	0.1051	0.12
1.613	0.1135	0.116
2.032	0.1225	0.111
2.56	0.1321	0.107
3.225	0.1434	0.103
4.064	0.1554	0.1
5.12	0.1692	0.095
6.451	0.1842	0.091
8.128	0.2004	0.087
537.6	0.74	0
precision	recall	score
0.9957	0.01	0.278
0.9925	0.02	0.234
0.9874	0.03	0.206
0.9811	0.04	0.186
0.9725	0.05	0.17
0.9617	0.06	0.157
0.9471	0.07	0.146
0.932	0.08	0.137
0.9136	0.09	0.129
0.8932	0.1	0.123
0.8737	0.11	0.117
0.8533	0.12	0.113
0.8316	0.13	0.108
0.8107	0.14	0.104
0.7913	0.15	0.101
0.7713	0.16	0.098
0.752	0.17	0.095
0.7324	0.18	0.092
0.7142	0.19	0.09
0.6958	0.2	0.088
0.6778	0.21	0.085
0.6613	0.22	0.083
0.6439	0.23	0.081
0.6272	0.24	0.08
0.6104	0.25	0.078
0.5956	0.26	0.076
0.5803	0.27	0.075
0.5656	0.28	0.073
0.5512	0.29	0.072
0.5364	0.3	0.07
0.5232	0.31	0.069
0.5095	0.32	0.067
0.497	0.33	0.066
0.4845	0.34	0.065
0.4724	0.35	0.064
0.4605	0.36	0.062
0.4485	0.37	0.061
0.4373	0.38	0.06
0.4262	0.39	0.059
0.4153	0.4	0.058
0.405	0.41	0.057
0.3948	0.42	0.056
0.3844	0.43	0.055
0.3743	0.44	0.054
0.3648	0.45	0.053
0.355	0.46	0.052
0.3456	0.47	0.051
0.336	0.48	0.05
0.3274	0.49	0.049
0.3185	0.5	0.048
0.3093	0.51	0.047
0.3004	0.52	0.046
0.2919	0.53	0.045
0.283	0.54	0.044
0.2748	0.55	0.043
0.2666	0.56	0.042
0.2581	0.57	0.041
0.2499	0.58	0.04
0.2413	0.59	0.038
0.233	0.6	0.037
0.2246	0.61	0.036
0.2163	0.62	0.035
0.2083	0.63	0.034
0.2005	0.64	0.033
0.1918	0.65	0.031
0.1828	0.66	0.03
0.1743	0.67	0.028
0.1658	0.68	0.027
0.1568	0.69	0.025
0.1474	0.7	0.022
0.1371	0.71	0.02
0.1273	0.72	0.016
0.1151	0.73	0.008
0.1119	0.7326	0
SEPQ0.1=0.0458 SEPQ1=0.0967 SEPQ10=0.2166 S1FP=0.1174 N1FP=121730 area=2.37
