tpr	epq	score
0.01	1.568	0.4093
0.02	5.371	0.4309
0.03	10.6	0.4444
0.04	16.77	0.4545
0.05	24.48	0.4634
0.06	33.29	0.4711
0.07	43.3	0.478
0.08	54.59	0.4844
0.09	67.39	0.4905
0.1	81.53	0.4963
0.11	97.38	0.5019
0.12	114.9	0.5075
0.13	132.9	0.5125
0.14	152.8	0.5175
0.15	174.2	0.5224
0.16	197.6	0.5273
0.17	223	0.5321
0.18	250.9	0.537
0.19	279.8	0.5417
0.2	310.5	0.5463
0.21	343	0.5509
0.22	377.5	0.5556
0.23	413.9	0.5599
0.24	451.3	0.5643
0.25	491	0.5686
0.26	533	0.5729
0.27	577.8	0.5773
0.28	624.1	0.5816
0.29	671.3	0.5858
0.3	721.4	0.59
0.31	772.9	0.594
0.32	826.5	0.5981
0.33	883.4	0.6022
0.34	939.9	0.6061
0.35	999.5	0.61
0.36	1061	0.6139
0.37	1122	0.6176
0.38	1186	0.6213
0.39	1252	0.625
0.4	1319	0.6286
0.41	1390	0.6322
0.42	1461	0.6358
0.43	1535	0.6393
0.44	1611	0.6429
0.45	1688	0.6463
0.46	1766	0.6497
0.47	1847	0.6531
0.48	1926	0.6562
0.49	2008	0.6596
0.5	2093	0.6628
0.51	2185	0.6667
0.52	2262	0.669
0.53	2353	0.6722
0.54	2445	0.6754
0.55	2535	0.6784
0.56	2629	0.6815
0.57	2725	0.6846
0.58	2818	0.6875
0.59	2913	0.6904
0.6	3011	0.6933
0.61	3109	0.6962
0.62	3206	0.699
0.63	3307	0.7019
0.64	3410	0.7048
0.65	3515	0.7076
0.66	3622	0.7105
0.67	3727	0.7133
0.68	3840	0.7163
0.69	3956	0.7193
0.7	4070	0.7222
0.71	4188	0.7252
0.72	4306	0.7282
0.73	4427	0.7312
0.74	4546	0.7341
0.75	4673	0.7372
0.76	4800	0.7403
0.77	4928	0.7434
0.78	5066	0.7467
0.79	5206	0.75
0.8	5349	0.7534
0.81	5495	0.7568
0.82	5644	0.7604
0.83	5800	0.764
0.84	5958	0.7677
0.85	6126	0.7717
0.86	6304	0.776
0.87	6485	0.7803
0.88	6675	0.7849
0.89	6877	0.7899
0.9	7087	0.7951
0.91	7317	0.8009
0.92	7557	0.8072
0.93	7818	0.8142
0.94	8099	0.822
0.95	8422	0.8316
0.96	8794	0.8433
0.97	9225	0.8585
0.98	9783	0.8818
0.99	1.062e+04	0.9326
1	1.112e+04	1
epq	tpr	score
0.01008	0.0008085	0.3396
0.01267	0.0009281	0.3431
0.01588	0.001042	0.3454
0.02007	0.001185	0.3487
0.02524	0.001329	0.3518
0.03175	0.001442	0.3538
0.04005	0.001611	0.3572
0.0504	0.001796	0.3598
0.06351	0.002044	0.3628
0.08001	0.002254	0.3659
0.1008	0.002576	0.3698
0.127	0.002794	0.3724
0.16	0.003166	0.3757
0.2016	0.003481	0.3787
0.254	0.003894	0.3821
0.32	0.004301	0.3852
0.4032	0.004872	0.3885
0.508	0.00546	0.3919
0.6401	0.00619	0.3955
0.8064	0.00701	0.399
1.016	0.007963	0.4025
1.28	0.009026	0.4062
1.613	0.01018	0.4098
2.032	0.01149	0.4135
2.56	0.01309	0.4175
3.225	0.01492	0.4216
4.064	0.01691	0.4257
5.12	0.01948	0.43
6.451	0.02238	0.4344
8.128	0.02572	0.439
1.112e+04	1	1
precision	recall	score
0.371	0.01	0.4093
0.2561	0.02	0.4309
0.2073	0.03	0.4444
0.1807	0.04	0.4545
0.1588	0.05	0.4634
0.1428	0.06	0.4711
0.13	0.07	0.478
0.1193	0.08	0.4844
0.1099	0.09	0.4905
0.1019	0.1	0.4963
0.09456	0.11	0.5019
0.08806	0.12	0.5075
0.08295	0.13	0.5125
0.07811	0.14	0.5175
0.07376	0.15	0.5224
0.06965	0.16	0.5273
0.06584	0.17	0.5321
0.06221	0.18	0.537
0.05908	0.19	0.5417
0.05621	0.2	0.5463
0.05358	0.21	0.5509
0.05113	0.22	0.5556
0.04887	0.23	0.5599
0.04686	0.24	0.5643
0.04496	0.25	0.5686
0.04316	0.26	0.5729
0.04141	0.27	0.5773
0.03983	0.28	0.5816
0.03841	0.29	0.5858
0.03702	0.3	0.59
0.03576	0.31	0.594
0.03456	0.32	0.5981
0.03338	0.33	0.6022
0.03236	0.34	0.6061
0.03136	0.35	0.61
0.03042	0.36	0.6139
0.02957	0.37	0.6176
0.02877	0.38	0.6213
0.028	0.39	0.625
0.02727	0.4	0.6286
0.02655	0.41	0.6322
0.02589	0.42	0.6358
0.02524	0.43	0.6393
0.02463	0.44	0.6429
0.02405	0.45	0.6463
0.02351	0.46	0.6497
0.02299	0.47	0.6531
0.02253	0.48	0.6562
0.02206	0.49	0.6596
0.02161	0.5	0.6628
0.02113	0.51	0.6667
0.02081	0.52	0.669
0.0204	0.53	0.6722
0.02001	0.54	0.6754
0.01967	0.55	0.6784
0.01932	0.56	0.6815
0.01897	0.57	0.6846
0.01867	0.58	0.6875
0.01838	0.59	0.6904
0.01809	0.6	0.6933
0.01782	0.61	0.6962
0.01756	0.62	0.699
0.01731	0.63	0.7019
0.01706	0.64	0.7048
0.01681	0.65	0.7076
0.01657	0.66	0.7105
0.01635	0.67	0.7133
0.01611	0.68	0.7163
0.01587	0.69	0.7193
0.01565	0.7	0.7222
0.01543	0.71	0.7252
0.01523	0.72	0.7282
0.01502	0.73	0.7312
0.01483	0.74	0.7341
0.01462	0.75	0.7372
0.01443	0.76	0.7403
0.01424	0.77	0.7434
0.01404	0.78	0.7467
0.01384	0.79	0.75
0.01364	0.8	0.7534
0.01345	0.81	0.7568
0.01325	0.82	0.7604
0.01306	0.83	0.764
0.01287	0.84	0.7677
0.01267	0.85	0.7717
0.01246	0.86	0.776
0.01225	0.87	0.7803
0.01204	0.88	0.7849
0.01182	0.89	0.7899
0.0116	0.9	0.7951
0.01137	0.91	0.8009
0.01113	0.92	0.8072
0.01088	0.93	0.8142
0.01062	0.94	0.822
0.01032	0.95	0.8316
0.009992	0.96	0.8433
0.009628	0.97	0.8585
0.009177	0.98	0.8818
0.008541	0.99	0.9326
0.008217	0.9963	1
SEPQ0.1=0.0026 SEPQ1=0.0079 SEPQ10=0.0291 S1FP=0.0208 N1FP=21582 area=0.209
