tpr	epq	score
0.01	0	5.38e-07
0.02	0	5.17e-05
0.03	0.0007136	0.00059
0.04	0.001784	0.0029
0.05	0.003568	0.0086
0.06	0.004995	0.0204
0.07	0.008385	0.042
0.08	0.01213	0.0786
0.09	0.0182	0.1368
0.1	0.0314	0.2286
0.11	0.05762	0.3691
0.12	0.1076	0.5913
0.13	0.1889	0.9219
0.14	0.3177	1.4
0.15	0.5243	2.1
0.16	0.8349	3
0.17	1.296	4.2
0.18	1.979	5.8
0.19	2.952	7.9
0.2	4.008	10
epq	tpr	score
0.01008	0.07573	0.0613
0.01267	0.08108	0.0839
0.01588	0.0863	0.1122
0.02007	0.09213	0.1522
0.02524	0.0971	0.1968
0.03175	0.1	0.229
0.04005	0.1036	0.2739
0.0504	0.1078	0.3335
0.06351	0.1115	0.3955
0.08001	0.1152	0.4703
0.1008	0.1187	0.5567
0.127	0.1226	0.6654
0.16	0.1269	0.8037
0.2016	0.1312	0.9733
0.254	0.1355	1.2
0.32	0.1401	1.4
0.4032	0.1445	1.7
0.508	0.1495	2
0.6401	0.1541	2.4
0.8064	0.1592	2.9
1.016	0.1646	3.5
1.28	0.1697	4.2
1.613	0.1751	5
2.032	0.1806	5.9
2.56	0.1866	7.1
3.225	0.1924	8.5
4.008	0.2	10
precision	recall	score
1	0.01	5.38e-07
1	0.02	5.17e-05
0.9997	0.03	0.00059
0.9995	0.04	0.0029
0.9992	0.05	0.0086
0.9991	0.06	0.0204
0.9987	0.07	0.042
0.9984	0.08	0.0786
0.9978	0.09	0.1368
0.9966	0.1	0.2286
0.9944	0.11	0.3691
0.9904	0.12	0.5913
0.9845	0.13	0.9219
0.976	0.14	1.4
0.9636	0.15	2.1
0.9466	0.16	3
0.9238	0.17	4.2
0.8937	0.18	5.8
0.8561	0.19	7.9
0.8204	0.198	10
SEPQ0.1=0.1185 SEPQ1=0.1642 SEPQ10=0.1980 S1FP=0.1001 N1FP=103739 area=3.62
