tpr	epq	fpr	precision	score
0.01	0	0	1	5.1e-07
0.02	0	0	1	4.88e-05
0.03	0.0007136	0.0002572	0.9997	0.000559
0.04	0.001873	0.0005062	0.9995	0.0027
0.05	0.004103	0.0008868	0.9991	0.0079
0.06	0.005352	0.0009638	0.999	0.0186
0.07	0.009098	0.001404	0.9986	0.0368
0.08	0.01356	0.00183	0.9982	0.0659
0.09	0.01837	0.002203	0.9978	0.1076
0.1	0.0289	0.003116	0.9969	0.1677
0.11	0.05049	0.00494	0.9951	0.2509
0.12	0.07885	0.007057	0.9929	0.3605
0.13	0.1259	0.01037	0.9896	0.5024
0.14	0.188	0.01432	0.9857	0.6834
0.15	0.2762	0.01952	0.9805	0.9042
0.16	0.3972	0.02615	0.9739	1.2
0.17	0.5528	0.03398	0.966	1.5
0.18	0.7631	0.04384	0.9562	1.8
0.19	1.034	0.05559	0.9444	2.2
0.2	1.37	0.06896	0.931	2.6
0.21	1.764	0.08327	0.9167	3
0.22	2.262	0.1001	0.8999	3.5
0.23	2.852	0.1182	0.8818	4
0.24	3.542	0.1377	0.8623	4.5
0.25	4.347	0.1583	0.8417	5.1
0.26	5.286	0.1803	0.8197	5.7
0.27	6.372	0.2034	0.7966	6.3
0.28	7.57	0.2263	0.7737	6.9
0.29	8.957	0.2504	0.7496	7.6
0.3	10.49	0.2745	0.7255	8.3
0.31	12.28	0.2999	0.7001	9
0.32	14.29	0.3257	0.6743	9.7
0.33	16.44	0.3502	0.6498	10.5
0.34	18.86	0.3749	0.6251	11.3
0.35	21.57	0.3999	0.6001	12.1
0.36	24.58	0.4248	0.5752	12.9
0.37	27.9	0.4492	0.5508	13.8
0.38	31.58	0.4733	0.5267	14.7
0.39	35.56	0.4965	0.5035	15.6
0.4	39.96	0.5194	0.4806	16.6
0.41	44.91	0.5423	0.4577	17.6
0.42	50.2	0.5638	0.4362	18.7
0.43	56.21	0.5857	0.4143	19.7
0.44	62.84	0.607	0.393	20.9
0.45	69.99	0.6272	0.3728	22
0.46	77.82	0.6466	0.3534	23.3
0.47	86.36	0.6653	0.3347	24.5
0.48	95.8	0.6834	0.3166	25.9
0.49	106.3	0.7012	0.2988	27.3
0.5	117.3	0.7173	0.2827	28.7
0.51	129.6	0.7332	0.2668	30.1
0.52	142.9	0.7482	0.2518	31.7
0.53	157.6	0.7628	0.2372	33.3
0.54	173.7	0.7767	0.2233	35.1
0.55	191	0.7898	0.2102	36.9
0.56	209.7	0.802	0.198	38.7
0.57	230.3	0.8138	0.1862	40.7
0.58	252.8	0.825	0.175	42.8
0.59	276.6	0.8352	0.1648	44.9
0.6	302.3	0.8449	0.1551	47.2
0.61	331.1	0.8545	0.1455	49.6
0.62	361.8	0.8632	0.1368	52.2
0.63	395.6	0.8716	0.1284	54.9
0.64	430.8	0.8792	0.1208	57.6
0.65	469.6	0.8865	0.1135	60.6
0.66	511.7	0.8934	0.1066	63.8
0.67	558.1	0.9001	0.0999	67.3
0.68	607.7	0.9062	0.09375	70.9
0.69	660.5	0.9119	0.08808	74.8
0.7	717.1	0.9172	0.08278	78.9
0.71	778.9	0.9223	0.07773	83.4
0.72	845.6	0.927	0.07298	88.2
0.73	919.4	0.9316	0.06839	93.5
0.74	998.2	0.9359	0.06414	99.2
0.75	1081	0.9397	0.06027	105.2
0.76	1172	0.9434	0.05655	112
0.77	1269	0.9469	0.05312	119.2
0.78	1377	0.9502	0.04978	127.5
0.79	1492	0.9533	0.04668	136.5
0.8	1617	0.9562	0.04375	146.7
0.81	1753	0.959	0.04096	158.4
0.82	1899	0.9616	0.0384	171.3
0.83	2054	0.964	0.03601	185.9
0.84	2230	0.9663	0.03366	203.5
0.85	2416	0.9685	0.03151	223.6
0.86	2623	0.9706	0.02942	248.2
0.87	2845	0.9725	0.02749	277.4
0.88	3092	0.9744	0.02564	314.2
0.89	3361	0.9761	0.0239	360.9
0.9	3665	0.9778	0.0222	424.1
0.91	3994	0.9794	0.02063	509.8
0.92	4379	0.9809	0.01906	643.1
0.93	4837	0.9825	0.01747	879.9
0.94	5410	0.9842	0.01581	1439
0.95	6245	0.9861	0.01387	5915
0.96	6665	0.9869	0.01306	8.727e+09
SEPQ0.1=0.1251 SEPQ1=0.1889 SEPQ10=0.2968 S1FP=0.2414 N1FP=250173 area=4.07
