tpr	epq	E
0.01	0.034	5.38e-08
0.02	0.0606	1.51e-05
0.03	0.0831	0.000221
0.04	0.0995	0.0011
0.05	0.112	0.0035
0.06	0.127	0.008
0.07	0.14	0.0158
0.08	0.158	0.0281
0.09	0.178	0.0469
0.1	0.206	0.0724
0.11	0.237	0.108
0.12	0.267	0.156
0.13	0.3	0.217
0.14	0.349	0.298
0.15	0.411	0.409
0.16	0.5	0.555
0.17	0.6	0.723
0.18	0.735	0.934
0.19	0.914	1.2
0.2	1.13	1.5
0.21	1.4	1.8
0.22	1.74	2.2
0.23	2.17	2.6
0.24	2.68	3.1
0.25	3.35	3.7
0.26	4.19	4.3
0.27	5.21	5
0.28	6.47	5.7
0.29	8.05	6.6
0.3	10	7.5
0.31	12.5	8.6
0.32	15.5	9.8
0.33	19.2	11.1
0.34	23.7	12.5
0.35	29.2	14
0.36	36	15.7
0.37	44	17.5
0.38	53.4	19.5
0.39	65.3	21.7
0.4	79.7	24.1
0.41	97	26.8
0.42	118	29.9
0.43	142	33.1
0.44	171	36.8
0.45	205	40.9
0.46	245	45.4
0.47	291	50.4
0.48	343	55.9
0.49	403	62.1
0.5	470	69
0.51	548	76.9
0.52	637	86.2
0.53	734	96.6
0.54	842	109
0.55	965	123
0.56	1.1e+03	141
0.57	1.26e+03	163
0.58	1.43e+03	191
0.59	1.64e+03	229
0.6	1.86e+03	280
0.61	2.1e+03	351
0.62	2.38e+03	469
0.63	2.72e+03	707
0.64	3.19e+03	1.62e+03
0.649	3.8e+03	1e+06
tpr_epq1=0.194
