tpr	epq	fpr	precision	score
0.01	0.0006244	0.001537	0.9985	32.9
0.02	0.002408	0.00296	0.997	28.7
0.03	0.006556	0.005359	0.9946	25.5
0.04	0.01191	0.007285	0.9927	23.3
0.05	0.01918	0.009367	0.9906	21.5
0.06	0.03073	0.01247	0.9875	20
0.07	0.05013	0.01735	0.9827	18.7
0.08	0.07047	0.02125	0.9787	17.7
0.09	0.09348	0.02497	0.975	16.9
0.1	0.1219	0.02918	0.9708	16.2
0.11	0.1538	0.03332	0.9667	15.6
0.12	0.1917	0.03789	0.9621	15
0.13	0.2453	0.04445	0.9556	14.5
0.14	0.3089	0.05159	0.9484	14.1
0.15	0.374	0.05791	0.9421	13.7
0.16	0.4477	0.06453	0.9355	13.3
0.17	0.5363	0.07216	0.9278	13
0.18	0.6275	0.07914	0.9209	12.6
0.19	0.7339	0.08695	0.9131	12.3
0.2	0.8526	0.0951	0.9049	12
0.21	0.9825	0.1034	0.8966	11.8
0.22	1.118	0.1114	0.8886	11.5
0.23	1.268	0.1197	0.8803	11.3
0.24	1.426	0.1278	0.8722	11
0.25	1.593	0.1358	0.8642	10.8
0.26	1.751	0.1424	0.8576	10.6
0.27	1.921	0.1492	0.8508	10.4
0.28	2.101	0.1561	0.8439	10.2
0.29	2.284	0.1626	0.8374	10
0.3	2.475	0.169	0.831	9.8
0.31	2.662	0.1747	0.8253	9.7
0.32	2.864	0.1808	0.8192	9.5
0.33	3.066	0.1864	0.8136	9.3
0.34	3.281	0.1922	0.8078	9.1
0.35	3.499	0.1977	0.8023	9
0.36	3.745	0.2041	0.7959	8.8
0.37	3.977	0.2095	0.7905	8.7
0.38	4.242	0.2158	0.7842	8.5
0.39	4.541	0.223	0.777	8.4
0.4	4.848	0.23	0.77	8.3
0.41	5.192	0.2379	0.7621	8.1
0.42	5.527	0.2449	0.7551	8
0.43	5.925	0.2535	0.7465	7.9
0.44	6.384	0.2634	0.7366	7.7
0.45	6.872	0.2735	0.7265	7.6
0.46	7.395	0.2838	0.7162	7.5
0.47	7.957	0.2945	0.7055	7.4
0.48	8.631	0.3071	0.6929	7.2
0.49	9.325	0.3193	0.6807	7.1
0.5	10.07	0.3319	0.6681	7
0.51	10.87	0.3444	0.6556	6.9
0.52	11.8	0.3588	0.6412	6.7
0.53	12.84	0.3738	0.6262	6.6
0.54	13.95	0.3891	0.6109	6.5
0.55	15.29	0.4066	0.5934	6.3
0.56	16.63	0.4226	0.5774	6.2
0.57	18.13	0.4395	0.5605	6.1
0.58	19.78	0.4567	0.5433	6
0.59	21.66	0.475	0.525	5.8
0.6	23.64	0.4927	0.5073	5.7
0.61	25.81	0.5105	0.4895	5.6
0.62	28.16	0.5282	0.4718	5.5
0.63	30.98	0.548	0.452	5.3
0.64	33.95	0.5667	0.4333	5.2
0.65	37.22	0.5853	0.4147	5.1
0.66	40.72	0.6034	0.3966	5
0.67	44.8	0.6224	0.3776	4.8
0.68	49.02	0.6399	0.3601	4.7
0.69	53.97	0.6585	0.3415	4.6
0.7	59.6	0.6773	0.3227	4.4
0.71	65.57	0.6948	0.3052	4.3
0.72	72.22	0.712	0.288	4.2
0.73	79.5	0.7286	0.2714	4.1
0.74	87.71	0.745	0.255	3.9
0.75	96.88	0.761	0.239	3.8
0.76	106.9	0.7761	0.2239	3.7
0.77	118.7	0.7916	0.2084	3.5
0.78	131	0.8054	0.1946	3.4
0.79	144.9	0.8189	0.1811	3.2
0.8	160.3	0.8316	0.1684	3.1
0.81	178.1	0.8443	0.1557	3
0.82	199.5	0.8571	0.1429	2.8
0.83	222.3	0.8684	0.1316	2.7
0.84	250.4	0.8802	0.1198	2.5
0.85	284.3	0.8918	0.1082	2.3
0.86	321.9	0.9022	0.09777	2.2
0.87	362.2	0.9114	0.0886	2
SEPQ0.1=0.0931 SEPQ1=0.2113 SEPQ10=0.4989 S1FP=0.7747 N1FP=352302 area=12.2
