tpr	epq	fpr	precision	score
0.01	0	0	1	6.58e-09
0.02	0	0	1	2.37e-07
0.03	0	0	1	2.82e-06
0.04	8.92e-05	5.497e-05	0.9999	2e-05
0.05	0.0002676	0.0001319	0.9999	8.87e-05
0.06	0.0008028	0.0003297	0.9997	0.000263
0.07	0.001516	0.0005337	0.9995	0.000651
0.08	0.001962	0.0006043	0.9994	0.0014
0.09	0.002765	0.0007568	0.9992	0.0026
0.1	0.004371	0.001076	0.9989	0.0044
0.11	0.006422	0.001437	0.9986	0.0071
0.12	0.008295	0.001701	0.9983	0.0107
0.13	0.01026	0.001941	0.9981	0.0157
0.14	0.01307	0.002296	0.9977	0.0226
0.15	0.01641	0.00269	0.9973	0.0313
0.16	0.02203	0.003383	0.9966	0.0427
0.17	0.02694	0.003891	0.9961	0.0573
0.18	0.03381	0.004609	0.9954	0.0749
0.19	0.03996	0.005158	0.9948	0.0967
0.2	0.04959	0.006076	0.9939	0.1244
0.21	0.05985	0.006977	0.993	0.1574
0.22	0.07377	0.008198	0.9918	0.2005
0.23	0.09375	0.009948	0.9901	0.2547
0.24	0.1153	0.01171	0.9883	0.318
0.25	0.1468	0.01427	0.9857	0.3983
0.26	0.1893	0.01763	0.9824	0.502
0.27	0.2418	0.0216	0.9784	0.6346
0.28	0.3077	0.02638	0.9736	0.7966
0.29	0.3898	0.03207	0.9679	1
0.3	0.4984	0.03935	0.9607	1.3
0.31	0.6424	0.0486	0.9514	1.6
0.32	0.8322	0.06025	0.9398	2
0.33	1.093	0.07551	0.9245	2.6
0.34	1.429	0.09385	0.9061	3.2
0.35	1.889	0.1174	0.8826	4.2
0.36	2.574	0.1499	0.8501	5.4
0.37	3.539	0.1908	0.8092	7.2
0.38	5.057	0.247	0.753	9.8
0.39	5.168	0.2508	0.7492	10
SEPQ0.1=0.2330 SEPQ1=0.3267 SEPQ10=0.3805 S1FP=0.2194 N1FP=99753 area=7.02
