tpr	epq	fpr	precision	score
0.01	0	0	1	32.9
0.02	0.0003568	0.0004396	0.9996	28.7
0.03	0.00107	0.0008788	0.9991	25.5
0.04	0.001784	0.001098	0.9989	23.3
0.05	0.002854	0.001405	0.9986	21.5
0.06	0.006065	0.002486	0.9975	20
0.07	0.01481	0.005188	0.9948	18.7
0.08	0.02355	0.007204	0.9928	17.7
0.09	0.03291	0.008935	0.9911	16.9
0.1	0.04353	0.01062	0.9894	16.2
0.11	0.05281	0.0117	0.9883	15.6
0.12	0.0611	0.0124	0.9876	15
0.13	0.07234	0.01353	0.9865	14.5
0.14	0.08447	0.01466	0.9853	14.1
0.15	0.09384	0.01519	0.9848	13.7
0.16	0.1036	0.01571	0.9843	13.3
0.17	0.1185	0.0169	0.9831	13
0.18	0.1301	0.01751	0.9825	12.6
0.19	0.1421	0.0181	0.9819	12.3
0.2	0.1579	0.01909	0.9809	12
0.21	0.178	0.02047	0.9795	11.8
0.22	0.1951	0.02139	0.9786	11.5
0.23	0.2178	0.02281	0.9772	11.3
0.24	0.2378	0.02384	0.9762	11
0.25	0.2605	0.02505	0.975	10.8
0.26	0.2821	0.02605	0.9739	10.6
0.27	0.3082	0.02737	0.9726	10.4
0.28	0.3399	0.02906	0.9709	10.2
0.29	0.3784	0.03116	0.9688	10
0.3	0.4207	0.03342	0.9666	9.8
0.31	0.472	0.03618	0.9638	9.7
0.32	0.5352	0.0396	0.9604	9.5
0.33	0.6093	0.04354	0.9565	9.3
0.34	0.6882	0.04752	0.9525	9.1
0.35	0.785	0.0524	0.9476	9
0.36	0.8983	0.05795	0.942	8.8
0.37	1.019	0.06359	0.9364	8.7
0.38	1.16	0.07001	0.93	8.5
0.39	1.338	0.07796	0.922	8.4
0.4	1.526	0.08599	0.914	8.3
0.41	1.747	0.09505	0.905	8.1
0.42	1.971	0.1037	0.8963	8
0.43	2.233	0.1135	0.8865	7.9
0.44	2.554	0.1252	0.8748	7.7
0.45	2.903	0.1372	0.8628	7.6
0.46	3.284	0.1496	0.8504	7.5
0.47	3.708	0.1628	0.8372	7.4
0.48	4.217	0.178	0.822	7.2
0.49	4.758	0.1932	0.8068	7.1
0.5	5.342	0.2085	0.7915	7
0.51	5.966	0.2238	0.7762	6.9
0.52	6.713	0.2414	0.7586	6.7
0.53	7.557	0.2601	0.7399	6.6
0.54	8.467	0.2788	0.7212	6.5
0.55	9.571	0.3002	0.6998	6.3
0.56	10.68	0.3199	0.6801	6.2
0.57	11.95	0.3408	0.6592	6.1
0.58	13.35	0.3621	0.6379	6
0.59	14.97	0.3849	0.6151	5.8
0.6	16.68	0.4066	0.5934	5.7
0.61	18.55	0.4285	0.5715	5.6
0.62	20.6	0.4503	0.5497	5.5
0.63	23.09	0.4746	0.5254	5.3
0.64	25.7	0.4975	0.5025	5.2
0.65	28.61	0.5204	0.4796	5.1
0.66	31.74	0.5424	0.4576	5
0.67	35.41	0.5658	0.4342	4.8
0.68	39.24	0.5872	0.4128	4.7
0.69	43.75	0.6098	0.3902	4.6
0.7	48.92	0.6327	0.3673	4.4
0.71	54.41	0.6539	0.3461	4.3
0.72	60.58	0.6747	0.3253	4.2
0.73	67.35	0.6946	0.3054	4.1
0.74	75.07	0.7143	0.2857	3.9
0.75	83.7	0.7334	0.2666	3.8
0.76	93.13	0.7513	0.2487	3.7
0.77	104.4	0.7697	0.2303	3.5
0.78	116.1	0.7859	0.2141	3.4
0.79	129.5	0.8017	0.1983	3.2
0.8	144.4	0.8165	0.1835	3.1
0.81	161.7	0.8311	0.1689	3
0.82	182.4	0.8458	0.1542	2.8
0.83	204.6	0.8587	0.1413	2.7
0.84	232.2	0.8721	0.1279	2.5
0.85	265.5	0.8851	0.1149	2.3
0.86	302.7	0.8967	0.1033	2.2
0.87	342.5	0.9068	0.09323	2
SEPQ0.1=0.1575 SEPQ1=0.3683 SEPQ10=0.5539 S1FP=0.7747 N1FP=352302 area=15.2
