tpr	epq	fpr	precision	score
0.01	0	0	1	2.308e-21
0.02	0	0	1	2.776e-17
0.03	0	0	1	1.991e-14
0.04	0.0001784	0.0001099	0.9999	1.631e-12
0.05	0.001427	0.0007031	0.9993	4.717e-11
0.06	0.003836	0.001573	0.9984	6.79e-10
0.07	0.007939	0.002788	0.9972	5.559e-09
0.08	0.014	0.004297	0.9957	2.971e-08
0.09	0.02069	0.005636	0.9944	1.071e-07
0.1	0.03051	0.007464	0.9925	3.144e-07
0.11	0.03951	0.008778	0.9912	7.861e-07
0.12	0.04808	0.00978	0.9902	1.724e-06
0.13	0.05735	0.01076	0.9892	3.415e-06
0.14	0.06699	0.01166	0.9883	6.271e-06
0.15	0.07475	0.01214	0.9879	1.083e-05
0.16	0.08554	0.01301	0.987	1.792e-05
0.17	0.09535	0.01364	0.9864	2.865e-05
0.18	0.1064	0.01436	0.9856	4.426e-05
0.19	0.1186	0.01516	0.9848	6.657e-05
0.2	0.1353	0.01641	0.9836	9.836e-05
0.21	0.1537	0.01772	0.9823	0.0001429
0.22	0.1734	0.01906	0.9809	0.0002036
0.23	0.1953	0.02051	0.9795	0.0002863
0.24	0.2229	0.02238	0.9776	0.0004018
0.25	0.2588	0.02488	0.9751	0.0005539
0.26	0.3024	0.02787	0.9721	0.0007577
0.27	0.3505	0.03101	0.969	0.001022
0.28	0.4143	0.03519	0.9648	0.001369
0.29	0.4977	0.04059	0.9594	0.001812
0.3	0.6007	0.04704	0.953	0.002384
0.31	0.7226	0.05434	0.9457	0.003075
0.32	0.8708	0.06287	0.9371	0.003953
0.33	1.054	0.07299	0.927	0.005059
0.34	1.27	0.0843	0.9157	0.006363
0.35	1.529	0.09724	0.9028	0.008044
0.36	1.828	0.1113	0.8887	0.009985
0.37	2.194	0.1275	0.8725	0.01232
0.38	2.619	0.1452	0.8548	0.0152
0.39	3.112	0.1644	0.8356	0.01857
0.4	3.665	0.1843	0.8157	0.02251
0.41	4.363	0.2078	0.7922	0.02746
0.42	5.146	0.232	0.768	0.03324
0.43	6.032	0.257	0.743	0.0399
0.44	7.023	0.2824	0.7176	0.04757
0.45	8.166	0.3091	0.6909	0.05673
0.46	9.421	0.3355	0.6645	0.0673
0.47	10.86	0.363	0.637	0.07971
0.48	12.42	0.3894	0.6106	0.09354
0.49	14.2	0.4167	0.5833	0.1097
0.5	16.23	0.4445	0.5555	0.1285
0.51	18.43	0.4711	0.5289	0.1496
0.52	20.85	0.4971	0.5029	0.1736
0.53	23.58	0.5231	0.4769	0.2016
0.54	26.53	0.5477	0.4523	0.2329
0.55	29.89	0.5726	0.4274	0.2693
0.56	33.54	0.5962	0.4038	0.3104
0.57	37.59	0.6192	0.3808	0.3575
0.58	42.01	0.641	0.359	0.4099
0.59	46.95	0.6624	0.3376	0.4706
0.6	52.53	0.6834	0.3166	0.5408
0.61	58.46	0.7026	0.2974	0.6183
0.62	64.81	0.7204	0.2796	0.704
0.63	71.93	0.7379	0.2621	0.8028
0.64	79.8	0.7545	0.2455	0.9142
0.65	88.65	0.7708	0.2292	1.044
0.66	98.23	0.7858	0.2142	1.188
0.67	109	0.8004	0.1996	1.354
0.68	120.6	0.8138	0.1862	1.537
0.69	133.9	0.8271	0.1729	1.751
0.7	148.6	0.8396	0.1604	1.993
0.71	164.6	0.8511	0.1489	2.264
0.72	182.8	0.8623	0.1377	2.576
0.73	202.5	0.8724	0.1276	2.921
0.74	225.6	0.8826	0.1174	3.329
0.75	251.3	0.892	0.108	3.795
0.76	281	0.9011	0.09885	4.334
0.77	313.9	0.9095	0.0905	4.942
0.78	350.9	0.9173	0.08272	5.63
0.79	395	0.925	0.07503	6.452
0.8	446.5	0.9322	0.06776	7.417
0.81	507.1	0.9392	0.06085	8.559
0.82	580.6	0.9458	0.05418	9.945
0.83	668.4	0.952	0.04796	11.59
0.84	775.4	0.9579	0.04209	13.6
0.85	911.1	0.9635	0.03646	16.12
0.86	1083	0.9688	0.0312	19.3
0.87	1308	0.9737	0.02627	23.43
0.88	1591	0.9781	0.02194	28.59
0.89	1993	0.9822	0.0178	35.92
0.9	2574	0.986	0.01398	46.7
0.91	3389	0.9892	0.01078	62.94
0.92	4482	0.9917	0.008258	90.95
0.93	5124	0.9927	0.007288	103
SEPQ0.1=0.1739 SEPQ1=0.3273 SEPQ10=0.4640 S1FP=0.5339 N1FP=242785 area=10.5
