tpr	epq	fpr	precision	score
0.01	0	0	1	6.58e-09
0.02	0	0	1	2.37e-07
0.03	0	0	1	2.82e-06
0.04	0	0	1	2e-05
0.05	0	0	1	8.87e-05
0.06	0.0001784	7.329e-05	0.9999	0.000263
0.07	0.0007136	0.0002512	0.9997	0.000648
0.08	0.00107	0.0003297	0.9997	0.0014
0.09	0.001606	0.0004396	0.9996	0.0025
0.1	0.002498	0.0006153	0.9994	0.0043
0.11	0.003479	0.000779	0.9992	0.0068
0.12	0.00446	0.0009154	0.9991	0.0102
0.13	0.004817	0.0009126	0.9991	0.0147
0.14	0.005976	0.001051	0.9989	0.0208
0.15	0.006957	0.001142	0.9989	0.0285
0.16	0.009455	0.001455	0.9985	0.0377
0.17	0.01124	0.001627	0.9984	0.0495
0.18	0.01302	0.00178	0.9982	0.0637
0.19	0.01499	0.001941	0.9981	0.0803
0.2	0.0173	0.002128	0.9979	0.0996
0.21	0.02159	0.002528	0.9975	0.123
0.22	0.02605	0.00291	0.9971	0.1499
0.23	0.03051	0.003259	0.9967	0.1816
0.24	0.04076	0.00417	0.9958	0.2188
0.25	0.05281	0.00518	0.9948	0.2615
0.26	0.06351	0.005986	0.994	0.3088
0.27	0.07992	0.007244	0.9928	0.365
0.28	0.1002	0.008742	0.9913	0.4286
0.29	0.1252	0.01053	0.9895	0.501
0.3	0.1515	0.01229	0.9877	0.5856
0.31	0.1868	0.01464	0.9854	0.6774
0.32	0.2289	0.01733	0.9827	0.7831
0.33	0.2747	0.02011	0.9799	0.9004
0.34	0.3361	0.02379	0.9762	1
0.35	0.4015	0.0275	0.9725	1.2
0.36	0.486	0.03221	0.9678	1.3
0.37	0.5822	0.03734	0.9627	1.5
0.38	0.6951	0.04315	0.9569	1.7
0.39	0.8315	0.04994	0.9501	1.9
0.4	0.9971	0.05789	0.9421	2.1
0.41	1.195	0.06702	0.933	2.4
0.42	1.431	0.0775	0.9225	2.7
0.43	1.688	0.08825	0.9118	2.9
0.44	1.998	0.1007	0.8993	3.2
0.45	2.368	0.1148	0.8852	3.6
0.46	2.802	0.1305	0.8695	3.9
0.47	3.31	0.1479	0.8521	4.4
0.48	3.91	0.1672	0.8328	4.8
0.49	4.606	0.1881	0.8119	5.2
0.5	5.42	0.2109	0.7891	5.7
0.51	6.353	0.2349	0.7651	6.3
0.52	7.417	0.2601	0.7399	6.8
0.53	8.669	0.2873	0.7127	7.4
0.54	10.09	0.3153	0.6847	8.1
0.55	11.71	0.3442	0.6558	8.8
0.56	13.68	0.3758	0.6242	9.5
0.57	15.9	0.4075	0.5925	10.3
0.58	18.37	0.4385	0.5615	11.1
0.59	21.28	0.4706	0.5294	12
0.6	24.64	0.5031	0.4969	13
0.61	28.51	0.5353	0.4647	14
0.62	32.93	0.567	0.433	15
0.63	37.94	0.5975	0.4025	16.2
0.64	44.03	0.6291	0.3709	17.5
0.65	50.95	0.659	0.341	18.8
0.66	59.21	0.6886	0.3114	20.3
0.67	68.39	0.7156	0.2844	21.8
0.68	79.14	0.7415	0.2585	23.5
0.69	91.93	0.7666	0.2334	25.3
0.7	106.7	0.7899	0.2101	27.3
0.71	124.3	0.8119	0.1881	29.5
0.72	143.4	0.8308	0.1692	31.8
0.73	166.1	0.8487	0.1513	34.3
0.74	192.6	0.8652	0.1348	37
0.75	222	0.8795	0.1205	39.9
0.76	255.4	0.8923	0.1077	43
0.77	293.9	0.9039	0.09606	46.5
0.78	339.1	0.9147	0.08534	50.3
0.79	390.6	0.9242	0.07582	54.5
0.8	445.7	0.9321	0.06787	58.8
0.81	507.8	0.9392	0.06078	63.5
0.82	581.6	0.9459	0.0541	69
0.83	664.1	0.9517	0.04825	75.1
0.84	753	0.9567	0.04329	81.5
0.85	857.4	0.9613	0.03866	89
0.86	973.3	0.9654	0.0346	97.4
0.87	1101	0.969	0.03105	106.7
0.88	1249	0.9722	0.02778	117.7
0.89	1415	0.9751	0.02488	130.5
0.9	1610	0.9778	0.02218	146.2
0.91	1829	0.9802	0.01978	165
0.92	2073	0.9823	0.01768	187.8
0.93	2361	0.9843	0.01573	217.5
0.94	2707	0.9861	0.01389	258.9
0.95	3117	0.9878	0.01221	318.2
0.96	3603	0.9893	0.01069	410.1
0.97	4211	0.9907	0.009258	579.4
0.98	5224	0.9924	0.007552	1206
0.99	6623	0.994	0.006006	1e+06
SEPQ0.1=0.2800 SEPQ1=0.4001 SEPQ10=0.5393 S1FP=0.5501 N1FP=250173 area=13
