tpr	epq	fpr	precision	score
0.01	0.006065	0.01473	0.9853	7108
0.02	0.02498	0.02986	0.9701	6090
0.03	0.08706	0.06676	0.9332	5432
0.04	0.2236	0.1211	0.8789	4942
0.05	0.4763	0.1902	0.8098	4527
0.06	0.929	0.2763	0.7237	4165
0.07	1.656	0.3684	0.6316	3870
0.08	2.777	0.4612	0.5388	3641
0.09	4.302	0.5409	0.4591	3469
0.1	6.251	0.6065	0.3935	3330
0.11	8.607	0.6586	0.3414	3216
0.12	11.35	0.6998	0.3002	3121
0.13	14.71	0.7361	0.2639	3034
0.14	18.43	0.7644	0.2356	2958
0.15	22.68	0.7885	0.2115	2890
0.16	27.28	0.8078	0.1922	2829
0.17	32.58	0.8253	0.1747	2770
0.18	38.55	0.8408	0.1592	2716
0.19	45.1	0.8541	0.1459	2664
0.2	52.6	0.8664	0.1336	2614
0.21	60.54	0.8766	0.1234	2567
0.22	69.63	0.8864	0.1136	2520
0.23	79.16	0.8946	0.1054	2477
0.24	89.89	0.9023	0.09772	2435
0.25	101.7	0.9093	0.09069	2393
0.26	113.9	0.9152	0.08476	2354
0.27	126.5	0.9203	0.07969	2318
0.28	139.9	0.9249	0.07509	2284
0.29	154.8	0.9294	0.07061	2249
0.3	170.3	0.9333	0.06668	2215
0.31	186	0.9367	0.06333	2185
0.32	203.3	0.94	0.06001	2153
0.33	221.1	0.9429	0.05709	2123
0.34	240.4	0.9457	0.05426	2094
0.35	260	0.9482	0.05179	2066
0.36	279	0.9503	0.04973	2041
0.37	300.4	0.9524	0.04759	2014
0.38	321.7	0.9543	0.04573	1990
0.39	343.8	0.956	0.04399	1966
0.4	367.4	0.9577	0.0423	1942
0.41	390.6	0.9592	0.04084	1920
0.42	414.7	0.9605	0.03946	1898
0.43	439.3	0.9618	0.03819	1877
0.44	465.3	0.9631	0.03694	1856
0.45	491.1	0.9642	0.03584	1836
0.46	518.7	0.9653	0.03472	1816
0.47	546.3	0.9663	0.03372	1797
0.48	575.5	0.9673	0.03273	1778
0.49	605	0.9682	0.03181	1759
0.5	636.3	0.9691	0.03089	1741
0.51	669.1	0.97	0.02999	1722
0.52	702.8	0.9709	0.02914	1704
0.53	737.3	0.9717	0.02833	1686
0.54	775.1	0.9725	0.02748	1667
0.55	812.6	0.9733	0.02672	1649
0.56	852.6	0.974	0.02595	1631
0.57	892.5	0.9747	0.02525	1614
0.58	934.5	0.9754	0.02456	1597
0.59	978.6	0.9761	0.02387	1580
0.6	1024	0.9768	0.02321	1562
0.61	1072	0.9774	0.02257	1545
0.62	1122	0.9781	0.02192	1528
0.63	1174	0.9787	0.02131	1511
0.64	1229	0.9793	0.02069	1493
0.65	1287	0.9799	0.02007	1475
0.66	1347	0.9805	0.01948	1457
0.67	1412	0.9811	0.01888	1439
0.68	1480	0.9817	0.0183	1421
0.69	1550	0.9823	0.01773	1403
0.7	1626	0.9828	0.01716	1384
0.71	1703	0.9834	0.01663	1365
0.72	1788	0.9839	0.01607	1346
0.73	1878	0.9845	0.01552	1326
0.74	1974	0.985	0.01498	1306
0.75	2075	0.9856	0.01445	1286
0.76	2183	0.9861	0.01392	1265
0.77	2296	0.9866	0.01342	1244
0.78	2422	0.9871	0.0129	1222
0.79	2556	0.9876	0.01238	1199
0.8	2699	0.9881	0.01188	1177
0.81	2856	0.9886	0.01138	1153
0.82	3020	0.9891	0.01089	1129
0.83	3197	0.9896	0.01042	1104
0.84	3398	0.9901	0.009929	1078
0.85	3608	0.9905	0.009467	1051
0.86	3832	0.991	0.00902	1024
0.87	4088	0.9914	0.00856	995
0.88	4360	0.9919	0.00812	965
0.89	4647	0.9923	0.00771	934
0.9	4942	0.9927	0.007333	905
0.91	5271	0.993	0.006955	872
0.92	5637	0.9934	0.006577	837
0.93	6026	0.9938	0.006221	801
0.94	6446	0.9941	0.00588	762
0.95	6912	0.9945	0.005544	720
0.96	7436	0.9948	0.00521	671
0.97	8091	0.9952	0.004839	610
0.98	8943	0.9956	0.004426	527
0.99	1.02e+04	0.9961	0.003923	386
1	1.116e+04	0.9964	0.003598	50
SEPQ0.1=0.0315 SEPQ1=0.0612 SEPQ10=0.1152 S1FP=0.2188 N1FP=99489 area=0.65
