tpr	epq	fpr	precision	score
0.01	0.4406	0.5207	0.4793	0.3883
0.02	1.988	0.7102	0.2898	0.4116
0.03	4.896	0.8009	0.1991	0.4275
0.04	8.944	0.8464	0.1536	0.4391
0.05	14.7	0.8787	0.1213	0.4497
0.06	21.93	0.9001	0.09989	0.4589
0.07	30.51	0.9149	0.08514	0.467
0.08	41.13	0.9269	0.07314	0.4747
0.09	52.66	0.9352	0.06483	0.4815
0.1	65.84	0.942	0.05804	0.488
0.11	80.27	0.9473	0.05266	0.4941
0.12	96.23	0.9519	0.04815	0.5
0.13	112.7	0.9553	0.0447	0.5052
0.14	130.1	0.9582	0.04183	0.5101
0.15	147.7	0.9604	0.03956	0.5147
0.16	166.2	0.9624	0.03758	0.5191
0.17	185.3	0.9641	0.03587	0.5233
0.18	205.7	0.9657	0.03428	0.5274
0.19	226.2	0.967	0.03295	0.5312
0.2	248.3	0.9684	0.03164	0.5352
0.21	270.3	0.9695	0.03055	0.5388
0.22	292.8	0.9704	0.02958	0.5424
0.23	316.2	0.9713	0.02866	0.5459
0.24	339.8	0.9721	0.02785	0.5492
0.25	363.4	0.9728	0.02715	0.5523
0.26	388	0.9735	0.02646	0.5556
0.27	413.1	0.9742	0.02583	0.5586
0.28	437.7	0.9747	0.02529	0.5615
0.29	464.3	0.9753	0.02471	0.5645
0.3	490.7	0.9758	0.0242	0.5674
0.31	518.7	0.9763	0.02367	0.5704
0.32	546.6	0.9768	0.0232	0.5732
0.33	576	0.9773	0.02271	0.5761
0.34	606	0.9777	0.02225	0.5789
0.35	637.7	0.9782	0.02178	0.5818
0.36	668.8	0.9786	0.02137	0.5845
0.37	700.2	0.979	0.02098	0.5872
0.38	733.8	0.9794	0.02057	0.59
0.39	767.4	0.9798	0.0202	0.5926
0.4	803.3	0.9802	0.0198	0.5954
0.41	838	0.9805	0.01946	0.598
0.42	871.8	0.9808	0.01917	0.6
0.43	911	0.9812	0.01879	0.6032
0.44	949.3	0.9815	0.01845	0.6058
0.45	988.9	0.9819	0.01812	0.6084
0.46	1030	0.9822	0.01779	0.6111
0.47	1073	0.9825	0.01746	0.6137
0.48	1115	0.9828	0.01716	0.6163
0.49	1158	0.9831	0.01688	0.6188
0.5	1202	0.9834	0.01659	0.6214
0.51	1248	0.9837	0.0163	0.6239
0.52	1297	0.984	0.016	0.6266
0.53	1347	0.9843	0.01571	0.6292
0.54	1397	0.9846	0.01543	0.6318
0.55	1450	0.9848	0.01515	0.6345
0.56	1506	0.9851	0.01486	0.6372
0.57	1564	0.9854	0.01457	0.6399
0.58	1623	0.9857	0.01429	0.6426
0.59	1684	0.986	0.01401	0.6454
0.6	1748	0.9863	0.01373	0.6481
0.61	1814	0.9865	0.01346	0.6509
0.62	1879	0.9868	0.0132	0.6537
0.63	1949	0.9871	0.01294	0.6564
0.64	2020	0.9873	0.01269	0.6593
0.65	2095	0.9876	0.01243	0.6621
0.66	2174	0.9878	0.01216	0.6651
0.67	2260	0.9881	0.01188	0.6682
0.68	2344	0.9884	0.01163	0.6712
0.69	2433	0.9886	0.01137	0.6742
0.7	2527	0.9889	0.01111	0.6774
0.71	2621	0.9891	0.01087	0.6805
0.72	2723	0.9894	0.01061	0.6837
0.73	2827	0.9896	0.01036	0.687
0.74	2936	0.9899	0.01012	0.6903
0.75	3050	0.9901	0.009877	0.6937
0.76	3162	0.9903	0.009656	0.697
0.77	3282	0.9906	0.009427	0.7004
0.78	3410	0.9908	0.009192	0.704
0.79	3540	0.991	0.008973	0.7075
0.8	3681	0.9913	0.008739	0.7113
0.81	3832	0.9915	0.008502	0.7154
0.82	3986	0.9917	0.008275	0.7193
0.83	4150	0.992	0.008048	0.7235
0.84	4321	0.9922	0.007824	0.7277
0.85	4505	0.9924	0.007596	0.7323
0.86	4702	0.9926	0.007365	0.7371
0.87	4903	0.9929	0.007146	0.7419
0.88	5132	0.9931	0.006908	0.7474
0.89	5378	0.9933	0.006668	0.7532
0.9	5646	0.9936	0.006424	0.7595
0.91	5927	0.9938	0.006189	0.7661
0.92	6258	0.9941	0.005928	0.7739
0.93	6613	0.9943	0.005672	0.7824
0.94	7015	0.9946	0.005406	0.7922
0.95	7491	0.9949	0.005118	0.8043
0.96	8021	0.9952	0.004831	0.8182
0.97	8703	0.9955	0.004501	0.8387
0.98	9549	0.9959	0.004146	0.8693
0.99	1.071e+04	0.9963	0.003735	0.9355
1	1.117e+04	0.9964	0.003595	1
SEPQ0.1=0.0051 SEPQ1=0.0146 SEPQ10=0.0422 S1FP=0.0385 N1FP=17510 area=0.1
