tpr	epq	fpr	precision	score
0.01	0	0	1	8.96e-15
0.02	0	0	1	3.31e-12
0.03	0	0	1	3.13e-10
0.04	0	0	1	9.9e-09
0.05	0	0	1	1.26e-07
0.06	0.0001784	7.329e-05	0.9999	8.52e-07
0.07	0.0003568	0.0001256	0.9999	3.66e-06
0.08	0.001249	0.0003847	0.9996	1.27e-05
0.09	0.002676	0.0007324	0.9993	3.7e-05
0.1	0.005352	0.001318	0.9987	9.22e-05
0.11	0.006957	0.001557	0.9984	0.000203
0.12	0.01356	0.002778	0.9972	0.000417
0.13	0.02176	0.00411	0.9959	0.000816
0.14	0.03113	0.005452	0.9945	0.0015
0.15	0.04558	0.007435	0.9926	0.0026
0.16	0.06529	0.00996	0.99	0.0044
0.17	0.09232	0.01321	0.9868	0.0072
0.18	0.125	0.01683	0.9832	0.0112
0.19	0.1649	0.02095	0.979	0.0169
0.2	0.2196	0.02636	0.9736	0.0255
0.21	0.301	0.03413	0.9659	0.0378
0.22	0.4052	0.04344	0.9566	0.0554
0.23	0.5437	0.05506	0.9449	0.0799
0.24	0.7189	0.06877	0.9312	0.1143
0.25	0.93	0.084	0.916	0.1593
0.26	1.198	0.102	0.898	0.22
0.27	1.53	0.1226	0.8774	0.302
0.28	1.945	0.1462	0.8538	0.4157
0.29	2.442	0.1719	0.8281	0.5584
0.3	3.044	0.2001	0.7999	0.7517
0.31	3.787	0.2315	0.7685	1
0.32	4.631	0.2629	0.7371	1.3
0.33	5.724	0.2995	0.7005	1.8
0.34	6.964	0.3355	0.6645	2.4
0.35	8.374	0.371	0.629	3.1
0.36	10.13	0.4095	0.5905	4.1
0.37	12.16	0.4476	0.5524	5.3
0.38	14.58	0.4861	0.5139	7
0.39	17.46	0.5246	0.4754	9.2
0.4	18.4	0.5359	0.4641	10
SEPQ0.1=0.1730 SEPQ1=0.2528 SEPQ10=0.3593 S1FP=0.2408 N1FP=109518 area=5.64
