tpr	epq	fpr	precision	score
0.01	0	0	1	6.86e-09
0.02	0	0	1	2.48e-07
0.03	0	0	1	3.03e-06
0.04	0	0	1	2.12e-05
0.05	0	0	1	9.32e-05
0.06	0.0003568	0.0001466	0.9999	0.000277
0.07	0.00107	0.0003768	0.9996	0.000675
0.08	0.001606	0.0004945	0.9995	0.0014
0.09	0.002498	0.0006836	0.9993	0.0026
0.1	0.00446	0.001098	0.9989	0.0045
0.11	0.006779	0.001517	0.9985	0.007
0.12	0.009098	0.001866	0.9981	0.0105
0.13	0.01195	0.002261	0.9977	0.0153
0.14	0.0157	0.002757	0.9972	0.0215
0.15	0.02016	0.003302	0.9967	0.0295
0.16	0.02694	0.004133	0.9959	0.0391
0.17	0.03532	0.005096	0.9949	0.0515
0.18	0.04531	0.006168	0.9938	0.0665
0.19	0.05655	0.007284	0.9927	0.0842
0.2	0.06565	0.008027	0.992	0.1048
0.21	0.08019	0.009326	0.9907	0.1301
0.22	0.09598	0.01064	0.9894	0.1596
0.23	0.114	0.01207	0.9879	0.1946
0.24	0.1411	0.01429	0.9857	0.237
0.25	0.1713	0.01661	0.9834	0.2855
0.26	0.2062	0.01918	0.9808	0.3421
0.27	0.2512	0.02242	0.9776	0.4071
0.28	0.3083	0.02642	0.9736	0.4841
0.29	0.377	0.03105	0.969	0.5779
0.3	0.4579	0.03627	0.9637	0.6825
0.31	0.5537	0.04218	0.9578	0.8026
0.32	0.6626	0.04856	0.9514	0.9429
0.33	0.7964	0.05615	0.9438	1.1
0.34	0.9586	0.06499	0.935	1.3
0.35	1.143	0.07451	0.9255	1.5
0.36	1.357	0.08503	0.915	1.7
0.37	1.619	0.09735	0.9027	2
0.38	1.937	0.1117	0.8883	2.3
0.39	2.309	0.1274	0.8726	2.6
0.4	2.718	0.1435	0.8565	3
0.41	3.217	0.1621	0.8379	3.4
0.42	3.781	0.1816	0.8184	3.8
0.43	4.527	0.2061	0.7939	4.4
0.44	5.385	0.2318	0.7682	5
0.45	6.413	0.26	0.74	5.7
0.46	7.626	0.2901	0.7099	6.5
0.47	9.067	0.3223	0.6777	7.4
0.48	10.75	0.3558	0.6442	8.4
0.49	12.88	0.3932	0.6068	9.6
0.5	13.64	0.4055	0.5945	10
SEPQ0.1=0.2228 SEPQ1=0.3421 SEPQ10=0.4756 S1FP=0.3079 N1FP=140008 area=10.5
