tpr	epq	fpr	precision	score
0.01	0	0	1	1
0.02	0	0	1	1
0.03	0	0	1	0.9404
0.04	0	0	1	0.9118
0.05	0	0	1	0.8824
0.06	0.0003568	0.0001466	0.9999	0.8556
0.07	0.00107	0.0003768	0.9996	0.83
0.08	0.001606	0.0004945	0.9995	0.8062
0.09	0.002498	0.0006836	0.9993	0.7841
0.1	0.00446	0.001098	0.9989	0.7642
0.11	0.006779	0.001517	0.9985	0.7459
0.12	0.009098	0.001866	0.9981	0.7288
0.13	0.01195	0.002261	0.9977	0.7126
0.14	0.0157	0.002757	0.9972	0.6971
0.15	0.02016	0.003302	0.9967	0.6825
0.16	0.02703	0.004147	0.9959	0.669
0.17	0.03532	0.005096	0.9949	0.6557
0.18	0.04531	0.006168	0.9938	0.6431
0.19	0.05673	0.007307	0.9927	0.6312
0.2	0.06565	0.008027	0.992	0.62
0.21	0.0801	0.009315	0.9907	0.609
0.22	0.09598	0.01064	0.9894	0.5983
0.23	0.114	0.01207	0.9879	0.5879
0.24	0.1411	0.01429	0.9857	0.5775
0.25	0.1713	0.01661	0.9834	0.5676
0.26	0.206	0.01915	0.9808	0.558
0.27	0.2513	0.02243	0.9776	0.5486
0.28	0.3082	0.02642	0.9736	0.5393
0.29	0.3767	0.03103	0.969	0.5297
0.3	0.4581	0.03628	0.9637	0.5207
0.31	0.5538	0.04218	0.9578	0.5119
0.32	0.6627	0.04858	0.9514	0.5032
0.33	0.7917	0.05584	0.9442	0.4951
0.34	0.9591	0.06502	0.935	0.4867
0.35	1.141	0.07441	0.9256	0.4787
0.36	1.357	0.08505	0.915	0.4709
0.37	1.62	0.09741	0.9026	0.4633
0.38	1.944	0.112	0.888	0.4556
0.39	2.311	0.1275	0.8725	0.4483
0.4	2.718	0.1435	0.8565	0.4414
0.41	3.229	0.1626	0.8374	0.4343
0.42	3.78	0.1816	0.8184	0.4276
0.43	4.526	0.206	0.794	0.4203
0.44	5.376	0.2315	0.7685	0.4134
0.45	6.427	0.2604	0.7396	0.4065
0.46	7.641	0.2905	0.7095	0.3997
0.47	9.075	0.3225	0.6775	0.393
0.48	10.76	0.3559	0.6441	0.3864
0.49	12.91	0.3937	0.6063	0.3796
0.5	13.64	0.4055	0.5945	0.3775
SEPQ0.1=0.2228 SEPQ1=0.3423 SEPQ10=0.4756 S1FP=0.3086 N1FP=140351 area=10.5
