tpr	epq	fpr	precision	score
0.01	0	0	1	6.58e-09
0.02	0	0	1	2.37e-07
0.03	0	0	1	2.82e-06
0.04	0.0001784	0.0001099	0.9999	2e-05
0.05	0.0005352	0.0002638	0.9997	8.87e-05
0.06	0.001427	0.000586	0.9994	0.000263
0.07	0.002319	0.0008161	0.9992	0.000648
0.08	0.002854	0.0008788	0.9991	0.0014
0.09	0.003925	0.001074	0.9989	0.0025
0.1	0.006065	0.001493	0.9985	0.0043
0.11	0.008652	0.001935	0.9981	0.0068
0.12	0.0116	0.002377	0.9976	0.0102
0.13	0.01463	0.002766	0.9972	0.0147
0.14	0.01864	0.003272	0.9967	0.0208
0.15	0.02337	0.003826	0.9962	0.0285
0.16	0.03104	0.00476	0.9952	0.0377
0.17	0.03996	0.005761	0.9942	0.0495
0.18	0.05013	0.006819	0.9932	0.0637
0.19	0.06297	0.008105	0.9919	0.0803
0.2	0.07279	0.008892	0.9911	0.0996
0.21	0.08759	0.01018	0.9898	0.123
0.22	0.1038	0.0115	0.9885	0.1499
0.23	0.1224	0.01295	0.9871	0.1816
0.24	0.1464	0.01481	0.9852	0.2188
0.25	0.1802	0.01746	0.9825	0.2615
0.26	0.211	0.01962	0.9804	0.3088
0.27	0.2571	0.02293	0.9771	0.365
0.28	0.3089	0.02648	0.9735	0.4286
0.29	0.3716	0.03062	0.9694	0.501
0.3	0.4419	0.03504	0.965	0.5856
0.31	0.5271	0.04023	0.9598	0.6774
0.32	0.631	0.04636	0.9536	0.7831
0.33	0.7419	0.05252	0.9475	0.9004
0.34	0.8765	0.05975	0.9402	1
0.35	1.018	0.06691	0.9331	1.2
0.36	1.209	0.07644	0.9236	1.3
0.37	1.41	0.08587	0.9141	1.5
0.38	1.638	0.09605	0.904	1.7
0.39	1.909	0.1077	0.8923	1.9
0.4	2.231	0.1209	0.8791	2.1
0.41	2.603	0.1353	0.8647	2.4
0.42	3.034	0.1512	0.8488	2.7
0.43	3.491	0.1668	0.8332	2.9
0.44	4.011	0.1835	0.8165	3.2
0.45	4.625	0.2021	0.7979	3.6
0.46	5.324	0.222	0.778	3.9
0.47	6.138	0.2436	0.7564	4.4
0.48	7.069	0.2663	0.7337	4.8
0.49	8.105	0.2897	0.7103	5.2
0.5	9.287	0.3141	0.6859	5.7
0.51	10.61	0.3391	0.6609	6.3
0.52	12.09	0.3644	0.6356	6.8
0.53	13.8	0.3909	0.6091	7.4
0.54	15.68	0.4172	0.5828	8.1
0.55	17.77	0.4434	0.5566	8.8
0.56	20.27	0.4716	0.5284	9.5
0.57	23.07	0.4994	0.5006	10.3
0.58	26.1	0.5259	0.4741	11.1
0.59	29.61	0.553	0.447	12
0.6	33.61	0.58	0.42	13
0.61	38.14	0.6065	0.3935	14
0.62	43.23	0.6322	0.3678	15
0.63	48.96	0.657	0.343	16.2
0.64	55.82	0.6825	0.3175	17.5
0.65	63.54	0.7067	0.2933	18.8
0.66	72.63	0.7307	0.2693	20.3
0.67	82.62	0.7525	0.2475	21.8
0.68	94.24	0.7736	0.2264	23.5
0.69	108	0.7941	0.2059	25.3
0.7	123.7	0.8133	0.1867	27.3
0.71	142.3	0.8316	0.1684	29.5
0.72	162.3	0.8475	0.1525	31.8
0.73	185.9	0.8626	0.1374	34.3
0.74	213.6	0.8768	0.1232	37
0.75	243.9	0.8891	0.1109	39.9
0.76	278.3	0.9003	0.09974	43
0.77	317.9	0.9105	0.08947	46.5
0.78	364.1	0.9201	0.07995	50.3
0.79	416.7	0.9286	0.07142	54.5
0.8	472.8	0.9358	0.06423	58.8
0.81	535.9	0.9422	0.05777	63.5
0.82	610.7	0.9483	0.05165	69
0.83	694.3	0.9537	0.04625	75.1
0.84	784.2	0.9584	0.04164	81.5
0.85	889.7	0.9627	0.03731	89
0.86	1006	0.9665	0.0335	97.4
0.87	1136	0.9699	0.03014	106.7
0.88	1285	0.973	0.02703	117.7
0.89	1452	0.9757	0.02427	130.5
0.9	1647	0.9783	0.02168	146.2
0.91	1868	0.9806	0.01938	165
0.92	2113	0.9826	0.01736	187.8
0.93	2401	0.9845	0.01547	217.5
0.94	2749	0.9863	0.01368	258.9
0.95	3159	0.9879	0.01205	318.2
0.96	3647	0.9894	0.01057	410.1
0.97	4256	0.9908	0.00916	579.4
0.98	5271	0.9925	0.007486	1206
0.99	6713	0.9941	0.005927	8.727e+09
SEPQ0.1=0.2175 SEPQ1=0.3488 SEPQ10=0.5054 S1FP=0.4155 N1FP=188949 area=12.1
