tpr	epq	fpr	precision	score
0.01	0.03755	0.279	0.721	128
0.02	0.08572	0.3064	0.6936	106
0.03	0.1327	0.3133	0.6867	94
0.04	0.1837	0.3214	0.6786	84
0.05	0.2251	0.3171	0.6829	77
0.06	0.2683	0.3156	0.6844	71
0.07	0.3184	0.3193	0.6807	66
0.08	0.3689	0.3223	0.6777	62
0.09	0.4216	0.3257	0.6743	59
0.1	0.4753	0.3289	0.6711	56
0.11	0.5364	0.3346	0.6654	53
0.12	0.6033	0.3414	0.6586	51
0.13	0.674	0.3484	0.6516	49
0.14	0.7614	0.3593	0.6407	47
0.15	0.8674	0.3735	0.6265	45
0.16	0.9941	0.3905	0.6095	44
0.17	1.163	0.4137	0.5863	42
0.18	1.358	0.4376	0.5624	41
0.19	1.614	0.4669	0.5331	40
0.2	1.931	0.499	0.501	38
0.21	2.377	0.5386	0.4614	38
0.22	3.058	0.589	0.411	36
0.23	3.863	0.6339	0.3661	36
0.24	5.033	0.6838	0.3162	35
0.25	6.481	0.7278	0.2722	34
0.26	8.589	0.7731	0.2269	33
0.27	11.4	0.8132	0.1868	32
0.28	14.43	0.8416	0.1584	32
0.29	18.56	0.8684	0.1316	31
0.3	24.48	0.8938	0.1062	30
0.31	30.51	0.9103	0.08969	30
0.32	38.25	0.925	0.07504	29
0.33	46.97	0.9362	0.06378	29
0.34	59.17	0.9472	0.05278	28
0.35	71.66	0.9548	0.04523	28
0.36	88.61	0.9621	0.0379	27
0.37	103.9	0.9666	0.03338	27
0.38	121.8	0.9706	0.02936	27
0.39	144.9	0.9746	0.02544	26
0.4	171.5	0.9779	0.02212	26
0.41	207.5	0.9812	0.0188	25
0.42	239.2	0.9833	0.01675	25
0.43	271.6	0.9849	0.01512	25
0.44	321.2	0.9869	0.01311	24
0.45	361.1	0.9881	0.01194	24
0.46	415.1	0.9894	0.01063	24
0.47	468.9	0.9904	0.009627	23
0.48	522.5	0.9912	0.00883	23
0.49	587.6	0.992	0.008022	23
0.5	677.3	0.9929	0.007108	22
0.51	748.3	0.9934	0.006566	22
0.52	832.9	0.994	0.006018	22
0.53	918.4	0.9944	0.005565	22
0.54	1026	0.9949	0.005078	21
0.55	1116	0.9952	0.004757	21
0.56	1232	0.9956	0.00439	21
0.57	1384	0.996	0.003979	20
0.58	1516	0.9963	0.003697	20
0.59	1634	0.9965	0.00349	20
0.6	1802	0.9968	0.003219	20
0.61	1957	0.997	0.003013	19
0.62	2135	0.9972	0.002809	19
0.63	2298	0.9973	0.002652	19
0.64	2506	0.9975	0.00247	19
0.65	2691	0.9977	0.002337	19
0.66	2924	0.9978	0.002184	18
0.67	3115	0.9979	0.002081	18
0.68	3364	0.998	0.001956	18
0.69	3642	0.9982	0.001834	17
0.7	3873	0.9983	0.00175	17
0.71	4110	0.9983	0.001673	17
0.72	4411	0.9984	0.00158	17
0.73	4667	0.9985	0.001515	16
0.74	4873	0.9985	0.00147	16
0.75	5122	0.9986	0.001418	16
0.76	5429	0.9986	0.001356	16
0.77	5670	0.9987	0.001315	16
0.78	5887	0.9987	0.001283	15
0.79	6135	0.9988	0.001247	15
0.8	6358	0.9988	0.001219	14
0.81	6535	0.9988	0.0012	14
0.82	6731	0.9988	0.00118	14
0.83	6895	0.9988	0.001166	13
0.84	6985	0.9988	0.001158	10
SEPQ0.1=0.0232 SEPQ1=0.1605 SEPQ10=0.2656 S1FP=0.1241 N1FP=13494 area=3.51
