tpr	epq	fpr	precision	score
0.01	0.02694	0.2173	0.7827	0.368
0.02	0.05718	0.2276	0.7724	0.342
0.03	0.08866	0.2336	0.7664	0.325
0.04	0.1213	0.2382	0.7618	0.311
0.05	0.155	0.2423	0.7577	0.3
0.06	0.192	0.2481	0.7519	0.288
0.07	0.2244	0.2484	0.7516	0.28
0.08	0.2564	0.2484	0.7516	0.272
0.09	0.2919	0.2506	0.7494	0.265
0.1	0.3339	0.2561	0.7439	0.258
0.11	0.3735	0.2593	0.7407	0.251
0.12	0.4129	0.2619	0.7381	0.245
0.13	0.4545	0.265	0.735	0.24
0.14	0.4917	0.2659	0.7341	0.235
0.15	0.5336	0.2684	0.7316	0.23
0.16	0.5735	0.2699	0.7301	0.225
0.17	0.6134	0.2712	0.7288	0.221
0.18	0.6549	0.2728	0.7272	0.217
0.19	0.6893	0.2723	0.7277	0.214
0.2	0.7359	0.2751	0.7249	0.21
0.21	0.7854	0.2783	0.7217	0.206
0.22	0.8329	0.2808	0.7192	0.203
0.23	0.8862	0.2843	0.7157	0.2
0.24	0.9278	0.285	0.715	0.196
0.25	0.9796	0.2878	0.7122	0.193
0.26	1.029	0.2898	0.7102	0.19
0.27	1.084	0.2927	0.7073	0.187
0.28	1.138	0.2953	0.7047	0.184
0.29	1.193	0.2978	0.7022	0.181
0.3	1.261	0.3024	0.6976	0.179
0.31	1.327	0.3063	0.6937	0.176
0.32	1.397	0.3105	0.6895	0.173
0.33	1.479	0.316	0.684	0.171
0.34	1.564	0.3217	0.6783	0.168
0.35	1.655	0.3277	0.6723	0.166
0.36	1.743	0.333	0.667	0.163
0.37	1.843	0.3393	0.6607	0.161
0.38	1.942	0.3452	0.6548	0.158
0.39	2.05	0.3516	0.6484	0.156
0.4	2.155	0.3571	0.6429	0.154
0.41	2.293	0.3657	0.6343	0.151
0.42	2.424	0.3731	0.6269	0.149
0.43	2.561	0.3805	0.6195	0.147
0.44	2.702	0.3878	0.6122	0.145
0.45	2.859	0.3958	0.6042	0.142
0.46	3.023	0.4039	0.5961	0.141
0.47	3.205	0.4129	0.5871	0.138
0.48	3.415	0.4232	0.5768	0.136
0.49	3.618	0.4323	0.5677	0.134
0.5	3.881	0.4446	0.5554	0.132
0.51	4.105	0.4536	0.5464	0.13
0.52	4.395	0.4657	0.5343	0.128
0.53	4.685	0.4768	0.5232	0.126
0.54	5.012	0.489	0.511	0.123
0.55	5.331	0.4999	0.5001	0.121
0.56	5.699	0.512	0.488	0.12
0.57	6.13	0.5258	0.4742	0.117
0.58	6.592	0.5396	0.4604	0.115
0.59	7.07	0.5527	0.4473	0.113
0.6	7.663	0.5684	0.4316	0.111
0.61	8.19	0.5806	0.4194	0.109
0.62	8.89	0.5965	0.4035	0.107
0.63	9.56	0.6101	0.3899	0.105
0.64	10.25	0.6229	0.3771	0.103
0.65	11.03	0.6363	0.3637	0.101
0.66	11.94	0.6511	0.3489	0.1
0.67	12.84	0.664	0.336	0.098
0.68	13.87	0.6778	0.3222	0.096
0.69	15.07	0.6925	0.3075	0.094
0.7	16.37	0.7068	0.2932	0.092
0.71	17.81	0.7212	0.2788	0.09
0.72	19.43	0.7357	0.2643	0.088
0.73	21.23	0.7499	0.2501	0.086
0.74	23.19	0.7637	0.2363	0.084
0.75	25.3	0.7767	0.2233	0.082
0.76	27.63	0.7894	0.2106	0.08
0.77	30.43	0.8029	0.1971	0.078
0.78	33.65	0.8165	0.1835	0.076
0.79	37.56	0.8306	0.1694	0.073
0.8	41.78	0.8434	0.1566	0.071
0.81	46.26	0.8549	0.1451	0.069
0.82	51.68	0.8666	0.1334	0.067
0.83	58.16	0.8784	0.1216	0.064
0.84	65.44	0.8893	0.1107	0.062
0.85	75.35	0.9014	0.09861	0.059
0.86	87.25	0.9128	0.08724	0.056
0.87	103.8	0.9248	0.07517	0.053
0.88	126	0.9365	0.06345	0.049
0.89	155.4	0.9474	0.05262	0.045
0.9	198.7	0.9579	0.04209	0.04
0.91	269.3	0.9683	0.03173	0.034
0.92	393.2	0.9778	0.02219	0.025
0.93	596.3	0.9851	0.01487	0
SEPQ0.1=0.0348 SEPQ1=0.2544 SEPQ10=0.6365 S1FP=0.2782 N1FP=30249 area=20.2
