tpr	epq	fpr	precision	score
0.01	0.1122	0.5362	0.4638	0.3592
0.02	0.3984	0.6725	0.3275	0.3813
0.03	0.9107	0.7579	0.2421	0.3954
0.04	1.714	0.8155	0.1845	0.406
0.05	2.846	0.8544	0.1456	0.4151
0.06	4.521	0.886	0.114	0.4237
0.07	6.599	0.9067	0.09328	0.4311
0.08	8.843	0.9193	0.08066	0.4371
0.09	11.87	0.9315	0.0685	0.4433
0.1	15.75	0.942	0.05799	0.4497
0.11	20.3	0.9501	0.04991	0.4556
0.12	25.75	0.9568	0.04324	0.4614
0.13	31.98	0.9621	0.03793	0.4669
0.14	39.81	0.967	0.03298	0.4726
0.15	47.6	0.9703	0.02965	0.4776
0.16	56.63	0.9733	0.02667	0.4825
0.17	66.92	0.976	0.02404	0.4874
0.18	78.85	0.9783	0.02166	0.4925
0.19	92.59	0.9805	0.01951	0.4976
0.2	106.5	0.9821	0.01789	0.5022
0.21	120.8	0.9834	0.01658	0.5066
0.22	137.3	0.9847	0.01531	0.5111
0.23	154	0.9857	0.01428	0.5153
0.24	171.6	0.9866	0.01338	0.5194
0.25	190	0.9874	0.0126	0.5233
0.26	210.4	0.9882	0.01184	0.5274
0.27	230.8	0.9888	0.01122	0.5312
0.28	254	0.9894	0.01058	0.5352
0.29	276.6	0.9899	0.01006	0.5389
0.3	300.9	0.9904	0.009577	0.5427
0.31	326.8	0.9909	0.009115	0.5465
0.32	352.9	0.9913	0.008716	0.55
0.33	380.4	0.9917	0.008342	0.5536
0.34	408.5	0.992	0.008007	0.5571
0.35	439.4	0.9923	0.007665	0.5608
0.36	469.8	0.9926	0.007377	0.5642
0.37	500.4	0.9929	0.007119	0.5676
0.38	532.4	0.9931	0.006874	0.5709
0.39	567.2	0.9934	0.006624	0.5743
0.4	603.3	0.9936	0.006388	0.5777
0.41	643.4	0.9939	0.006142	0.5814
0.42	679.1	0.994	0.005962	0.5845
0.43	715.5	0.9942	0.005794	0.5875
0.44	757.3	0.9944	0.005603	0.5909
0.45	798.5	0.9946	0.005435	0.5941
0.46	844.8	0.9947	0.005253	0.5976
0.47	884.9	0.9949	0.005124	0.6
0.48	937.9	0.9951	0.004938	0.6042
0.49	983.7	0.9952	0.004807	0.6072
0.5	1035	0.9953	0.004661	0.6105
0.51	1090	0.9955	0.004517	0.6139
0.52	1142	0.9956	0.004396	0.617
0.53	1195	0.9957	0.004282	0.6201
0.54	1250	0.9958	0.004172	0.6232
0.55	1309	0.9959	0.004059	0.6264
0.56	1371	0.9961	0.003944	0.6296
0.57	1438	0.9962	0.00383	0.633
0.58	1504	0.9963	0.003726	0.6364
0.59	1574	0.9964	0.003622	0.6396
0.6	1645	0.9965	0.003526	0.6429
0.61	1716	0.9966	0.003435	0.646
0.62	1794	0.9967	0.00334	0.6494
0.63	1873	0.9967	0.003251	0.6526
0.64	1954	0.9968	0.003166	0.6559
0.65	2034	0.9969	0.003089	0.659
0.66	2120	0.997	0.00301	0.6623
0.67	2203	0.9971	0.00294	0.6654
0.68	2303	0.9971	0.002856	0.669
0.69	2409	0.9972	0.00277	0.6727
0.7	2498	0.9973	0.00271	0.6757
0.71	2595	0.9974	0.002647	0.6789
0.72	2700	0.9974	0.002579	0.6823
0.73	2813	0.9975	0.002511	0.6859
0.74	2937	0.9976	0.002437	0.6897
0.75	3059	0.9976	0.002372	0.6933
0.76	3183	0.9977	0.00231	0.697
0.77	3305	0.9977	0.002254	0.7004
0.78	3441	0.9978	0.002193	0.7042
0.79	3584	0.9979	0.002133	0.7081
0.8	3730	0.9979	0.002076	0.712
0.81	3880	0.998	0.002021	0.7159
0.82	4063	0.998	0.001953	0.7207
0.83	4240	0.9981	0.001895	0.7251
0.84	4438	0.9982	0.001832	0.73
0.85	4641	0.9982	0.001773	0.7349
0.86	4866	0.9983	0.001711	0.7404
0.87	5087	0.9983	0.001656	0.7457
0.88	5340	0.9984	0.001595	0.7516
0.89	5593	0.9985	0.001541	0.7576
0.9	5922	0.9985	0.001472	0.7653
0.91	6292	0.9986	0.001401	0.774
0.92	6673	0.9987	0.001335	0.7831
0.93	7065	0.9987	0.001275	0.7927
0.94	7542	0.9988	0.001207	0.8049
0.95	8037	0.9989	0.001145	0.8182
0.96	8568	0.9989	0.001085	0.8333
0.97	9152	0.999	0.001027	0.8529
0.98	9838	0.999	0.0009651	0.8806
0.99	1.064e+04	0.9991	0.0009017	0.9273
1	1.12e+04	0.9991	0.0008616	1
SEPQ0.1=0.0092 SEPQ1=0.0311 SEPQ10=0.0842 S1FP=0.0707 N1FP=7683 area=0.36
